site_id,Baseline LSTM (No TL),Baseline LSTM (TL),Context-Aware Selective Learning,Deep Context LSTM (Always TL),Deep Context LSTM (No TL),Random Forest,Site-Hard Expert Selector,cell_id,cosine_similarity,months_used,delta_rmse_always_tl_vs_no_tl,delta_rmse_selective_tl_vs_no_tl,delta_rmse_oracle_tl_vs_no_tl,helped_by_always_tl,helped_by_selective_tl
9689,0.7500693798065186,0.7395404577255249,0.8885565996170044,0.7869324684143066,1.0060756206512451,0.9106958462958172,0.7869324233108622,124887.0,0.5659646,17.0,-0.21914315223693848,-0.11751902103424072,-0.2191431973403829,True,True
9943,0.6773440837860107,0.6214910745620728,0.8868070840835571,0.8788652420043945,1.282210350036621,0.8301011354810323,0.8301011354810323,75352.0,0.5293636,82.0,-0.40334510803222656,-0.39540326595306396,-0.45210921455558883,True,True
10385,0.4306495189666748,0.4077221155166626,0.32980936765670776,0.3183308243751526,0.48097988963127136,0.3410352231028227,0.3410352231028227,22059.0,0.6220231,102.0,-0.16264906525611877,-0.1511705219745636,-0.13994466652844867,True,True
18022,0.6597661375999451,0.6555538177490234,0.6468026041984558,0.5827620029449463,0.7211154699325562,0.8191366458047883,0.5827620025363408,7271.0,0.6054965,7.0,-0.13835346698760986,-0.07431286573410034,-0.13835346739621535,True,True
18027,0.6942439079284668,0.6556909680366516,0.6879873871803284,0.597251832485199,0.7254176139831543,0.8696362051973011,0.5972518331699873,28977.0,0.5650503,7.0,-0.12816578149795532,-0.03743022680282593,-0.12816578081316699,True,True
18055,0.6076835989952087,0.6348416209220886,0.6109442114830017,0.5389114022254944,0.6845604777336121,0.9312296375635969,0.6845604807411012,54652.0,0.6885283,7.0,-0.14564907550811768,-0.07361626625061035,3.0074891466114195e-09,True,True
18086,0.9085995554924011,0.9283598065376282,0.912316620349884,0.8369913697242737,1.0578267574310303,1.0508180570175598,1.0578267906011602,7271.0,0.62208045,7.0,-0.2208353877067566,-0.14551013708114624,3.317012997605673e-08,True,True
29249,0.8295839428901672,0.8087753057479858,0.835762083530426,0.8400653004646301,0.7674756050109863,0.9068907408929361,0.7674756003940366,28544.0,0.21736836,75.0,0.0725896954536438,0.0682864785194397,-4.616949711433449e-09,False,False
29263,1.9130455255508423,1.9843037128448486,2.0016629695892334,2.0647125244140625,2.0359930992126465,1.6898999888823483,1.6898999888823483,67575.0,0.23373753,70.0,0.028719425201416016,-0.034330129623413086,-0.3460931103302982,False,True
29357,0.9364612698554993,0.9838796854019165,0.8570472002029419,0.9669036865234375,0.8923904299736023,0.8308048610249253,0.8308048610249253,69646.0,0.29305062,76.0,0.0745132565498352,-0.0353432297706604,-0.06158556894867695,False,True
