site_id,cosine_similarity,months_used,n_observations,rmse_no_tl,rmse_always_tl,rmse_casl,delta_fixed,partial_rescue_magnitude,full_rescue_margin,rel_improvement_vs_always_tl,partial_rescued,full_rescued
118412,0.32032162,117,10,0.9862411618232728,1.4141937494277954,1.1621123552322388,0.4279525876045226,0.25208139419555664,-0.17587119340896595,0.1782509605190609,True,False
10160,0.3217674,42,10,0.6601942777633667,0.9877666234970092,0.7639485001564026,0.32757234573364247,0.22381812334060658,-0.10375422239303589,0.2265900851642658,True,False
32407,0.29216778,38,10,0.7995400428771973,1.1438785791397097,0.9734368920326232,0.34433853626251243,0.17044168710708651,-0.17389684915542591,0.14900330351082597,True,False
32704,0.33203608,40,10,0.8768312931060791,1.147355079650879,0.9932633638381958,0.2705237865447998,0.1540917158126831,-0.1164320707321167,0.13430168092302397,True,False
32951,0.50594634,106,10,0.7236539125442505,0.9399489164352416,0.803723156452179,0.2162950038909911,0.13622575998306263,-0.08006924390792847,0.14492889730614206,True,False
33050,0.50251734,106,10,0.4952579140663147,0.7147531509399414,0.5826411247253418,0.2194952368736267,0.1321120262145996,-0.0873832106590271,0.1848358780102819,True,False
118579,0.35866755,82,27,1.166703462600708,1.369694709777832,1.255348563194275,0.20299124717712402,0.11434614658355713,-0.0886451005935669,0.0834829438759418,True,False
53523,0.28795466,131,37,28.79087448120117,28.89781951904297,28.789350509643555,0.10694503784180043,0.10846900939941406,0.0015239715576136348,0.0037535361215726188,True,True
118260,0.23785457,139,24,3.48413634300232,3.622454643249512,3.5184807777404785,0.13831830024719238,0.10397386550903365,-0.034344434738158736,0.02870259968686984,True,False
31810,0.38739043,127,19,2.0309197902679443,2.1739296913146973,2.082518577575684,0.14300990104675293,0.09141111373901323,-0.0515987873077397,0.042048790310109704,True,False
32730,0.33731458,45,10,0.6152639985084534,0.7972199320793152,0.7099950909614563,0.18195593357086182,0.08722484111785889,-0.09473109245300293,0.10941126483172389,True,False
30498,0.4999237,98,18,0.7351392507553101,0.8896050453186035,0.804582417011261,0.15446579456329346,0.08502262830734253,-0.06944316625595093,0.09557345560792373,True,False
25327,0.38171065,141,36,0.5995136499404907,0.7076318860054016,0.6266083121299744,0.10811823606491089,0.08102357387542725,-0.027094662189483643,0.11449960845151735,True,False
32588,0.37648246,38,10,1.2108688354492188,1.321064591407776,1.2410359382629397,0.11019575595855735,0.08002865314483643,-0.030167102813720925,0.060578910119417316,True,False
118866,0.40168643,135,37,0.7695605158805847,0.8633711934089661,0.7859436273574829,0.09381067752838135,0.07742756605148315,-0.016383111476898193,0.08968050664948103,True,False
118345,0.19816329,139,25,2.212822914123535,2.2835681438446045,2.2062456607818604,0.07074522972106934,0.07732248306274414,0.006577253341674805,0.033860379105028315,True,True
25300,0.40304092,140,35,0.6124579906463623,0.695898711681366,0.6187060475349426,0.08344072103500366,0.07719266414642334,-0.006248056888580322,0.11092514305697963,True,False
32342,0.2824299,130,12,1.3615742921829224,1.5066168308258057,1.4309104681015017,0.1450425386428833,0.07570636272430398,-0.06933617591857932,0.05024924796758567,True,False
118752,0.40216178,135,34,0.7602013945579529,0.8561397790908813,0.7809427976608276,0.09593838453292847,0.07519698143005371,-0.020741403102874756,0.08783259844543605,True,False
25268,0.35669714,141,37,0.511183500289917,0.5764634013175964,0.501948893070221,0.06527990102767944,0.07451450824737549,0.009234607219696045,0.1292614727614295,True,True
53515,0.23297462,98,36,1.0129601955413818,1.1206563711166382,1.0462459325790403,0.10769617557525635,0.07441043853759788,-0.03328573703765847,0.06639897871945728,True,False
32403,0.36015067,39,10,0.6818615198135376,0.8397829532623291,0.7691682577133179,0.1579214334487915,0.07061469554901123,-0.08730673789978027,0.08408684086131099,True,False
12250,0.56255317,60,37,0.9827967286109924,1.066772699356079,0.997274935245514,0.08397597074508667,0.06949776411056507,-0.014478206634521595,0.06514767780663587,True,False
32889,0.26449996,140,30,0.74202561378479,0.8194869756698608,0.7541560530662537,0.0774613618850708,0.06533092260360718,-0.012130439281463623,0.07972173389357984,True,False
32597,0.37511083,127,37,0.7859621047973633,0.8353121876716614,0.7700408101081848,0.049350082874298096,0.06527137756347656,0.015921294689178467,0.07814009962600112,True,True
12248,0.33369058,94,32,0.9516763687133788,1.057848572731018,0.9936898946762084,0.10617220401763927,0.06415867805480968,-0.04201352596282959,0.060650153253194845,True,False
38020,0.24353537,140,34,1.1606428623199463,1.3002703189849854,1.2397639751434326,0.13962745666503906,0.060506343841552734,-0.07912111282348633,0.04653366531413644,True,False
118794,0.4229207,135,35,0.9599047303199768,1.026264190673828,0.9672191739082336,0.0663594603538511,0.05904501676559426,-0.007314443588256836,0.05753393453865548,True,False
25200,0.46787742,136,32,0.5108668208122253,0.5663764476776123,0.5076664686203003,0.05550962686538696,0.05870997905731201,0.003200352191925049,0.10365893443847858,True,True
