site_id,cosine_similarity,months_used,train_rows,cohort_key,cohort_label
104211,0.4851423933997395,48,40,high_similarity_q75,High similarity
9941,0.3142923106641062,80,72,high_overlap_q75,High overlap
10385,0.480607508953269,102,94,high_overlap_q75,High overlap
29812,0.1740840862648924,86,78,high_overlap_q75,High overlap
29848,0.2808173153693233,83,75,high_overlap_q75,High overlap
29931,0.2090048738031979,87,79,high_overlap_q75,High overlap
29982,0.3856237133699691,77,69,high_overlap_q75,High overlap
30066,0.2394052771324135,130,122,high_overlap_q75,High overlap
30104,0.2683060801742258,78,70,high_overlap_q75,High overlap
30265,0.3071128565708469,78,70,high_overlap_q75,High overlap
30425,0.2203401323365955,90,82,high_overlap_q75,High overlap
30578,0.2574000183906373,87,79,high_overlap_q75,High overlap
30586,0.2346742391695835,81,73,high_overlap_q75,High overlap
30760,0.5014273475994847,81,73,high_overlap_q75,High overlap
30795,0.2602363511875191,83,75,high_overlap_q75,High overlap
30868,0.3431901349353138,87,79,high_overlap_q75,High overlap
31032,0.2636682972421019,93,85,high_overlap_q75,High overlap
31064,0.218457742370273,80,72,high_overlap_q75,High overlap
31324,0.2564488067153664,87,79,high_overlap_q75,High overlap
31403,0.2742846927931101,77,69,high_overlap_q75,High overlap
31425,0.2752363508523265,96,88,high_overlap_q75,High overlap
31482,0.2441233946526222,107,99,high_overlap_q75,High overlap
31541,0.2782445110558652,84,76,high_overlap_q75,High overlap
31696,0.2414190800878651,89,81,high_overlap_q75,High overlap
31854,0.2157512956405084,77,69,high_overlap_q75,High overlap
31933,0.3192772290631208,82,74,high_overlap_q75,High overlap
33050,0.3464922704615514,109,101,high_overlap_q75,High overlap
9941,0.3142923106641062,80,72,history_rich_q75,History-rich
10385,0.480607508953269,102,94,history_rich_q75,History-rich
29812,0.1740840862648924,86,78,history_rich_q75,History-rich
29848,0.2808173153693233,83,75,history_rich_q75,History-rich
29931,0.2090048738031979,87,79,history_rich_q75,History-rich
29982,0.3856237133699691,77,69,history_rich_q75,History-rich
30066,0.2394052771324135,130,122,history_rich_q75,History-rich
30104,0.2683060801742258,78,70,history_rich_q75,History-rich
30265,0.3071128565708469,78,70,history_rich_q75,History-rich
30425,0.2203401323365955,90,82,history_rich_q75,History-rich
30578,0.2574000183906373,87,79,history_rich_q75,History-rich
30586,0.2346742391695835,81,73,history_rich_q75,History-rich
30760,0.5014273475994847,81,73,history_rich_q75,History-rich
30795,0.2602363511875191,83,75,history_rich_q75,History-rich
30868,0.3431901349353138,87,79,history_rich_q75,History-rich
31032,0.2636682972421019,93,85,history_rich_q75,History-rich
31064,0.218457742370273,80,72,history_rich_q75,History-rich
31324,0.2564488067153664,87,79,history_rich_q75,History-rich
31403,0.2742846927931101,77,69,history_rich_q75,History-rich
31425,0.2752363508523265,96,88,history_rich_q75,History-rich
31482,0.2441233946526222,107,99,history_rich_q75,History-rich
31541,0.2782445110558652,84,76,history_rich_q75,History-rich
31696,0.2414190800878651,89,81,history_rich_q75,History-rich
31854,0.2157512956405084,77,69,history_rich_q75,History-rich
31933,0.3192772290631208,82,74,history_rich_q75,History-rich
33050,0.3464922704615514,109,101,history_rich_q75,History-rich
10385,0.480607508953269,102,94,transfer_ready_q75,Transfer-ready
30760,0.5014273475994847,81,73,transfer_ready_q75,Transfer-ready
