strategy,n_sites,mean_delta_rmse,median_delta_rmse,helped_wells,harmed_wells,spearman_similarity_vs_delta
always_tl,97,-0.01013867203722295,-0.020475268363952637,56,41,-0.0038659793814432987
selective_learning,97,-0.052448733872974045,-0.04127424955368042,68,29,-0.07684620239848518
site_hard_selector,97,-0.027615025384116573,-2.0988798365983996e-08,58,39,0.035503892278560906
