similarity_tertile,similarity_range,n_wells,mean_best_similarity,mean_transfer_gain,median_transfer_gain,fixed_transfer_harm_rate,fixed_transfer_help_rate
low,"[0.153, 0.285]",166,0.23603581849397587,0.008656617388667822,0.008234500885009655,0.4457831325301205,0.5542168674698795
middle,"[0.285, 0.363]",165,0.32334662333333336,0.004954008622602973,0.017659664154052734,0.3939393939393939,0.6060606060606061
high,"[0.363, 0.602]",165,0.4403143619999999,0.018025687427231762,0.01106482744216919,0.4121212121212121,0.5878787878787879
