similarity_bin,n_sites,mean_delta_rmse_always_tl_vs_no_tl,mean_delta_rmse_selective_vs_no_tl,always_tl_harmed_site_rate,selective_partial_rescue_rate,selective_full_rescue_rate
"(0.152, 0.261]",124,-0.010865650350047697,-0.020336072291097334,0.4274193548387097,0.4274193548387097,0.20967741935483872
"(0.261, 0.324]",124,0.002043570722303083,-0.011106460805862181,0.46774193548387094,0.45161290322580644,0.12096774193548387
"(0.324, 0.388]",124,-0.016443080479098905,-0.02384155652215404,0.3790322580645161,0.3790322580645161,0.1532258064516129
"(0.388, 0.602]",124,-0.01690135872171771,-0.029729959705183582,0.3951612903225806,0.3951612903225806,0.16129032258064516
