model_family,test_rank_rmse,rmse_test,mae_test,r2_test,seed_n,seed_mean_rmse_test,seed_std_rmse_test,seed_mean_mae_test,seed_std_mae_test,rolling_n_folds,rolling_mean_rmse_test,rolling_std_rmse_test,rolling_mean_mae_test,rolling_std_mae_test
Site-Hard Expert Selector,1.0,2.0452394430169933,1.0171056985855103,0.2516123056411743,5,2.1350103904539126,0.06405181670661385,1.0591697454452516,0.04234183860566598,3,1.9106308772940512,0.2882707464798003,1.0513453880945842,0.06208794500173527
Deep Context LSTM (Always TL),2.0,2.0519051514802986,1.0239311456680298,0.24672609567642212,5,2.12819252085569,0.04798726091236587,1.0493736743927002,0.017188830038304063,3,1.914712338287343,0.28427649917296083,1.0581992069880168,0.06173523803728624
Context-Aware Selective Learning,3.0,2.0901791312371243,1.0252087116241455,0.21836256980895996,5,2.1407882790438255,0.04474341927137091,1.0512096166610718,0.038782974260791005,3,1.9080071007000796,0.2890459825482927,1.0427465836207073,0.06868143318284628
Deep Context LSTM (No TL),4.0,2.1327852240414757,1.0383845567703247,0.18617206811904907,5,2.1735754784472396,0.060421823640731315,1.084502911567688,0.07909432756785495,3,1.9157932922274055,0.29806177835132625,1.0428584814071655,0.06324768197768792
Random Forest,5.0,2.212496896669064,1.0714898354358384,0.12420247811663443,5,2.209688943746246,0.0021574448151964526,1.069494291122187,0.0033384239282664425,3,1.9381638329223836,0.2990903724286143,1.0416105227177006,0.028981043178306336
Baseline LSTM (No TL),6.0,2.3692919752768606,1.2417179346084595,-0.004327893257141113,5,2.3693107986070374,0.00029075640141049114,1.2417669773101807,0.0004500707424536893,3,2.1116594197561565,0.3412614094053671,1.219704548517863,0.05231492775453831
Baseline LSTM (TL),7.0,2.3697824890182577,1.2470816373825073,-0.004743814468383789,5,2.3700673064861295,0.0012595247452823939,1.247954773902893,0.0020392493007115164,3,2.1092802477509873,0.34913931514158947,1.2198052008946736,0.06707140059780564
