model_family,split,rmse,mae,r2,n,fold_id,train_start,train_end,test_start,test_end
Site-Hard Expert Selector,val,1.262390147047186,0.8363581895828247,0.1945798397064209,1448,2,1998-05-01,2008-04-01,2012-05-01,2014-10-01
Deep Context LSTM (Always TL),val,1.2624485515271466,0.8374451398849487,0.19450539350509644,1448,2,1998-05-01,2008-04-01,2012-05-01,2014-10-01
Random Forest,val,1.301023180588995,0.8732131587880436,0.14452889392081203,1448,2,1998-05-01,2008-04-01,2012-05-01,2014-10-01
Baseline LSTM (TL),val,1.4116568994615815,0.9761887192726135,-0.00714874267578125,1448,2,1998-05-01,2008-04-01,2012-05-01,2014-10-01
Baseline LSTM (No TL),val,1.4133853028447287,0.9794854521751404,-0.009616494178771973,1448,2,1998-05-01,2008-04-01,2012-05-01,2014-10-01
Context-Aware Selective Learning,cal,1.4297487839868548,0.8346861004829407,0.3029593825340271,991,3,2000-04-01,2010-03-01,2014-04-01,2016-09-01
Site-Hard Expert Selector,cal,1.445996097047638,0.8668676018714905,0.28702735900878906,991,3,2000-04-01,2010-03-01,2014-04-01,2016-09-01
Deep Context LSTM (Always TL),cal,1.4499440807214734,0.8701094388961792,0.28312885761260986,991,3,2000-04-01,2010-03-01,2014-04-01,2016-09-01
Deep Context LSTM (No TL),cal,1.4885401863462733,0.9036922454833984,0.24445605278015137,991,3,2000-04-01,2010-03-01,2014-04-01,2016-09-01
Random Forest,cal,1.5204141846514823,0.9220967194370933,0.2117528271963468,991,3,2000-04-01,2010-03-01,2014-04-01,2016-09-01
Baseline LSTM (TL),cal,1.7397552755511285,1.1228586435317993,-0.03208363056182861,991,3,2000-04-01,2010-03-01,2014-04-01,2016-09-01
Baseline LSTM (No TL),cal,1.7448784953665195,1.1263680458068848,-0.03817117214202881,991,3,2000-04-01,2010-03-01,2014-04-01,2016-09-01
Context-Aware Selective Learning,test,2.2241447305103774,1.1100454330444336,0.19604921340942383,1572,3,2000-04-01,2010-03-01,2014-04-01,2016-09-01
Site-Hard Expert Selector,test,2.2252000354471293,1.115172266960144,0.1952860951423645,1572,3,2000-04-01,2010-03-01,2014-04-01,2016-09-01
Deep Context LSTM (Always TL),test,2.2258142117395794,1.1161941289901733,0.19484186172485352,1572,3,2000-04-01,2010-03-01,2014-04-01,2016-09-01
Deep Context LSTM (No TL),test,2.240873583168173,1.1071280241012573,0.18391001224517822,1572,3,2000-04-01,2010-03-01,2014-04-01,2016-09-01
Random Forest,test,2.2574352130372657,1.0712975969396257,0.1718023290560391,1572,3,2000-04-01,2010-03-01,2014-04-01,2016-09-01
Baseline LSTM (No TL),test,2.484787336955378,1.2785261869430542,-0.0034178495407104492,1572,3,2000-04-01,2010-03-01,2014-04-01,2016-09-01
Baseline LSTM (TL),test,2.4940791589247255,1.294514775276184,-0.010936379432678223,1572,3,2000-04-01,2010-03-01,2014-04-01,2016-09-01
Deep Context LSTM (No TL),val,1.5954071106536931,0.9729880690574646,0.22257351875305176,1524,3,2000-04-01,2010-03-01,2014-04-01,2016-09-01
Context-Aware Selective Learning,val,1.597880974892785,0.9730324745178223,0.22016066312789917,1524,3,2000-04-01,2010-03-01,2014-04-01,2016-09-01
Site-Hard Expert Selector,val,1.6065727206552276,0.9790873527526855,0.21165364980697632,1524,3,2000-04-01,2010-03-01,2014-04-01,2016-09-01
Deep Context LSTM (Always TL),val,1.6094612172559717,0.9815933108329773,0.20881634950637817,1524,3,2000-04-01,2010-03-01,2014-04-01,2016-09-01
Random Forest,val,1.6408674488026107,1.0049755909661573,0.17763754358386508,1524,3,2000-04-01,2010-03-01,2014-04-01,2016-09-01
Baseline LSTM (TL),val,1.8070718446518386,1.1831468343734741,0.0026050806045532227,1524,3,2000-04-01,2010-03-01,2014-04-01,2016-09-01
Baseline LSTM (No TL),val,1.8185557127277678,1.1936661005020142,-0.01011192798614502,1524,3,2000-04-01,2010-03-01,2014-04-01,2016-09-01
