ablation_key,ablation_label,selector_model,n_features,rmse_cal,rmse_test,mae_test,r2_test,delta_rmse_vs_always_tl,delta_rmse_vs_no_tl,delta_rmse_vs_main
site_hard_selector,Site-Hard Expert Selector,hard_site_policy,0,1.543167680881682,2.0452394430169933,1.0171056985855103,0.2516123056411743,-0.0066657084633052754,-0.0875457810244824,-0.04493968822013095
no_window_state,No target state,hgb_env,29,1.5269376014745977,2.079969118512596,1.0204237699508667,0.22598010301589966,0.0280639670322973,-0.05281610552887983,-0.010210012724528372
full,Full gate (+ expert disagreement),hgb_env,55,1.5163984389892529,2.080845593635434,1.022218942642212,0.22532767057418823,0.02894044215513558,-0.05193963040604155,-0.00933353760169009
no_similarity,No similarity diagnostics,hgb_env,33,1.519599108909151,2.0870487524899306,1.024297833442688,0.22070199251174927,0.035143601009631986,-0.045736471551545144,-0.003130378747193685
context_similarity_state,Main gate (context + similarity + target state),hgb_env,47,1.5164875053950049,2.0901791312371243,1.0252087116241455,0.21836256980895996,0.03827397975682567,-0.04260609280435146,0.0
deep_neural_gate,Deep neural gate,mlp_env,47,1.5464298108585819,2.0932773796832223,1.0243377685546875,0.2160436511039734,0.04137222820292363,-0.0395078443582535,0.003098248446097962
