site_id,cell_id,cosine_similarity,months_used,selector_rmse_no_tl,selector_rmse_always_tl,calibration_margin_no_tl_vs_always_tl,selected_expert,selected_parent,use_transfer,selected_selector_rmse,selector_policy,selector_margin_threshold,selector_overlap_threshold_months
34597,54194,0.5932247,76,0.79672134,0.8419649,0.04524356,Deep Context LSTM (No TL),Deep Context LSTM (No TL),False,0.79672134,cal_margin_gt_0.02_and_overlap_ge_72_default_always_tl,0.02,72
37680,37287,0.49037263,141,0.9423043,0.93952566,-0.0027786493,Deep Context LSTM (Always TL),Deep Context LSTM (Always TL),True,0.93952566,cal_margin_gt_0.02_and_overlap_ge_72_default_always_tl,0.02,72
37692,67575,0.23445965,140,1.0272905,1.0008218,-0.026468635,Deep Context LSTM (Always TL),Deep Context LSTM (Always TL),True,1.0008218,cal_margin_gt_0.02_and_overlap_ge_72_default_always_tl,0.02,72
37734,36514,0.3787821,141,1.2928218,1.3279876,0.035165787,Deep Context LSTM (No TL),Deep Context LSTM (No TL),False,1.2928218,cal_margin_gt_0.02_and_overlap_ge_72_default_always_tl,0.02,72
37757,36514,0.50579333,138,0.85088766,0.9795462,0.12865853,Deep Context LSTM (No TL),Deep Context LSTM (No TL),False,0.85088766,cal_margin_gt_0.02_and_overlap_ge_72_default_always_tl,0.02,72
37775,79170,0.439216,141,0.6847873,0.67791665,-0.0068706274,Deep Context LSTM (Always TL),Deep Context LSTM (Always TL),True,0.67791665,cal_margin_gt_0.02_and_overlap_ge_72_default_always_tl,0.02,72
37801,55441,0.25126195,140,0.6495861,0.6800312,0.030445099,Deep Context LSTM (No TL),Deep Context LSTM (No TL),False,0.6495861,cal_margin_gt_0.02_and_overlap_ge_72_default_always_tl,0.02,72
37827,49974,0.18417262,141,1.2441275,1.2757409,0.03161335,Deep Context LSTM (No TL),Deep Context LSTM (No TL),False,1.2441275,cal_margin_gt_0.02_and_overlap_ge_72_default_always_tl,0.02,72
37841,36514,0.33998638,141,1.1131934,1.106934,-0.0062594414,Deep Context LSTM (Always TL),Deep Context LSTM (Always TL),True,1.106934,cal_margin_gt_0.02_and_overlap_ge_72_default_always_tl,0.02,72
37867,34927,0.20876807,141,1.1506671,1.0745233,-0.07614374,Deep Context LSTM (Always TL),Deep Context LSTM (Always TL),True,1.0745233,cal_margin_gt_0.02_and_overlap_ge_72_default_always_tl,0.02,72
37906,37915,0.23893873,141,1.3077798,1.4115993,0.10381949,Deep Context LSTM (No TL),Deep Context LSTM (No TL),False,1.3077798,cal_margin_gt_0.02_and_overlap_ge_72_default_always_tl,0.02,72
37912,12080,0.2137594,141,1.5460196,1.4574801,-0.08853948,Deep Context LSTM (Always TL),Deep Context LSTM (Always TL),True,1.4574801,cal_margin_gt_0.02_and_overlap_ge_72_default_always_tl,0.02,72
37920,27713,0.5023114,140,0.82909375,0.7731517,-0.05594206,Deep Context LSTM (Always TL),Deep Context LSTM (Always TL),True,0.7731517,cal_margin_gt_0.02_and_overlap_ge_72_default_always_tl,0.02,72
37923,75352,0.2918087,137,1.1466485,1.1332681,-0.013380408,Deep Context LSTM (Always TL),Deep Context LSTM (Always TL),True,1.1332681,cal_margin_gt_0.02_and_overlap_ge_72_default_always_tl,0.02,72
37937,37287,0.48321173,139,0.9344249,0.98146135,0.04703647,Deep Context LSTM (No TL),Deep Context LSTM (No TL),False,0.9344249,cal_margin_gt_0.02_and_overlap_ge_72_default_always_tl,0.02,72
37960,54218,0.2803814,141,0.8489583,0.96872973,0.11977142,Deep Context LSTM (No TL),Deep Context LSTM (No TL),False,0.8489583,cal_margin_gt_0.02_and_overlap_ge_72_default_always_tl,0.02,72
37962,77981,0.15746368,141,0.8286831,0.8663871,0.03770405,Deep Context LSTM (No TL),Deep Context LSTM (No TL),False,0.8286831,cal_margin_gt_0.02_and_overlap_ge_72_default_always_tl,0.02,72
37964,34927,0.21184495,141,1.2148346,1.2139051,-0.00092947483,Deep Context LSTM (Always TL),Deep Context LSTM (Always TL),True,1.2139051,cal_margin_gt_0.02_and_overlap_ge_72_default_always_tl,0.02,72
37991,36514,0.28562942,141,0.63212025,0.6206053,-0.011514962,Deep Context LSTM (Always TL),Deep Context LSTM (Always TL),True,0.6206053,cal_margin_gt_0.02_and_overlap_ge_72_default_always_tl,0.02,72
37997,34927,0.19297063,141,1.4206084,1.3713837,-0.049224734,Deep Context LSTM (Always TL),Deep Context LSTM (Always TL),True,1.3713837,cal_margin_gt_0.02_and_overlap_ge_72_default_always_tl,0.02,72
38009,75352,0.28165442,141,1.165606,1.0973401,-0.068265915,Deep Context LSTM (Always TL),Deep Context LSTM (Always TL),True,1.0973401,cal_margin_gt_0.02_and_overlap_ge_72_default_always_tl,0.02,72
38020,132086,0.24353537,140,1.0610043,0.98753804,-0.07346624,Deep Context LSTM (Always TL),Deep Context LSTM (Always TL),True,0.98753804,cal_margin_gt_0.02_and_overlap_ge_72_default_always_tl,0.02,72
38037,49974,0.20173806,141,1.1660774,1.1534525,-0.01262486,Deep Context LSTM (Always TL),Deep Context LSTM (Always TL),True,1.1534525,cal_margin_gt_0.02_and_overlap_ge_72_default_always_tl,0.02,72
38046,55441,0.32303122,137,0.85373646,0.8150894,-0.038647056,Deep Context LSTM (Always TL),Deep Context LSTM (Always TL),True,0.8150894,cal_margin_gt_0.02_and_overlap_ge_72_default_always_tl,0.02,72
38062,136339,0.32604885,141,0.80279297,0.85325325,0.05046028,Deep Context LSTM (No TL),Deep Context LSTM (No TL),False,0.80279297,cal_margin_gt_0.02_and_overlap_ge_72_default_always_tl,0.02,72
38068,75352,0.38438818,141,1.3808899,1.4400884,0.0591985,Deep Context LSTM (No TL),Deep Context LSTM (No TL),False,1.3808899,cal_margin_gt_0.02_and_overlap_ge_72_default_always_tl,0.02,72
42660,55441,0.390311,131,0.8299354,0.8127035,-0.017231882,Deep Context LSTM (Always TL),Deep Context LSTM (Always TL),True,0.8127035,cal_margin_gt_0.02_and_overlap_ge_72_default_always_tl,0.02,72
43567,12080,0.20198983,139,1.2053549,1.1860472,-0.019307733,Deep Context LSTM (Always TL),Deep Context LSTM (Always TL),True,1.1860472,cal_margin_gt_0.02_and_overlap_ge_72_default_always_tl,0.02,72
43568,12080,0.25884423,140,1.2735707,1.2121041,-0.061466575,Deep Context LSTM (Always TL),Deep Context LSTM (Always TL),True,1.2121041,cal_margin_gt_0.02_and_overlap_ge_72_default_always_tl,0.02,72
43569,54218,0.3140588,139,2.2436924,2.2621977,0.018505335,Deep Context LSTM (Always TL),Deep Context LSTM (Always TL),True,2.2621977,cal_margin_gt_0.02_and_overlap_ge_72_default_always_tl,0.02,72
