model_family,test_rank_rmse,rmse_test,mae_test,r2_test,delta_rmse_vs_selective,delta_mae_vs_selective,n_test
Context-Aware Selective Learning,1.0,2.0956903832324674,0.9186467528343201,0.18655478954315186,-0.0031654272135988037,-0.00830090045928955,16547.0
Site-Hard Expert Selector,2.0,2.098855810446066,0.9269476532936096,0.184095561504364,0.0,0.0,16547.0
Deep Context LSTM (No TL),3.0,2.106178857524406,0.9331862926483154,0.1783921718597412,0.007323047078339862,0.0062386393547058105,16547.0
Deep Context LSTM (Always TL),4.0,2.109467228886501,0.9257134795188904,0.1758245825767517,0.010611418440434672,-0.0012341737747192383,16547.0
Random Forest,5.0,2.153770552930071,0.8656902553463567,0.14084213142185786,0.05491474248400463,-0.061257397947252934,16547.0
