strategy,n_sites,mean_delta_rmse,median_delta_rmse,helped_wells,harmed_wells,spearman_similarity_vs_delta
always_tl,496,-0.0169302205284757,-0.016642630100250244,291,205,-0.048678876779740025
selective_learning,496,-0.019587996325665904,-0.018247246742248535,343,153,-0.060928129874063534
site_hard_selector,496,-0.013959452750221375,0.0,242,175,-0.01990528393222886
