analysis_unit,subset_label,n,mean_always_tl_delta,mean_selective_delta_vs_no_tl,mean_selective_delta_vs_always_tl,always_tl_help_rate,always_tl_harm_rate,selective_partial_rescue_rate,selective_full_rescue_rate
site,all_sites,496,-0.0169302205284757,-0.019587996325665904,-0.0026577757971902047,0.5866935483870968,0.41330645161290325,0.40524193548387094,0.10685483870967742
site,always_tl_harmed_sites,205,0.05837840321587353,0.023183411359786986,-0.035194991856086544,0.0,1.0,0.9804878048780488,0.25853658536585367
site,always_tl_helped_sites,291,-0.06998268742741588,-0.049719056722634436,0.020263630704781443,1.0,0.0,0.0,0.0
observation,all_observations,16547,-0.007472820580005646,-0.014539575204253197,-0.007066756021231413,0.47718619689369673,0.5228138031063032,0.5217864265425757,0.023387925303680425
observation,always_tl_harmed_observations,8651,0.1988295316696167,0.10565979033708572,-0.09316971898078918,0.0,1.0,0.9980349092590451,0.0447347127499711
observation,always_tl_helped_observations,7896,-0.2335013747215271,-0.14623215794563293,0.08726920187473297,1.0,0.0,0.0,0.0
