site_id,model_family,rmse,mae,n
9698,Random Forest,0.6707174013772342,0.5760208062771157,37
9698,Deep Context LSTM (Always TL),0.7642706036567688,0.5405228734016418,37
9698,Site-Hard Expert Selector,0.7642706036567688,0.5405228734016418,37
9698,Context-Aware Selective Learning,0.7706514000892639,0.5593079328536987,37
9698,Deep Context LSTM (No TL),0.8238343000411987,0.6276178956031799,37
9799,Random Forest,0.7222272183529129,0.6185300048135571,28
9799,Deep Context LSTM (No TL),0.944568395614624,0.8132604956626892,28
9799,Context-Aware Selective Learning,1.0213652849197388,0.8829460144042969,28
9799,Deep Context LSTM (Always TL),1.094443678855896,0.9231258034706116,28
9799,Site-Hard Expert Selector,1.094443678855896,0.9231258034706116,28
9802,Random Forest,0.5448661595540114,0.4037363738460881,30
9802,Deep Context LSTM (Always TL),0.6153151988983154,0.49788910150527954,30
9802,Context-Aware Selective Learning,0.71864914894104,0.5695754289627075,30
9802,Deep Context LSTM (No TL),0.7906350493431091,0.6282798051834106,30
9802,Site-Hard Expert Selector,0.7906350493431091,0.6282798051834106,30
9804,Random Forest,0.5728913970269143,0.4302048165898076,37
9804,Deep Context LSTM (No TL),0.7146120071411133,0.5557199120521545,37
9804,Context-Aware Selective Learning,0.7470673322677612,0.5909212231636047,37
9804,Deep Context LSTM (Always TL),0.7803423404693604,0.6229446530342102,37
9804,Site-Hard Expert Selector,0.7803423404693604,0.6229446530342102,37
9822,Deep Context LSTM (Always TL),0.7922632694244385,0.6350353360176086,37
9822,Site-Hard Expert Selector,0.7922632694244385,0.6350353360176086,37
9822,Context-Aware Selective Learning,0.8336514830589294,0.6992368698120117,37
9822,Deep Context LSTM (No TL),0.9081162214279175,0.7936334013938904,37
9822,Random Forest,0.9250332270864691,0.7777547948856116,37
9840,Random Forest,0.697165073210126,0.5687502049338375,29
9840,Deep Context LSTM (Always TL),0.7910631895065308,0.6535233855247498,29
9840,Site-Hard Expert Selector,0.7910631895065308,0.6535233855247498,29
9840,Context-Aware Selective Learning,0.7954009175300598,0.6526167392730713,29
9840,Deep Context LSTM (No TL),0.8654951453208923,0.7134155631065369,29
9844,Random Forest,0.8121463877983373,0.6923013483354085,32
9844,Context-Aware Selective Learning,0.9520801305770874,0.7618536949157715,32
9844,Deep Context LSTM (Always TL),0.9577491283416748,0.7528733611106873,32
9844,Site-Hard Expert Selector,0.9577491283416748,0.7528733611106873,32
9844,Deep Context LSTM (No TL),0.981084406375885,0.7818964719772339,32
9853,Deep Context LSTM (Always TL),0.7222054600715637,0.5685014128684998,37
9853,Site-Hard Expert Selector,0.7222054600715637,0.5685014128684998,37
9853,Context-Aware Selective Learning,0.7807788848876953,0.6538361310958862,37
9853,Deep Context LSTM (No TL),0.8682547807693481,0.7477220892906189,37
9853,Random Forest,0.9804028732516784,0.8563045498336169,37
9896,Random Forest,0.7327245780214243,0.6129775642143441,27
9896,Context-Aware Selective Learning,0.9857072234153748,0.7952678203582764,27
