site_id,Context-Aware Selective Learning,Deep Context LSTM (Always TL),Deep Context LSTM (No TL),Random Forest,Site-Hard Expert Selector
9698,0.7706514000892639,0.7642706036567688,0.8238343000411987,0.6707174013772342,0.7642706036567688
9799,1.0213652849197388,1.094443678855896,0.944568395614624,0.7222272183529129,1.094443678855896
9802,0.71864914894104,0.6153151988983154,0.7906350493431091,0.5448661595540114,0.7906350493431091
9804,0.7470673322677612,0.7803423404693604,0.7146120071411133,0.5728913970269143,0.7803423404693604
9822,0.8336514830589294,0.7922632694244385,0.9081162214279175,0.9250332270864691,0.7922632694244385
9840,0.7954009175300598,0.7910631895065308,0.8654951453208923,0.697165073210126,0.7910631895065308
9844,0.9520801305770874,0.9577491283416748,0.981084406375885,0.8121463877983373,0.9577491283416748
9853,0.7807788848876953,0.7222054600715637,0.8682547807693481,0.9804028732516784,0.7222054600715637
9896,0.9857072234153748,0.9914407730102539,1.0377005338668823,0.7327245780214243,0.9914407730102539
9913,1.3513723611831665,1.31589937210083,1.4156157970428467,1.233250794198357,1.31589937210083
9963,0.9961430430412292,1.0283714532852173,0.9905125498771667,0.8219479183475379,1.0283714532852173
9966,0.6598243117332458,0.6651449799537659,0.7027971744537354,0.5601467920140885,0.6651449799537659
10041,0.7109105587005615,0.7178568243980408,0.7415973544120789,0.6418005655380742,0.7178568243980408
10046,0.9207343459129333,0.8897446990013123,1.0070805549621582,0.8723163812217105,0.8897446990013123
10047,0.8160003423690796,0.8286937475204468,0.7887244820594788,0.782449303641334,0.8286937475204468
10063,1.088810920715332,1.0431147813796997,1.1929435729980469,1.1554677824247621,1.0431147813796997
10094,1.3030905723571777,1.3451026678085327,1.2133604288101196,0.9833414458642736,1.3451026678085327
10096,0.5734007358551025,0.5631280541419983,0.6212987303733826,0.3732871935084376,0.5631280541419983
10132,0.7796024680137634,0.7677959203720093,0.849894642829895,0.8188548912904936,0.7677959203720093
10144,0.6904361844062805,0.7030099630355835,0.7143731713294983,0.6032260326831501,0.7143731713294983
10153,1.0137639045715332,1.0172539949417114,1.0457031726837158,0.9446115268672364,1.0172539949417114
10160,0.6958123445510864,0.7578492164611816,0.6601942777633667,0.7486022489256259,0.7578492164611816
10267,0.7795774340629578,0.7837651371955872,0.7832017540931702,0.6215380062389742,0.7837651371955872
10301,0.4123615026473999,0.36849403381347656,0.4677256941795349,0.3876397263804681,0.4677256941795349
10335,0.8217578530311584,0.8200446367263794,0.8622525930404663,0.7594142054540877,0.8200446367263794
10375,0.9998347759246826,1.0030438899993896,1.00566828250885,0.8725701701215802,1.0030438899993896
10472,0.9868437647819519,0.9644221067428589,1.0386282205581665,1.082897582503312,1.0386282205581665
10496,0.6683604717254639,0.6851995587348938,0.6779942512512207,0.5018928288334076,0.6851995587348938
10510,0.5228880047798157,0.5261239409446716,0.5455899238586426,0.3943782364206782,0.5261239409446716
10524,1.285374641418457,1.3191075325012207,1.2287757396697998,1.2192988677643715,1.3191075325012207
10527,0.5931468605995178,0.5734961628913879,0.6390495896339417,0.4747326665750696,0.5734961628913879
10545,0.581989586353302,0.4780840575695038,0.674260139465332,0.6155880638782759,0.4780840575695038
10559,0.6411256194114685,0.6517489552497864,0.6370734572410583,0.6360437417496662,0.6517489552497864
10567,0.9097044467926025,0.9056082367897034,0.9362335801124573,0.7866267913623995,0.9056082367897034
12113,1.8974064588546753,1.847995638847351,1.9627069234848022,1.9688918507784445,1.847995638847351
12117,1.3963909149169922,1.3943088054656982,1.4193462133407593,1.3184485024425578,1.3943088054656982
12132,0.5759831666946411,0.5785747766494751,0.6473586559295654,0.6212397099282443,0.5785747766494751
12141,0.9196867346763611,0.9345507621765137,0.941153883934021,0.8695975248625859,0.9345507621765137
12148,0.8581061959266663,0.837005078792572,0.9467038512229919,0.8560840269476909,0.837005078792572
12162,1.5015761852264404,1.4974207878112793,1.513566493988037,1.351042112666743,1.4974207878112793
12164,0.7376003265380859,0.7268102169036865,0.77399742603302,0.5680622844694891,0.7268102169036865
12171,1.2464901208877563,1.2749913930892944,1.2306849956512451,1.220866485170386,1.2749913930892944
12178,1.4462333917617798,1.4963815212249756,1.409913420677185,1.0929992583814856,1.4963815212249756
12179,1.0453884601593018,1.0926154851913452,1.0278445482254028,0.9082125279907471,1.0926154851913452
12192,0.8060600757598877,0.8272218704223633,0.7834404706954956,0.5798452062180639,0.8272218704223633
12195,1.7936996221542358,1.8153965473175049,1.7807120084762573,1.8985680194473475,1.8153965473175049
12198,1.1284388303756714,1.144536018371582,1.13432776927948,1.0976641147980226,1.144536018371582
12202,1.8179868459701538,1.8383530378341675,1.831274151802063,1.8646268672948136,1.8383530378341675
12208,0.7071663737297058,0.7166410684585571,0.7348027229309082,0.7477432003277794,0.7166410684585571
12211,2.1129167079925537,2.0931365489959717,2.142669916152954,2.270869273402047,2.0931365489959717
12215,1.5454860925674438,1.6191346645355225,1.4631595611572266,1.2933512587231513,1.6191346645355225
12216,1.3700298070907593,1.3713372945785522,1.3862383365631104,1.351079647234991,1.3713372945785522
12225,1.3554677963256836,1.376893401145935,1.348046898841858,1.2815168202551572,1.376893401145935
12232,1.0749388933181763,1.0996047258377075,1.0372921228408813,0.8606029892853456,1.0996047258377075
12242,1.3545832633972168,1.3691866397857666,1.3555876016616821,1.242806450391005,1.3691866397857666
12244,1.7724664211273193,1.7451308965682983,1.8359332084655762,1.7370595034206129,1.7451308965682983
12248,0.9394562244415283,0.9474356174468994,0.9516763687133789,0.7993316731466985,0.9474356174468994
12250,1.0146090984344482,1.0420680046081543,0.9827967286109924,0.860579525299652,1.0420680046081543
12251,1.351412057876587,1.3319296836853027,1.3885248899459839,1.2978594218738118,1.3319296836853027
12256,0.8947953581809998,0.8825235962867737,0.9450101852416992,0.7786008015027022,0.8825235962867737
12258,1.272995114326477,1.2675416469573975,1.289258599281311,1.1944360622839645,1.2675416469573975
12270,0.9908949732780457,1.0118464231491089,0.9940809607505798,0.798782723708961,0.9940809607505798
12274,1.1441943645477295,1.1490345001220703,1.164236068725586,1.1360707880565883,1.1490345001220703
12275,0.9724999070167542,0.9686918258666992,1.0121065378189087,0.8359223561108484,0.9686918258666992
12279,1.2138055562973022,1.2205638885498047,1.2456079721450806,1.4147716415384455,1.2205638885498047
12281,1.2304911613464355,1.2514758110046387,1.1947194337844849,0.7872504305512826,1.2514758110046387
12282,1.7042782306671143,1.7451690435409546,1.6921478509902954,1.7604985607292567,1.7451690435409546
12283,1.1061402559280396,1.1004496812820435,1.1417975425720215,1.0407231775769228,1.1004496812820435
