model_family,rmse_cal,rmse_test,rmse_val,mae_cal,mae_test,mae_val,r2_cal,r2_test,r2_val,n_cal,n_test,n_val
Context-Aware Selective Learning,2.05814387058257,2.0956903832324674,1.590164489634786,0.88625568151474,0.9186467528343201,0.7704497575759888,0.14509952068328857,0.18655478954315186,0.09958606958389282,9359.0,16547.0,14564.0
Site-Hard Expert Selector,2.0623967693966465,2.098855810446066,1.592726060640999,0.8994133472442627,0.9269476532936096,0.7718935608863831,0.14156275987625122,0.184095561504364,0.09668278694152832,9359.0,16547.0,14564.0
Deep Context LSTM (No TL),2.0825225651172214,2.106178857524406,1.58666471899271,0.9370468258857727,0.9331862926483154,0.7678430080413818,0.12472695112228394,0.1783921718597412,0.10354512929916382,9359.0,16547.0,14564.0
Deep Context LSTM (Always TL),2.092933153830138,2.109467228886501,1.5948816657340763,0.9082334041595459,0.9257134795188904,0.7743934392929077,0.11595410108566284,0.1758245825767517,0.09423601627349854,9359.0,16547.0,14564.0
Random Forest,2.1013226070284343,2.153770552930071,1.6092267435958878,0.8939814240115638,0.8656902553463567,0.7960317510657771,0.10885256065932924,0.14084213142185786,0.07786910152846005,9359.0,16547.0,14564.0
