site_id,cell_id,cosine_similarity,months_used,sim_mean,sim_std,sim_max,sim_min,sim_q90,sim_q95,train_rows,wtda_mean,wtda_std,pr_a_mean,pr_a_std,sm_a_mean,sm_a_std,tsmp_wtda_mean,tsmp_wtda_std,pumping_log_mean,pumping_log_std,lon_norm,lat_norm,max_observations,sim_top3_mean,sim_top3_std,sim_top5_mean,sim_top5_std,sim_top10_mean,sim_top10_std,selector_rmse_no_tl,selector_rmse_always_tl,selector_rmse_selective_learning,selector_rmse_selective_learning_oof,selector_observations,selector_gamma_mean,selector_gamma_std,selector_gamma_oof_mean,selector_gamma_oof_std,transfer_share,transfer_share_oof,upper_envelope_share,upper_envelope_share_oof,selected_expert,selected_expert_count,selector_model,selected_parent,use_transfer,selected_selector_rmse,selector_gain_vs_no_tl,selector_gain_vs_no_tl_oof
25232,54194,0.49703515,134,0.02620592,0.145845,0.49703515,-0.50132805,0.19602297097444538,0.2417379595339298,126,0.01782201020591349,0.9618853734598122,-0.00859683107910448,0.13755382981223574,0.010734507539925374,0.17510491179768828,-0.040904913785820896,0.14811499424089694,0.0,0.0,-1.8085901104585085,-0.9864371949675228,913,0.465781,0.02750453,0.44451147,0.03882283,0.39955196,0.055198938,0.508263,0.5106474,0.4678202,0.47348887,23,0.47502095,0.27951738,0.5694946,0.27692842,0.5217391304347826,0.5652173913043478,0.5217391304347826,0.5652173913043478,Deep Context LSTM (Always TL),12,hgb_env,Deep Context LSTM (Always TL),True,0.4678202,-0.040442795,-0.034774125
25237,54194,0.5036146,138,0.030057346,0.15356633,0.5036146,-0.50904125,0.20658959746360783,0.2613521173596382,130,0.010538361727250811,0.9676492680781837,-0.007810058971014494,0.13651594441120685,0.007663063459057971,0.17418904865840815,-0.038243470451449275,0.14701834754960433,0.0,0.0,-1.7897928352929946,-0.982041913269161,682,0.46638188,0.03818501,0.43705493,0.04909936,0.40299916,0.04886504,0.47368574,0.40738744,0.38831562,0.39333418,23,0.6024272,0.28368157,0.5239163,0.27746335,0.6956521739130435,0.6521739130434783,0.6956521739130435,0.6521739130434783,Deep Context LSTM (Always TL),16,hgb_env,Deep Context LSTM (Always TL),True,0.38831562,-0.08537012,-0.08035156
25238,56721,0.39323145,135,0.021220922,0.15027095,0.39323145,-0.4669384,0.1988807141780854,0.27069769650697706,127,0.0029576809453948283,0.9691846230232916,-0.004799887466666668,0.13585737479397406,0.01203828620259259,0.17282644217896664,-0.04155815415777778,0.14625675324535142,9.983576412990763,0.0,-1.8857865441470276,-0.8949816027240466,811,0.38957644,0.006168848,0.37936282,0.019542975,0.35516325,0.029229322,0.5215376,0.49805,0.48379847,0.48741117,23,0.5688712,0.26799196,0.5965563,0.22972271,0.6521739130434783,0.6521739130434783,0.6521739130434783,0.6521739130434783,Deep Context LSTM (Always TL),15,hgb_env,Deep Context LSTM (Always TL),True,0.48379847,-0.037739128,-0.03412643
25239,77981,0.36530516,128,0.006075033,0.13084355,0.36530516,-0.38760537,0.17186094522476203,0.22382225692272184,120,-0.013766931139975092,0.9634542269777198,-0.018404067246875,0.13487165593297507,0.011484612362109375,0.1769175415423695,-0.04094168804921875,0.15421777459280778,0.0,0.0,-1.9038658518698288,-0.7468985728675409,543,0.35313293,0.014006486,0.33916444,0.021610303,0.30900797,0.035905514,0.9547685,0.93167806,0.9331978,0.93610513,17,0.5049913,0.22477013,0.44367746,0.21074347,0.47058823529411764,0.35294117647058826,0.47058823529411764,0.35294117647058826,Deep Context LSTM (No TL),9,hgb_env,Deep Context LSTM (No TL),False,0.9331978,-0.021570683,-0.018663347
25248,54194,0.4545815,134,0.025599653,0.14875083,0.4545815,-0.48926556,0.2020640328526497,0.23460783287882805,126,0.00978425488063739,0.9671373948424649,-0.007152196676119404,0.1382800374487366,0.0032484944055970154,0.17400518250818225,-0.036043681569402984,0.14723861955005046,0.0,0.0,-1.817175695398036,-0.9602075975360419,810,0.43762007,0.016240796,0.42709103,0.018576588,0.39301997,0.041043743,0.7955431,0.77291214,0.73932165,0.74136764,23,0.5959417,0.3135206,0.56002647,0.30919594,0.6521739130434783,0.5652173913043478,0.6521739130434783,0.5652173913043478,Deep Context LSTM (Always TL),15,hgb_env,Deep Context LSTM (Always TL),True,0.73932165,-0.056221426,-0.054175436
25252,55441,0.3987152,138,0.026005648,0.14773071,0.3987152,-0.40859798,0.2094532340765,0.2698529928922653,130,0.001866162294768905,0.9698114227031612,-0.007810058971014494,0.13651594441120685,0.007663063459057971,0.17418904865840815,-0.038243470451449275,0.14701834754960433,0.0,0.0,-1.787627827796127,-0.9284358790029039,863,0.37270585,0.02258674,0.35648984,0.02787519,0.33732066,0.02763935,1.8324044,1.8413717,1.7868333,1.7932153,23,0.5131312,0.36141777,0.49151263,0.3422599,0.5652173913043478,0.5652173913043478,0.5652173913043478,0.5652173913043478,Deep Context LSTM (Always TL),13,hgb_env,Deep Context LSTM (Always TL),True,1.7868333,-0.04557109,-0.0391891
25253,49381,0.475375,138,0.021644609,0.16201288,0.475375,-0.46438175,0.2230803355574609,0.29386548697948456,130,-0.006480305440533489,0.9692069984280088,-0.007810058971014494,0.13651594441120685,0.007663063459057971,0.17418904865840815,-0.038243470451449275,0.14701834754960433,0.0,0.0,-1.7473039577075271,-0.9261180762066854,790,0.4437035,0.027853573,0.4303732,0.027326876,0.40000877,0.040621784,1.1097369,1.1164033,1.0746738,1.0772133,23,0.5045513,0.37008113,0.5646402,0.3390827,0.5652173913043478,0.6086956521739131,0.5652173913043478,0.6086956521739131,Deep Context LSTM (Always TL),13,hgb_env,Deep Context LSTM (Always TL),True,1.0746738,-0.035063148,-0.032523632
25255,55441,0.4217973,138,0.019954877,0.1499359,0.4217973,-0.46029282,0.1943822264671326,0.24730963781476017,130,0.005330865882787372,0.9690236610116636,-0.007810058971014494,0.13651594441120685,0.007663063459057971,0.17418904865840815,-0.038243470451449275,0.14701834754960433,0.0,0.0,-1.790203216506731,-0.9102364561159488,725,0.38619733,0.031566244,0.36935398,0.033647973,0.3425761,0.036140393,1.6023736,1.5958803,1.5648597,1.567522,23,0.46279508,0.3661891,0.5497686,0.3630166,0.43478260869565216,0.5652173913043478,0.43478260869565216,0.5652173913043478,Deep Context LSTM (No TL),13,hgb_env,Deep Context LSTM (No TL),False,1.5648597,-0.037513852,-0.03485155
25268,36514,0.35669714,141,0.009648264,0.12754087,0.35669714,-0.3715057,0.1640234708786011,0.20003634244203566,133,-0.012989860857389467,0.9658357308520974,-0.008231639730496454,0.13776038277049366,0.006762935810992908,0.17503626378602333,-0.03804333634255319,0.15108711481563591,13.124363376072994,0.0,-2.8455766431727785,-0.4326850169847099,604,0.35283932,0.005677572,0.33595526,0.024913842,0.30884704,0.033376373,0.8577769,0.885979,0.84689873,0.853154,23,0.3162231,0.27275503,0.44080323,0.2267674,0.17391304347826086,0.34782608695652173,0.17391304347826086,0.34782608695652173,Deep Context LSTM (No TL),19,hgb_env,Deep Context LSTM (No TL),False,0.84689873,-0.010878146,-0.0046228766
25275,67575,0.5001467,82,0.014902441,0.17796965,0.5001467,-0.53028214,0.2218541979789734,0.3078240886330603,74,-0.012657539027404586,0.9465623281292357,0.03177749867560976,0.1353640288613985,0.04290988481890244,0.18903327873124215,-0.0628625258390244,0.1446022427384277,13.124363376072996,0.0,-2.847103028085748,-0.4202189700037425,587,0.47518134,0.022991596,0.46114558,0.025179073,0.4334198,0.034974877,0.5908652,0.7125678,0.59866035,0.62017286,19,0.2225467,0.24108331,0.4390789,0.2690495,0.15789473684210525,0.47368421052631576,0.15789473684210525,0.47368421052631576,Deep Context LSTM (No TL),16,hgb_env,Deep Context LSTM (No TL),False,0.59866035,0.007795155,0.029307663
