site_id,driver_code,driver,lag,corr,n_overlap,coverage_months,abs_corr,driver_lag
29581,pr_a,Precipitation anomaly,2,0.25880721129298984,34,34,0.25880721129298984,Precipitation t-2
29581,sm_a,Soil moisture anomaly,2,0.3891997291362799,34,34,0.3891997291362799,Soil moisture t-2
29581,tsmp_wtda,TSMP wtda,3,-0.6111115028009141,34,34,0.6111115028009141,TSMP wtda t-3
29599,pr_a,Precipitation anomaly,2,0.25050576155156873,124,124,0.25050576155156873,Precipitation t-2
29599,sm_a,Soil moisture anomaly,3,0.16143266577664908,124,124,0.16143266577664908,Soil moisture t-3
29599,tsmp_wtda,TSMP wtda,1,-0.039177276689908745,124,124,0.039177276689908745,TSMP wtda t-1
29655,pr_a,Precipitation anomaly,2,0.1792636892789623,78,78,0.1792636892789623,Precipitation t-2
29655,sm_a,Soil moisture anomaly,3,-0.11834705968797982,78,78,0.11834705968797982,Soil moisture t-3
29655,tsmp_wtda,TSMP wtda,3,-0.2491703469560809,78,78,0.2491703469560809,TSMP wtda t-3
29680,pr_a,Precipitation anomaly,2,0.4907389375728892,117,117,0.4907389375728892,Precipitation t-2
29680,sm_a,Soil moisture anomaly,2,0.3938626241463508,117,117,0.3938626241463508,Soil moisture t-2
29680,tsmp_wtda,TSMP wtda,2,-0.27160606161194,117,117,0.27160606161194,TSMP wtda t-2
29698,pr_a,Precipitation anomaly,3,-0.3562800858775899,29,29,0.3562800858775899,Precipitation t-3
29698,sm_a,Soil moisture anomaly,3,-0.27330821965915425,29,29,0.27330821965915425,Soil moisture t-3
29698,tsmp_wtda,TSMP wtda,1,-0.0802559140558828,29,29,0.0802559140558828,TSMP wtda t-1
29708,pr_a,Precipitation anomaly,1,-0.2084078970007267,119,119,0.2084078970007267,Precipitation t-1
29708,sm_a,Soil moisture anomaly,3,0.3216810570109594,119,119,0.3216810570109594,Soil moisture t-3
29708,tsmp_wtda,TSMP wtda,3,-0.2681163861145447,119,119,0.2681163861145447,TSMP wtda t-3
29740,pr_a,Precipitation anomaly,3,0.15764719339378777,89,89,0.15764719339378777,Precipitation t-3
29740,sm_a,Soil moisture anomaly,2,0.2071092253576844,89,89,0.2071092253576844,Soil moisture t-2
29740,tsmp_wtda,TSMP wtda,1,-0.122818478943085,89,89,0.122818478943085,TSMP wtda t-1
29756,pr_a,Precipitation anomaly,1,-0.11795877355676604,123,123,0.11795877355676604,Precipitation t-1
29756,sm_a,Soil moisture anomaly,3,0.10048223324374678,123,123,0.10048223324374678,Soil moisture t-3
29756,tsmp_wtda,TSMP wtda,3,-0.12342535305618592,123,123,0.12342535305618592,TSMP wtda t-3
29794,pr_a,Precipitation anomaly,1,0.16277452265025846,97,97,0.16277452265025846,Precipitation t-1
29794,sm_a,Soil moisture anomaly,3,-0.2850277295799869,97,97,0.2850277295799869,Soil moisture t-3
29794,tsmp_wtda,TSMP wtda,1,0.14336463012169837,97,97,0.14336463012169837,TSMP wtda t-1
29812,pr_a,Precipitation anomaly,3,0.30407417595536385,130,130,0.30407417595536385,Precipitation t-3
29812,sm_a,Soil moisture anomaly,2,-0.18846977440543022,130,130,0.18846977440543022,Soil moisture t-2
29812,tsmp_wtda,TSMP wtda,3,0.20160644893271074,130,130,0.20160644893271074,TSMP wtda t-3
29828,pr_a,Precipitation anomaly,1,-0.28244444380681616,59,59,0.28244444380681616,Precipitation t-1
29828,sm_a,Soil moisture anomaly,1,0.24597423424335235,59,59,0.24597423424335235,Soil moisture t-1
29828,tsmp_wtda,TSMP wtda,3,0.13441531285742367,59,59,0.13441531285742367,TSMP wtda t-3
29829,pr_a,Precipitation anomaly,3,0.458722268435675,121,121,0.458722268435675,Precipitation t-3
29829,sm_a,Soil moisture anomaly,1,0.296213737724049,121,121,0.296213737724049,Soil moisture t-1
29829,tsmp_wtda,TSMP wtda,3,0.21898308854094206,121,121,0.21898308854094206,TSMP wtda t-3
29848,pr_a,Precipitation anomaly,1,-0.052590217513545916,129,129,0.052590217513545916,Precipitation t-1
29848,sm_a,Soil moisture anomaly,2,-0.08885518246602526,129,129,0.08885518246602526,Soil moisture t-2
29848,tsmp_wtda,TSMP wtda,1,-0.06571635220725228,129,129,0.06571635220725228,TSMP wtda t-1
29861,pr_a,Precipitation anomaly,3,-0.05660152127955548,85,85,0.05660152127955548,Precipitation t-3
29861,sm_a,Soil moisture anomaly,3,-0.0897325734669887,85,85,0.0897325734669887,Soil moisture t-3
29861,tsmp_wtda,TSMP wtda,3,0.1380165881129511,85,85,0.1380165881129511,TSMP wtda t-3
29908,pr_a,Precipitation anomaly,3,0.12529810535216224,121,121,0.12529810535216224,Precipitation t-3
29908,sm_a,Soil moisture anomaly,3,-0.2068117617499693,121,121,0.2068117617499693,Soil moisture t-3
29908,tsmp_wtda,TSMP wtda,3,0.110019129395863,121,121,0.110019129395863,TSMP wtda t-3
29909,pr_a,Precipitation anomaly,1,-0.17169424381818846,45,45,0.17169424381818846,Precipitation t-1
29909,sm_a,Soil moisture anomaly,2,0.2666387775737217,45,45,0.2666387775737217,Soil moisture t-2
29909,tsmp_wtda,TSMP wtda,3,-0.3205234006072614,45,45,0.3205234006072614,TSMP wtda t-3
29931,pr_a,Precipitation anomaly,1,-0.253574489120888,152,152,0.253574489120888,Precipitation t-1
29931,sm_a,Soil moisture anomaly,3,0.1111933116199951,152,152,0.1111933116199951,Soil moisture t-3
29931,tsmp_wtda,TSMP wtda,1,-0.11357405898677916,152,152,0.11357405898677916,TSMP wtda t-1
29961,pr_a,Precipitation anomaly,1,-0.4189533661658867,142,142,0.4189533661658867,Precipitation t-1
29961,sm_a,Soil moisture anomaly,3,-0.14618327769564785,142,142,0.14618327769564785,Soil moisture t-3
29961,tsmp_wtda,TSMP wtda,3,0.12230410674333003,142,142,0.12230410674333003,TSMP wtda t-3
29971,pr_a,Precipitation anomaly,3,0.17072701076089128,43,43,0.17072701076089128,Precipitation t-3
29971,sm_a,Soil moisture anomaly,1,-0.2513198399786204,43,43,0.2513198399786204,Soil moisture t-1
29971,tsmp_wtda,TSMP wtda,3,0.11094883886837376,43,43,0.11094883886837376,TSMP wtda t-3
29982,pr_a,Precipitation anomaly,1,-0.10790843530178851,127,127,0.10790843530178851,Precipitation t-1
29982,sm_a,Soil moisture anomaly,3,0.2876800455169273,127,127,0.2876800455169273,Soil moisture t-3
29982,tsmp_wtda,TSMP wtda,3,-0.15304096529502736,127,127,0.15304096529502736,TSMP wtda t-3
29997,pr_a,Precipitation anomaly,1,0.4571467243032277,28,28,0.4571467243032277,Precipitation t-1
29997,sm_a,Soil moisture anomaly,1,0.28383863310075647,28,28,0.28383863310075647,Soil moisture t-1
29997,tsmp_wtda,TSMP wtda,1,-0.5664813182383867,28,28,0.5664813182383867,TSMP wtda t-1
30035,pr_a,Precipitation anomaly,2,0.17198633132314756,125,125,0.17198633132314756,Precipitation t-2
30035,sm_a,Soil moisture anomaly,1,0.19947100383581856,125,125,0.19947100383581856,Soil moisture t-1
30035,tsmp_wtda,TSMP wtda,1,-0.13299089401431788,125,125,0.13299089401431788,TSMP wtda t-1
30066,pr_a,Precipitation anomaly,1,0.06673816190814083,178,178,0.06673816190814083,Precipitation t-1
30066,sm_a,Soil moisture anomaly,3,-0.12120955488161173,178,178,0.12120955488161173,Soil moisture t-3
30066,tsmp_wtda,TSMP wtda,1,-0.07661320436743627,178,178,0.07661320436743627,TSMP wtda t-1
30104,pr_a,Precipitation anomaly,1,-0.17188494118777595,125,125,0.17188494118777595,Precipitation t-1
30104,sm_a,Soil moisture anomaly,2,0.17954365940557399,125,125,0.17954365940557399,Soil moisture t-2
30104,tsmp_wtda,TSMP wtda,3,-0.1549828249960099,125,125,0.1549828249960099,TSMP wtda t-3
30225,pr_a,Precipitation anomaly,1,-0.07092151387703192,119,119,0.07092151387703192,Precipitation t-1
30225,sm_a,Soil moisture anomaly,1,0.080470740085539,119,119,0.080470740085539,Soil moisture t-1
30225,tsmp_wtda,TSMP wtda,2,0.18441191294582748,119,119,0.18441191294582748,TSMP wtda t-2
30247,pr_a,Precipitation anomaly,2,0.22641293232551615,82,82,0.22641293232551615,Precipitation t-2
30247,sm_a,Soil moisture anomaly,1,0.13665221943419245,82,82,0.13665221943419245,Soil moisture t-1
30247,tsmp_wtda,TSMP wtda,3,0.17228981475876703,82,82,0.17228981475876703,TSMP wtda t-3
30249,pr_a,Precipitation anomaly,3,-0.12223542387641298,110,110,0.12223542387641298,Precipitation t-3
30249,sm_a,Soil moisture anomaly,2,0.14810117282773677,110,110,0.14810117282773677,Soil moisture t-2
30249,tsmp_wtda,TSMP wtda,3,-0.2792615695865274,110,110,0.2792615695865274,TSMP wtda t-3
30265,pr_a,Precipitation anomaly,1,-0.22956752767195715,150,150,0.22956752767195715,Precipitation t-1
30265,sm_a,Soil moisture anomaly,3,0.19656607356378866,150,150,0.19656607356378866,Soil moisture t-3
30265,tsmp_wtda,TSMP wtda,1,0.13664830455056812,150,150,0.13664830455056812,TSMP wtda t-1
30341,pr_a,Precipitation anomaly,2,-0.18705714701398735,119,119,0.18705714701398735,Precipitation t-2
30341,sm_a,Soil moisture anomaly,1,0.21061054083289352,119,119,0.21061054083289352,Soil moisture t-1
30341,tsmp_wtda,TSMP wtda,3,-0.41562831783208387,119,119,0.41562831783208387,TSMP wtda t-3
30380,pr_a,Precipitation anomaly,1,-0.06442091287260919,65,65,0.06442091287260919,Precipitation t-1
30380,sm_a,Soil moisture anomaly,3,-0.05525561042207119,65,65,0.05525561042207119,Soil moisture t-3
30380,tsmp_wtda,TSMP wtda,3,0.09110288850100111,65,65,0.09110288850100111,TSMP wtda t-3
30385,pr_a,Precipitation anomaly,1,0.15150263920806661,120,120,0.15150263920806661,Precipitation t-1
30385,sm_a,Soil moisture anomaly,3,0.14111443680164806,120,120,0.14111443680164806,Soil moisture t-3
30385,tsmp_wtda,TSMP wtda,2,-0.12247205696983492,120,120,0.12247205696983492,TSMP wtda t-2
30425,pr_a,Precipitation anomaly,2,0.09732491252476064,127,127,0.09732491252476064,Precipitation t-2
30425,sm_a,Soil moisture anomaly,2,-0.06949189373958521,127,127,0.06949189373958521,Soil moisture t-2
30425,tsmp_wtda,TSMP wtda,3,0.19173993933673195,127,127,0.19173993933673195,TSMP wtda t-3
30427,pr_a,Precipitation anomaly,2,0.1672511425667284,126,126,0.1672511425667284,Precipitation t-2
30427,sm_a,Soil moisture anomaly,2,0.224043031672306,126,126,0.224043031672306,Soil moisture t-2
30427,tsmp_wtda,TSMP wtda,2,-0.1102476930004286,126,126,0.1102476930004286,TSMP wtda t-2
30474,pr_a,Precipitation anomaly,2,0.21643999867133168,139,139,0.21643999867133168,Precipitation t-2
30474,sm_a,Soil moisture anomaly,3,0.08456596295174856,139,139,0.08456596295174856,Soil moisture t-3
30474,tsmp_wtda,TSMP wtda,1,-0.12519152516725932,139,139,0.12519152516725932,TSMP wtda t-1
30578,pr_a,Precipitation anomaly,1,-0.11527414601870399,151,151,0.11527414601870399,Precipitation t-1
30578,sm_a,Soil moisture anomaly,2,0.09559631853729282,151,151,0.09559631853729282,Soil moisture t-2
30578,tsmp_wtda,TSMP wtda,2,-0.07463205387019506,151,151,0.07463205387019506,TSMP wtda t-2
30586,pr_a,Precipitation anomaly,1,-0.33408040418932683,147,147,0.33408040418932683,Precipitation t-1
30586,sm_a,Soil moisture anomaly,1,-0.06251616088093614,147,147,0.06251616088093614,Soil moisture t-1
30586,tsmp_wtda,TSMP wtda,3,0.129624805083286,147,147,0.129624805083286,TSMP wtda t-3
30638,pr_a,Precipitation anomaly,1,0.3444664292270889,64,64,0.3444664292270889,Precipitation t-1
30638,sm_a,Soil moisture anomaly,3,-0.1138170712169938,64,64,0.1138170712169938,Soil moisture t-3
30638,tsmp_wtda,TSMP wtda,3,0.2648613309680787,64,64,0.2648613309680787,TSMP wtda t-3
30656,pr_a,Precipitation anomaly,1,0.06958562556468391,106,106,0.06958562556468391,Precipitation t-1
30656,sm_a,Soil moisture anomaly,3,-0.08590209328877421,106,106,0.08590209328877421,Soil moisture t-3
30656,tsmp_wtda,TSMP wtda,2,0.20720782976487712,106,106,0.20720782976487712,TSMP wtda t-2
30760,pr_a,Precipitation anomaly,1,0.10206250265514608,131,131,0.10206250265514608,Precipitation t-1
30760,sm_a,Soil moisture anomaly,3,-0.29475649342995885,131,131,0.29475649342995885,Soil moisture t-3
30760,tsmp_wtda,TSMP wtda,1,0.2507043557758731,131,131,0.2507043557758731,TSMP wtda t-1
30788,pr_a,Precipitation anomaly,1,-0.41242597001561,80,80,0.41242597001561,Precipitation t-1
30788,sm_a,Soil moisture anomaly,2,-0.06752129638828852,80,80,0.06752129638828852,Soil moisture t-2
30788,tsmp_wtda,TSMP wtda,2,0.22745003625189383,80,80,0.22745003625189383,TSMP wtda t-2
30795,pr_a,Precipitation anomaly,2,0.3836380710455019,135,135,0.3836380710455019,Precipitation t-2
30795,sm_a,Soil moisture anomaly,1,0.15113053518165506,135,135,0.15113053518165506,Soil moisture t-1
30795,tsmp_wtda,TSMP wtda,3,0.1008590664855555,135,135,0.1008590664855555,TSMP wtda t-3
30808,pr_a,Precipitation anomaly,3,-0.062426423354902706,119,119,0.062426423354902706,Precipitation t-3
30808,sm_a,Soil moisture anomaly,1,0.10952332945871629,119,119,0.10952332945871629,Soil moisture t-1
30808,tsmp_wtda,TSMP wtda,1,-0.13297922470738535,119,119,0.13297922470738535,TSMP wtda t-1
30832,pr_a,Precipitation anomaly,2,0.08718960924586729,121,121,0.08718960924586729,Precipitation t-2
30832,sm_a,Soil moisture anomaly,3,-0.09368574156697113,121,121,0.09368574156697113,Soil moisture t-3
30832,tsmp_wtda,TSMP wtda,3,-0.12896042485887102,121,121,0.12896042485887102,TSMP wtda t-3
30868,pr_a,Precipitation anomaly,1,-0.08681480461879378,132,132,0.08681480461879378,Precipitation t-1
30868,sm_a,Soil moisture anomaly,1,0.18562062618652794,132,132,0.18562062618652794,Soil moisture t-1
30868,tsmp_wtda,TSMP wtda,1,-0.16344070963674664,132,132,0.16344070963674664,TSMP wtda t-1
30919,pr_a,Precipitation anomaly,3,0.24543669770777196,109,109,0.24543669770777196,Precipitation t-3
30919,sm_a,Soil moisture anomaly,1,0.10097625125023027,109,109,0.10097625125023027,Soil moisture t-1
30919,tsmp_wtda,TSMP wtda,2,-0.09957099572659593,109,109,0.09957099572659593,TSMP wtda t-2
30981,pr_a,Precipitation anomaly,1,0.36047340945193584,34,34,0.36047340945193584,Precipitation t-1
30981,sm_a,Soil moisture anomaly,3,-0.6612458997024622,34,34,0.6612458997024622,Soil moisture t-3
30981,tsmp_wtda,TSMP wtda,2,0.3672664004842859,34,34,0.3672664004842859,TSMP wtda t-2
31008,pr_a,Precipitation anomaly,3,-0.10975463384485945,121,121,0.10975463384485945,Precipitation t-3
31008,sm_a,Soil moisture anomaly,2,-0.028225721315073296,121,121,0.028225721315073296,Soil moisture t-2
31008,tsmp_wtda,TSMP wtda,3,-0.043913364949895804,121,121,0.043913364949895804,TSMP wtda t-3
31022,pr_a,Precipitation anomaly,2,0.28386026865596836,112,112,0.28386026865596836,Precipitation t-2
31022,sm_a,Soil moisture anomaly,2,-0.19651412285665623,112,112,0.19651412285665623,Soil moisture t-2
31022,tsmp_wtda,TSMP wtda,1,0.054854997857273,112,112,0.054854997857273,TSMP wtda t-1
31032,pr_a,Precipitation anomaly,3,-0.08460306972800716,136,136,0.08460306972800716,Precipitation t-3
31032,sm_a,Soil moisture anomaly,1,0.12023496163004427,136,136,0.12023496163004427,Soil moisture t-1
31032,tsmp_wtda,TSMP wtda,1,-0.09186411594286327,136,136,0.09186411594286327,TSMP wtda t-1
31064,pr_a,Precipitation anomaly,3,-0.18402382459960906,138,138,0.18402382459960906,Precipitation t-3
31064,sm_a,Soil moisture anomaly,2,0.0953352616802561,138,138,0.0953352616802561,Soil moisture t-2
31064,tsmp_wtda,TSMP wtda,1,-0.2408451762783614,138,138,0.2408451762783614,TSMP wtda t-1
31247,pr_a,Precipitation anomaly,3,0.6410172557063049,64,64,0.6410172557063049,Precipitation t-3
31247,sm_a,Soil moisture anomaly,2,0.3117177782498571,64,64,0.3117177782498571,Soil moisture t-2
31247,tsmp_wtda,TSMP wtda,3,-0.17673235591525832,64,64,0.17673235591525832,TSMP wtda t-3
31257,pr_a,Precipitation anomaly,1,-0.09686317879387922,146,146,0.09686317879387922,Precipitation t-1
