site_id,driver_code,driver,lag,corr,n_overlap,coverage_months,abs_corr,driver_lag
29581,pr_a,Precipitation anomaly,2,0.30850935091759896,35,35,0.30850935091759896,Precipitation t-2
29581,sm_a,Soil moisture anomaly,2,0.4019657145170532,35,35,0.4019657145170532,Soil moisture t-2
29581,tsmp_wtda,TSMP wtda,1,-0.5642569030950524,35,35,0.5642569030950524,TSMP wtda t-1
29599,pr_a,Precipitation anomaly,3,0.28923478793621826,125,125,0.28923478793621826,Precipitation t-3
29599,sm_a,Soil moisture anomaly,3,0.17469295742881302,125,125,0.17469295742881302,Soil moisture t-3
29599,tsmp_wtda,TSMP wtda,3,0.05182162698288518,125,125,0.05182162698288518,TSMP wtda t-3
29655,pr_a,Precipitation anomaly,2,0.19846895599633346,78,78,0.19846895599633346,Precipitation t-2
29655,sm_a,Soil moisture anomaly,2,-0.10938848096597999,78,78,0.10938848096597999,Soil moisture t-2
29655,tsmp_wtda,TSMP wtda,3,-0.2406203350570587,78,78,0.2406203350570587,TSMP wtda t-3
29680,pr_a,Precipitation anomaly,2,0.331680143443872,119,119,0.331680143443872,Precipitation t-2
29680,sm_a,Soil moisture anomaly,2,0.3277455684872605,119,119,0.3277455684872605,Soil moisture t-2
29680,tsmp_wtda,TSMP wtda,2,-0.2766598464976383,119,119,0.2766598464976383,TSMP wtda t-2
29698,pr_a,Precipitation anomaly,2,-0.3071763036388792,30,30,0.3071763036388792,Precipitation t-2
29698,sm_a,Soil moisture anomaly,3,-0.39316473729343576,30,30,0.39316473729343576,Soil moisture t-3
29698,tsmp_wtda,TSMP wtda,1,0.28358799308359367,30,30,0.28358799308359367,TSMP wtda t-1
29708,pr_a,Precipitation anomaly,1,-0.14211956716217017,119,119,0.14211956716217017,Precipitation t-1
29708,sm_a,Soil moisture anomaly,3,0.30995642457234496,119,119,0.30995642457234496,Soil moisture t-3
29708,tsmp_wtda,TSMP wtda,3,-0.24888003855389781,119,119,0.24888003855389781,TSMP wtda t-3
29740,pr_a,Precipitation anomaly,3,0.17255239269931122,90,90,0.17255239269931122,Precipitation t-3
29740,sm_a,Soil moisture anomaly,2,0.25399377762988523,90,90,0.25399377762988523,Soil moisture t-2
29740,tsmp_wtda,TSMP wtda,1,-0.20075398501066452,90,90,0.20075398501066452,TSMP wtda t-1
29756,pr_a,Precipitation anomaly,2,0.10490907829717262,125,125,0.10490907829717262,Precipitation t-2
29756,sm_a,Soil moisture anomaly,3,0.10053278389265363,125,125,0.10053278389265363,Soil moisture t-3
29756,tsmp_wtda,TSMP wtda,3,-0.15623396925890295,125,125,0.15623396925890295,TSMP wtda t-3
29794,pr_a,Precipitation anomaly,1,0.4054979022761113,98,98,0.4054979022761113,Precipitation t-1
29794,sm_a,Soil moisture anomaly,1,-0.26086802539788073,98,98,0.26086802539788073,Soil moisture t-1
29794,tsmp_wtda,TSMP wtda,1,0.046049504315529455,98,98,0.046049504315529455,TSMP wtda t-1
29812,pr_a,Precipitation anomaly,3,0.25965857555399197,131,131,0.25965857555399197,Precipitation t-3
29812,sm_a,Soil moisture anomaly,3,-0.08661908769488247,131,131,0.08661908769488247,Soil moisture t-3
29812,tsmp_wtda,TSMP wtda,3,0.19047286603751004,131,131,0.19047286603751004,TSMP wtda t-3
29828,pr_a,Precipitation anomaly,2,0.16642220941701313,61,61,0.16642220941701313,Precipitation t-2
29828,sm_a,Soil moisture anomaly,1,0.15336278627260433,61,61,0.15336278627260433,Soil moisture t-1
29828,tsmp_wtda,TSMP wtda,3,0.10721826452021263,61,61,0.10721826452021263,TSMP wtda t-3
29829,pr_a,Precipitation anomaly,3,0.2908128429051885,122,122,0.2908128429051885,Precipitation t-3
29829,sm_a,Soil moisture anomaly,2,-0.23705800446505,122,122,0.23705800446505,Soil moisture t-2
29829,tsmp_wtda,TSMP wtda,3,0.17086643817100544,122,122,0.17086643817100544,TSMP wtda t-3
29848,pr_a,Precipitation anomaly,3,0.02438135563573745,130,130,0.02438135563573745,Precipitation t-3
29848,sm_a,Soil moisture anomaly,2,-0.052144733618513385,130,130,0.052144733618513385,Soil moisture t-2
29848,tsmp_wtda,TSMP wtda,1,-0.08749725543616789,130,130,0.08749725543616789,TSMP wtda t-1
29861,pr_a,Precipitation anomaly,3,-0.0853153144967518,86,86,0.0853153144967518,Precipitation t-3
