site_id,cell_id,cosine_similarity,months_used,source_lon,source_lat
9689,22059,0.9689457270954103,116,-27.2713,-17.7624
9943,27713,0.30901013656625226,177,-11.6513,-16.3324
10385,22059,0.709432531518823,170,-27.2713,-17.7624
18022,22059,0.9792387354961861,67,-27.2713,-17.7624
18027,22059,0.9767092963436009,67,-27.2713,-17.7624
18055,22059,0.9787124236139304,67,-27.2713,-17.7624
18086,22059,0.975417596014797,67,-27.2713,-17.7624
29249,16116,0.4260933563575287,124,-28.041300000000003,-19.3024
29263,26758,0.3513818180233142,131,-23.421300000000002,-16.5524
29357,69646,0.24631377738990048,127,-16.381300000000003,-5.442399999999999
29366,22059,0.38442481493280406,127,-27.2713,-17.7624
29373,16116,0.3971764285599422,112,-28.041300000000003,-19.3024
29419,44926,0.3274557239188761,136,16.1787,-11.9324
29465,44926,0.3783417274108626,77,16.1787,-11.9324
29476,22059,0.8955812874321336,122,-27.2713,-17.7624
29532,22059,0.47881404019338647,120,-27.2713,-17.7624
29570,16116,0.593833607109821,111,-28.041300000000003,-19.3024
29581,58826,0.6241815068353903,35,6.058699999999998,-8.302399999999999
29599,94796,0.2072675708950841,125,-1.6413000000000015,1.047600000000001
29655,67575,0.33328361353584673,78,-10.9913,-5.992399999999999
29680,7271,0.3776217952113533,119,-21.5513,-21.612399999999997
29698,36576,0.44423597417112126,30,-16.1613,-14.0224
29708,16116,0.3764631751881305,119,-28.041300000000003,-19.3024
29740,18044,0.22618063835643684,90,-2.5213000000000014,-18.862399999999997
29756,26769,0.37535941601588746,125,-22.2113,-16.5524
29794,44926,0.3137585259933672,98,16.1787,-11.9324
29812,44926,0.28384415216208786,131,16.1787,-11.9324
29828,22059,0.49858782588343886,61,-27.2713,-17.7624
29829,44926,0.310032961837177,122,16.1787,-11.9324
29848,16116,0.3904988283852007,130,-28.041300000000003,-19.3024
29861,26758,0.43718561090473373,86,-23.421300000000002,-16.5524
29908,16116,0.36272820305951203,122,-28.041300000000003,-19.3024
29909,20880,0.5254744611484361,46,-17.041300000000003,-18.092399999999998
29931,36509,0.31117111582822066,154,-23.5313,-14.0224
29961,22059,0.9227924841512688,145,-27.2713,-17.7624
29971,36509,0.4647025013596904,43,-23.5313,-14.0224
29982,20880,0.4840888083016646,128,-17.041300000000003,-18.092399999999998
29997,20880,0.6281561486938716,29,-17.041300000000003,-18.092399999999998
30035,49528,0.3105803799666202,126,9.358699999999999,-10.722399999999999
30066,16116,0.36687354780086406,179,-28.041300000000003,-19.3024
30104,64997,0.18822441119023375,125,-14.731300000000001,-6.652399999999999
30225,26758,0.3938926132027297,120,-23.421300000000002,-16.5524
30247,22059,0.9755926623996803,85,-27.2713,-17.7624
30249,22059,0.8382892592706043,113,-27.2713,-17.7624
