site_id,driver_code,driver,lag,corr,n_overlap,coverage_months
29861,sm_a,Soil moisture anomaly,0,0.0841589164403529,86,86
29908,tsmp_wtda,TSMP wtda,0,-0.03554440631958971,122,122
29908,pr_a,Precipitation anomaly,0,0.14150083720816983,122,122
29908,sm_a,Soil moisture anomaly,0,0.07607329120926312,122,122
29909,tsmp_wtda,TSMP wtda,0,-0.14122197581966375,46,46
29909,pr_a,Precipitation anomaly,0,-0.2839295035394651,46,46
29909,sm_a,Soil moisture anomaly,0,0.1972251197274278,46,46
29931,tsmp_wtda,TSMP wtda,0,-0.1833082941957183,154,154
29931,pr_a,Precipitation anomaly,0,-0.24715431341730135,154,154
29931,sm_a,Soil moisture anomaly,0,0.041299165491448124,154,154
29961,tsmp_wtda,TSMP wtda,0,0.00980319302578556,145,145
29961,pr_a,Precipitation anomaly,0,-0.06193243444071226,145,145
29961,sm_a,Soil moisture anomaly,0,-0.004928562409709876,145,145
29971,tsmp_wtda,TSMP wtda,0,0.0909226885993573,43,43
29971,pr_a,Precipitation anomaly,0,0.04388311399145892,43,43
29971,sm_a,Soil moisture anomaly,0,-0.0270381565598575,43,43
29982,tsmp_wtda,TSMP wtda,0,-0.18839123771410987,128,128
29982,pr_a,Precipitation anomaly,0,-0.24526197954143253,128,128
29982,sm_a,Soil moisture anomaly,0,0.023418569540523553,128,128
29997,tsmp_wtda,TSMP wtda,0,-0.38801175107636793,29,29
29997,pr_a,Precipitation anomaly,0,0.07044775129505539,29,29
29997,sm_a,Soil moisture anomaly,0,0.05880375540122878,29,29
30035,tsmp_wtda,TSMP wtda,0,-0.10208655679483893,126,126
30035,pr_a,Precipitation anomaly,0,-0.06984776360295937,126,126
30035,sm_a,Soil moisture anomaly,0,0.07984052289001253,126,126
30066,tsmp_wtda,TSMP wtda,0,-0.029392637866018246,179,179
30066,pr_a,Precipitation anomaly,0,0.00709411455333876,179,179
30066,sm_a,Soil moisture anomaly,0,0.0508541053216979,179,179
30104,tsmp_wtda,TSMP wtda,0,-0.03933390644565821,125,125
30104,pr_a,Precipitation anomaly,0,-0.05847338444616772,125,125
30104,sm_a,Soil moisture anomaly,0,0.09598827645542969,125,125
30225,tsmp_wtda,TSMP wtda,0,-0.0347849897327491,120,120
30225,pr_a,Precipitation anomaly,0,-0.06103308755347378,120,120
30225,sm_a,Soil moisture anomaly,0,0.0891106824009987,120,120
30247,tsmp_wtda,TSMP wtda,0,0.22123082603647598,85,85
30247,pr_a,Precipitation anomaly,0,0.026627166110468666,85,85
30247,sm_a,Soil moisture anomaly,0,0.022728303187005677,85,85
30249,tsmp_wtda,TSMP wtda,0,-0.10408127430139032,113,113
30249,pr_a,Precipitation anomaly,0,-0.11137662507374782,113,113
30249,sm_a,Soil moisture anomaly,0,0.16947987284511717,113,113
30265,tsmp_wtda,TSMP wtda,0,-0.03437109383881783,151,151
30265,pr_a,Precipitation anomaly,0,-0.07983033531849797,151,151
30265,sm_a,Soil moisture anomaly,0,0.11940030667392044,151,151
30341,tsmp_wtda,TSMP wtda,0,-0.35875096724651356,122,122
30341,pr_a,Precipitation anomaly,0,-0.025725611034573305,122,122
30341,sm_a,Soil moisture anomaly,0,0.22852074843727044,122,122
30380,tsmp_wtda,TSMP wtda,0,0.055863737323268804,66,66
30380,pr_a,Precipitation anomaly,0,0.07203989499078459,66,66
30380,sm_a,Soil moisture anomaly,0,-0.03143553127597093,66,66
30385,tsmp_wtda,TSMP wtda,0,-0.05854406504341405,122,122
30385,pr_a,Precipitation anomaly,0,0.09722815227213502,122,122
30385,sm_a,Soil moisture anomaly,0,0.08777183457624048,122,122
30425,tsmp_wtda,TSMP wtda,0,-0.10682143447157978,127,127
30425,pr_a,Precipitation anomaly,0,0.13196120982546022,127,127
30425,sm_a,Soil moisture anomaly,0,0.006658152809029525,127,127
30427,tsmp_wtda,TSMP wtda,0,-0.19394377027778603,127,127
30427,pr_a,Precipitation anomaly,0,-0.09576262625464105,127,127
30427,sm_a,Soil moisture anomaly,0,0.22618839182804734,127,127
30474,tsmp_wtda,TSMP wtda,0,-0.17421724517186998,139,139
30474,pr_a,Precipitation anomaly,0,0.10329297296566686,139,139
30474,sm_a,Soil moisture anomaly,0,0.06873216047727543,139,139
30578,tsmp_wtda,TSMP wtda,0,-0.12453173624640874,154,154
30578,pr_a,Precipitation anomaly,0,-0.20457665884324647,154,154
30578,sm_a,Soil moisture anomaly,0,-0.04477619272592431,154,154
30586,tsmp_wtda,TSMP wtda,0,-0.01851639904068078,150,150
30586,pr_a,Precipitation anomaly,0,-0.016803749610423323,150,150
30586,sm_a,Soil moisture anomaly,0,0.05898763240395345,150,150
30638,tsmp_wtda,TSMP wtda,0,0.1167416672658737,66,66
30638,pr_a,Precipitation anomaly,0,0.26488986675007675,66,66
30638,sm_a,Soil moisture anomaly,0,0.008829102505465364,66,66
30656,tsmp_wtda,TSMP wtda,0,0.20887116717665327,106,106
30656,pr_a,Precipitation anomaly,0,0.04576752962722057,106,106
30656,sm_a,Soil moisture anomaly,0,0.017114588515038137,106,106
30760,tsmp_wtda,TSMP wtda,0,0.17985803790916455,132,132
30760,pr_a,Precipitation anomaly,0,-0.017829092290175867,132,132
30760,sm_a,Soil moisture anomaly,0,-0.14857858475311608,132,132
30788,tsmp_wtda,TSMP wtda,0,0.18122231017841006,81,81
30788,pr_a,Precipitation anomaly,0,-0.06886706459206031,81,81
30788,sm_a,Soil moisture anomaly,0,-0.07262481513184908,81,81
30795,tsmp_wtda,TSMP wtda,0,-0.1847622764915164,137,137
30795,pr_a,Precipitation anomaly,0,0.10380540543505554,137,137
30795,sm_a,Soil moisture anomaly,0,-0.031824149395596746,137,137
30808,tsmp_wtda,TSMP wtda,0,-0.06792115974447838,121,121
30808,pr_a,Precipitation anomaly,0,-0.09526537856497558,121,121
30808,sm_a,Soil moisture anomaly,0,0.12186322351010222,121,121
30832,tsmp_wtda,TSMP wtda,0,-0.06175553346451922,122,122
30832,pr_a,Precipitation anomaly,0,-0.10502346692863514,122,122
30832,sm_a,Soil moisture anomaly,0,0.1058905393680195,122,122
30868,tsmp_wtda,TSMP wtda,0,-0.22291214942214563,134,134
30868,pr_a,Precipitation anomaly,0,-0.08092421672655285,134,134
30868,sm_a,Soil moisture anomaly,0,0.22754587857358313,134,134
30919,tsmp_wtda,TSMP wtda,0,-0.24401164094362449,111,111
30919,pr_a,Precipitation anomaly,0,0.04848689605387964,111,111
30919,sm_a,Soil moisture anomaly,0,0.05697450153185581,111,111
30981,tsmp_wtda,TSMP wtda,0,0.25150152632701905,36,36
30981,pr_a,Precipitation anomaly,0,0.37953388413993,36,36
30981,sm_a,Soil moisture anomaly,0,0.09291728450472601,36,36
31008,tsmp_wtda,TSMP wtda,0,-0.109799478326702,121,121
31008,pr_a,Precipitation anomaly,0,-0.042822353854641775,121,121
31008,sm_a,Soil moisture anomaly,0,0.07343289642630219,121,121
31022,tsmp_wtda,TSMP wtda,0,-0.0936916061387339,114,114
31022,pr_a,Precipitation anomaly,0,0.2150976962599136,114,114
31022,sm_a,Soil moisture anomaly,0,-0.08358884175974884,114,114
31032,tsmp_wtda,TSMP wtda,0,-0.15865317484805866,138,138
31032,pr_a,Precipitation anomaly,0,-0.09163762695158865,138,138
31032,sm_a,Soil moisture anomaly,0,0.0012283259097477484,138,138
31064,tsmp_wtda,TSMP wtda,0,-0.27045795747713625,138,138
31064,pr_a,Precipitation anomaly,0,-0.1322492524604327,138,138
31064,sm_a,Soil moisture anomaly,0,0.20488667642626146,138,138
31247,tsmp_wtda,TSMP wtda,0,-0.12118411361583246,65,65
31247,pr_a,Precipitation anomaly,0,0.39234469345004974,65,65
31247,sm_a,Soil moisture anomaly,0,0.12997931359041642,65,65
31257,tsmp_wtda,TSMP wtda,0,-0.017704540455051567,149,149
31257,pr_a,Precipitation anomaly,0,0.02940030880818526,149,149
31257,sm_a,Soil moisture anomaly,0,0.03206212364774169,149,149
31324,tsmp_wtda,TSMP wtda,0,-0.24769185260181087,167,167
31324,pr_a,Precipitation anomaly,0,-0.06740175311950876,167,167
31324,sm_a,Soil moisture anomaly,0,0.13337118392251632,167,167
31343,tsmp_wtda,TSMP wtda,0,-0.15071312652912044,118,118
31343,pr_a,Precipitation anomaly,0,-0.0815300487063348,118,118
31343,sm_a,Soil moisture anomaly,0,0.1334617194609362,118,118
31403,tsmp_wtda,TSMP wtda,0,-0.1520899326489096,125,125
31403,pr_a,Precipitation anomaly,0,0.2057152742138734,125,125
31403,sm_a,Soil moisture anomaly,0,0.14300673148050425,125,125
31425,tsmp_wtda,TSMP wtda,0,-0.24427705983529083,142,142
31425,pr_a,Precipitation anomaly,0,-0.30096019396728735,142,142
31425,sm_a,Soil moisture anomaly,0,0.021322999465741215,142,142
