site_id,cell_id,cosine_similarity,months_used
9687,6814,0.09542301525332936,116
9687,7271,0.0520737576017069,116
9687,7658,0.018526263938915405,116
9687,8512,0.08404058159194576,116
9687,9763,0.6434953428774751,116
9687,10671,0.04715344460758067,116
9687,10818,0.008052982570463569,116
9687,11250,0.006415527478234414,116
9687,11741,-0.00011900241321884316,116
9687,12080,-0.010200772328265948,116
9687,12127,0.004182737379591212,116
9687,12136,0.03790378601664972,116
9687,12928,-0.0044107406789803206,116
9687,12951,-0.003620496910836764,116
9687,14340,-0.016097211633684497,116
9687,14711,-0.010842647795051523,116
9687,15498,0.005240710428803173,116
9687,16034,-0.014175391226690988,116
9687,16116,0.09042361333796116,116
9687,17268,0.03541650319254689,116
9687,17719,-0.005241157015033416,116
9687,18036,-0.008694294079997748,116
9687,18044,-0.003547367546449244,116
9687,20880,0.05822623508786374,116
9687,22059,0.9704473097889019,116
9687,22247,0.007002526579033064,116
9687,23016,0.044955451440990925,116
9687,23018,0.04465018161574801,116
9687,25114,0.06749252160667298,116
9687,25597,0.025879410684198842,116
9687,25618,0.02497173785955129,116
9687,26004,0.01166512656913311,116
9687,26384,0.04416137256362,116
9687,26758,0.08142488272461385,116
9687,26769,0.3545780187543767,116
9687,26850,0.029885967780711623,116
9687,27247,0.031194434974016243,116
9687,27603,0.030491708839693217,116
9687,27677,0.025773085664030537,116
9687,27713,0.016866643447164792,116
9687,27963,0.018135770684312,116
9687,28074,0.03672943993666741,116
9687,28484,0.019464308550919886,116
9687,28540,0.0427065994287309,116
9687,28544,0.04962754002952218,116
9687,28928,0.021039343185750257,116
9687,28977,0.01906353255945075,116
9687,30208,0.014457736990389564,116
9687,30652,0.005549671025800235,116
9687,30664,0.024161947711667187,116
9687,31037,0.026636731470243067,116
9687,31099,0.02633904609414012,116
9687,31267,0.01941911018332993,116
9687,31993,-0.0191846329880718,116
9687,32104,0.04295800789991154,116
9687,32377,0.02615927718115973,116
9687,32745,0.02398101676001351,116
9687,32824,-0.004627605155963987,116
9687,32847,-0.00832678363320391,116
9687,33489,-0.006281286441199894,116
9687,33597,0.03720756666197876,116
9687,33678,-0.007361231790615255,116
9687,34064,0.011666239183037302,116
9687,34400,-0.004599856678710314,116
9687,34414,0.01591822213844622,116
9687,34747,0.00947900018435608,116
9687,34927,-0.002762945398995239,116
9687,35173,-0.02469811208284161,116
9687,35254,-0.013094895468420518,116
9687,36509,0.0468578161292986,116
9687,36514,0.010662421064505642,116
9687,36565,0.0019389748641217895,116
9687,36576,-0.001390492248102718,116
9687,36605,0.009938241363823241,116
9687,36656,-0.0073978260370868975,116
9687,37287,-0.006804532266484914,116
9687,37373,-0.00495831890618055,116
9687,37915,-0.023470655022747904,116
9687,38393,-0.02413055101063493,116
9687,38507,-0.03046761320139161,116
9687,38645,0.019366421707940354,116
9687,38751,-0.021149722344193957,116
9687,38775,-0.04073295507144011,116
9687,40001,-0.0068413915537805835,116
9687,40152,0.0018455170153071994,116
9687,40153,0.0027491017139994567,116
9687,40928,-0.033779007956414454,116
9687,40933,-0.019379038106702773,116
9687,41209,0.02680276183184586,116
9687,41273,-0.002721749222133479,116
9687,41358,-0.023416459143359495,116
9687,42348,-0.008774328752324052,116
9687,43634,-0.0331946747431041,116
9687,43958,-0.02380960926850409,116
9687,44342,-0.006605266386183135,116
9687,44913,-0.008189950809013956,116
9687,44926,0.06377634492324011,116
9687,45332,-0.03943948360468913,116
9687,45709,0.012750519515410926,116
9687,45710,0.01820270879366884,116
9687,47150,0.46624041999385335,116
9687,47390,-0.008769660585797454,116
9687,48302,-0.014220198880346958,116
9687,48853,0.6178204990217988,116
9687,49381,0.17757120396109935,116
9687,49528,0.021466704015783676,116
9687,49577,-0.0032011209015352753,116
9687,49895,-0.010764224325526874,116
9687,49974,-0.019100445708031624,116
9687,51830,0.15646981040245136,116
9687,53252,-0.014743034354379885,116
9687,53667,-0.01732328123399481,116
9687,53699,0.035600343450856956,116
9687,54194,-0.03835528853896561,116
9687,54218,0.002349098378674844,116
9687,54632,-0.02629573032054295,116
9687,54652,-0.030331045857254307,116
9687,55078,-0.018672777045194662,116
9687,55204,0.049448921542194706,116
9687,55402,0.0528206607508146,116
9687,55441,-0.02668460216262549,116
9687,55779,0.01294577043276369,116
9687,56079,0.09948476423962584,116
9687,56266,-0.0016727584588728047,116
9687,56721,-0.05519903556567957,116
9687,57111,-0.003869858513578482,116
9687,57781,0.054380775971791556,116
9687,58499,-0.029904643318628563,116
9687,58826,-0.02809520923629502,116
9687,58891,-0.03009932097572682,116
9687,59248,0.013741127076709771,116
9687,59454,-0.00037928789646421294,116
9687,59770,-0.07014933698308994,116
9687,60147,-0.02042696285979267,116
9687,60515,0.001985360250365621,116
9687,60620,-0.06545291113844082,116
9687,60622,-0.024620460029558727,116
9687,60701,-0.006104958679257866,116
9687,60735,0.02761404283897201,116
9687,61168,0.02672141299981016,116
9687,61330,0.07523222803299642,116
9687,61334,0.005678615223617835,116
9687,61367,0.009849192789983705,116
9687,61882,0.02837294886581248,116
9687,62214,0.02673101995280286,116
9687,62400,0.011801648703463655,116
9687,62481,0.050846110321913565,116
9687,62865,0.02200650945065087,116
9687,62902,0.08451038496483107,116
9687,63277,0.008497180384073596,116
