site_id,well_id,gmw_bro_id,tube_number,n_gld_series,max_observations_meta,sum_observations_meta,first_date_meta,last_date_meta,lon,lat,index_right,use_obj_type,use_obj_id,facility_bro_id,distance_to_use_m,tube_rank_within_well_meta,actual_observation_rows,actual_first_date,actual_last_date,downloaded_gld_count,tube_rank_within_well_actual
29961,23111,GMW000000031604,1,2,300,352,1975-01-18,2025-03-18,4.916833559868752,52.35914125543925,8159,design_well,548079,,29.017473910683673,1,,,,0,1
29971,23121,GMW000000031614,1,2,69,77,2007-03-14,2024-10-18,4.95597856889309,52.31445960513886,3149,facility_point,GUF000000052358,GUF000000052358,20.517113179892476,1,,,,0,1
29982,23131,GMW000000031624,1,2,282,304,1976-05-14,2025-02-05,4.8773936403608,52.38169898575258,7623,design_well,534505,,23.323734022886665,1,,,,0,1
29997,23145,GMW000000031638,1,2,56,83,2007-04-04,2025-04-29,4.910961850651539,52.394673135468246,2954,facility_point,GUF000000010756,GUF000000010756,21.931786909818566,1,,,,0,1
30035,23181,GMW000000031674,1,2,242,268,1978-12-08,2025-03-05,4.95196953061572,52.39283561513149,3640,facility_point,GUF000000019123,GUF000000019123,24.412860867610025,1,,,,0,1
30066,23211,GMW000000031704,4,2,273,285,1989-10-11,2025-05-02,5.025184171072239,52.413277044518466,3741,facility_point,GUF000000008488,GUF000000008488,32.89323961113639,1,,,,0,1
30104,23246,GMW000000031739,1,2,159,192,1995-02-07,2025-03-18,4.911868069694419,52.3512661554843,2872,facility_point,GUF000000017609,GUF000000017609,17.116138409273915,1,,,,0,1
30225,23365,GMW000000031858,1,2,172,183,1991-03-28,2022-09-28,4.885272089920402,52.36170798569837,2738,facility_point,GUF000000001486,GUF000000001486,13.037393845478203,1,,,,0,1
30247,23386,GMW000000031879,1,2,132,177,2004-11-01,2024-08-29,4.930550539795293,52.35570773532798,7569,design_well,534131,,24.37261185167701,1,,,,0,1
30249,23388,GMW000000031881,1,2,194,230,1990-07-11,2025-03-26,4.896085189789074,52.35567762561222,2873,facility_point,GUF000000005273,GUF000000005273,38.60035879201799,1,,,,0,1
30265,23402,GMW000000031895,1,2,207,213,1990-06-05,2021-12-14,4.930094769796765,52.355777875331704,3064,facility_point,GUF000000001485,GUF000000001485,20.807872781612485,1,,,,0,1
30341,23471,GMW000000031964,1,2,191,218,1992-09-10,2023-02-07,4.842472560504635,52.3884101560375,7439,realised_well,111895,,26.357424992208404,1,,,,0,1
30380,23507,GMW000000032000,1,2,92,104,2005-11-10,2022-12-29,4.900677019942666,52.3626081455707,2917,facility_point,GUF000000001146,GUF000000001146,41.145110035824764,1,,,,0,1
30385,23512,GMW000000032005,1,2,228,254,1980-05-13,2025-03-20,4.898901430205582,52.374536525578925,2937,facility_point,GUF000000016933,GUF000000016933,42.71911420493862,1,,,,0,1
30425,23552,GMW000000032045,1,2,218,240,1979-04-04,2025-02-27,4.870340409809213,52.356781385824284,2719,facility_point,GUF000000069278,GUF000000069278,10.19884189959091,1,,,,0,1
30427,23554,GMW000000032047,1,2,198,223,1978-12-08,2025-03-05,4.947092630646643,52.39426461517082,3629,facility_point,GUF000000008742,GUF000000008742,49.0396840658727,1,,,,0,1
30474,23601,GMW000000032094,1,2,407,446,1963-03-28,2025-04-16,4.858794249713815,52.35255111592199,2678,facility_point,GUF000000004617,GUF000000004617,18.974130194496887,1,,,,0,1
30578,23700,GMW000000032193,1,2,297,345,1977-06-04,2025-04-09,4.8716900594763635,52.34169682582095,7798,design_well,536870,,46.59554663541082,1,,,,0,1
30586,23708,GMW000000032201,1,2,300,302,1977-06-04,2021-05-26,4.869387489473539,52.341587905839994,6431,realised_well,545394,,37.783898598846164,1,,,,0,1
30638,23758,GMW000000032251,1,2,107,137,2003-11-28,2025-04-09,4.880909899441044,52.340019955745596,7849,design_well,539450,,38.25338669017749,1,,,,0,1
30656,23776,GMW000000032269,1,2,133,159,1999-03-02,2025-03-06,4.9525260785772245,52.30010252517384,8297,design_well,553480,,44.84450793912376,1,,,,0,1
