site_id,well_id,gmw_bro_id,tube_number,distance_to_use_m,use_obj_type,use_obj_id,tube_rank_within_well_meta,gld_bro_id,gld_observations_meta,gld_first_date_meta,gld_last_date_meta,series_unknown_csv_url,series_preliminary_csv_url,series_fully_assessed_csv_url,bro_csv_url
18055,15266,GMW000000022561,1,40.86896183741765,facility_point,GUF000000056227,1,GLD000000008021,10,2001-06-15,2021-01-03,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000008021?rapportagetype=compact&observatietype=onbekend,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000008021?rapportagetype=compact&observatietype=regulier_voorlopig,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000008021?rapportagetype=compact&observatietype=regulier_beoordeeld,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000008021
18086,15297,GMW000000022592,1,38.76454564807666,design_well,556693,1,GLD000000008069,10,2001-06-15,2021-01-03,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000008069?rapportagetype=compact&observatietype=onbekend,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000008069?rapportagetype=compact&observatietype=regulier_voorlopig,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000008069?rapportagetype=compact&observatietype=regulier_beoordeeld,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000008069
29249,22425,GMW000000030918,1,5.831953835048756,facility_point,GUF000000048439,1,GLD000000101674,228,1981-07-03,2020-11-18,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000101674?rapportagetype=compact&observatietype=onbekend,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000101674?rapportagetype=compact&observatietype=regulier_voorlopig,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000101674?rapportagetype=compact&observatietype=regulier_beoordeeld,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000101674
29249,22425,GMW000000030918,1,5.831953835048756,facility_point,GUF000000048439,1,GLD000000104538,27,2021-01-27,2025-03-26,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000104538?rapportagetype=compact&observatietype=onbekend,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000104538?rapportagetype=compact&observatietype=regulier_voorlopig,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000104538?rapportagetype=compact&observatietype=regulier_beoordeeld,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000104538
29263,22436,GMW000000030929,1,38.64031412092175,facility_point,GUF000000051141,1,GLD000000100572,121,1990-10-31,2020-11-09,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000100572?rapportagetype=compact&observatietype=onbekend,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000100572?rapportagetype=compact&observatietype=regulier_voorlopig,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000100572?rapportagetype=compact&observatietype=regulier_beoordeeld,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000100572
29263,22436,GMW000000030929,1,38.64031412092175,facility_point,GUF000000051141,1,GLD000000104571,13,2021-01-15,2023-01-25,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000104571?rapportagetype=compact&observatietype=onbekend,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000104571?rapportagetype=compact&observatietype=regulier_voorlopig,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000104571?rapportagetype=compact&observatietype=regulier_beoordeeld,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000104571
29357,22526,GMW000000031019,1,14.036006768207121,realised_well,517756,1,GLD000000099605,27,2021-01-07,2025-04-03,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000099605?rapportagetype=compact&observatietype=onbekend,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000099605?rapportagetype=compact&observatietype=regulier_voorlopig,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000099605?rapportagetype=compact&observatietype=regulier_beoordeeld,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000099605
29357,22526,GMW000000031019,1,14.036006768207121,realised_well,517756,1,GLD000000101443,239,1979-11-15,2020-10-20,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000101443?rapportagetype=compact&observatietype=onbekend,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000101443?rapportagetype=compact&observatietype=regulier_voorlopig,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000101443?rapportagetype=compact&observatietype=regulier_beoordeeld,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000101443
29366,22535,GMW000000031028,1,36.89158920577085,facility_point,GUF000000058263,1,GLD000000099841,209,1977-03-21,2020-10-26,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000099841?rapportagetype=compact&observatietype=onbekend,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000099841?rapportagetype=compact&observatietype=regulier_voorlopig,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000099841?rapportagetype=compact&observatietype=regulier_beoordeeld,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000099841
29366,22535,GMW000000031028,1,36.89158920577085,facility_point,GUF000000058263,1,GLD000000105052,2,2021-01-22,2022-12-01,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000105052?rapportagetype=compact&observatietype=onbekend,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000105052?rapportagetype=compact&observatietype=regulier_voorlopig,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000105052?rapportagetype=compact&observatietype=regulier_beoordeeld,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000105052
