model_family,test_rank_rmse,rmse_test,mae_test,r2_test,delta_rmse_vs_selective,delta_mae_vs_selective,n_test
Context-Aware Selective Learning,1,2.092473566214201,0.9092753529548645,0.1890500783920288,0.0,0.0,16547
Site-Hard Expert Selector,2,2.0964326895150918,0.9165830612182617,0.18597841262817383,0.003959123300890877,0.007307708263397217,16547
Deep Context LSTM (Always TL),3,2.0983933160807027,0.9151559472084045,0.18445509672164917,0.005919749866501789,0.005880594253540039,16547
Deep Context LSTM (No TL),4,2.106178857524406,0.9331862926483154,0.1783921718597412,0.013705291310205148,0.023910939693450928,16547
Random Forest,5,2.153770552930071,0.8656902553463567,0.14084213142185786,0.06129698671586992,-0.04358509760850782,16547
Baseline LSTM (No TL),6,2.3229104855944134,1.0576287508010864,0.0006007552146911621,0.2304369193802125,0.14835339784622192,16547
Baseline LSTM (TL),7,2.3435252781264233,1.0686460733413696,-0.01721644401550293,0.2510517119122224,0.15937072038650513,16547
