model_family,best_site_count,share_of_sites
Random Forest,166,0.3346774193548387
Baseline LSTM (TL),107,0.2157258064516129
Deep Context LSTM (Always TL),81,0.16330645161290322
Baseline LSTM (No TL),77,0.15524193548387097
Context-Aware Selective Learning,39,0.07862903225806452
Deep Context LSTM (No TL),26,0.05241935483870968
