model_family,rmse_cal,mae_cal,r2_cal,n_cal,rmse_test,mae_test,r2_test,n_test,rmse_val,mae_val,r2_val,n_val,source_filter_label,tau,uses_transfer_learning,is_sarp_style,is_selective,test_rank_rmse
Context-Aware Selective Learning,2.058276041548876,0.8969901204109192,0.14498966932296753,9359,2.092473566214201,0.9092753529548645,0.1890500783920288,16547,1.589613839286302,0.7745095491409302,0.10020953416824341,14564,maxsim0.40,0.4,True,False,True,1
Site-Hard Expert Selector,2.0661590947567885,0.9195359945297241,0.13842791318893433,9359,2.0964326895150918,0.9165830612182617,0.18597841262817383,16547,1.5949735993260192,0.7831522226333618,0.09413158893585205,14564,maxsim0.40,0.4,True,False,True,2
Deep Context LSTM (Always TL),2.085323743499761,0.9385452270507812,0.12237071990966797,9359,2.0983933160807027,0.9151559472084045,0.18445509672164917,16547,1.6008497187212583,0.7934139966964722,0.08744454383850098,14564,maxsim0.40,0.4,True,False,False,3
Deep Context LSTM (No TL),2.0825225651172214,0.9370468258857727,0.12472695112228394,9359,2.106178857524406,0.9331862926483154,0.1783921718597412,16547,1.58666471899271,0.7678430080413818,0.10354512929916382,14564,maxsim0.40,0.4,False,False,False,4
Random Forest,2.1013226070284343,0.8939814240115638,0.10885256065932924,9359,2.153770552930071,0.8656902553463567,0.14084213142185786,16547,1.6092267435958878,0.7960317510657771,0.07786910152846005,14564,maxsim0.40,0.4,False,False,False,5
Baseline LSTM (No TL),2.4375162368624874,1.3007699251174927,-0.19911038875579834,9359,2.3229104855944134,1.0576287508010864,0.0006007552146911621,16547,1.6940734132219228,0.8994026780128479,-0.021933317184448242,14564,maxsim0.40,0.4,False,True,False,6
Baseline LSTM (TL),2.2510663790378267,1.0327460765838623,-0.02268218994140625,9359,2.3435252781264233,1.0686460733413696,-0.01721644401550293,16547,1.6838062975335153,0.8742835521697998,-0.009583830833435059,14564,maxsim0.40,0.4,True,True,False,7
