model_family,test_rank_rmse,rmse_test,mae_test,r2_test,delta_rmse_vs_selective,delta_mae_vs_selective,n_test
Context-Aware Selective Learning,1.0,2.092473566214201,0.9092753529548645,0.1890500783920288,-0.003959123300890877,-0.007307708263397217,16547.0
Site-Hard Expert Selector,2.0,2.0964326895150918,0.9165830612182617,0.18597841262817383,0.0,0.0,16547.0
Deep Context LSTM (Always TL),3.0,2.0983933160807027,0.9151559472084045,0.18445509672164917,0.0019606265656109123,-0.0014271140098571777,16547.0
Deep Context LSTM (No TL),4.0,2.106178857524406,0.9331862926483154,0.1783921718597412,0.009746168009314271,0.01660323143005371,16547.0
Random Forest,5.0,2.153770552930071,0.8656902553463567,0.14084213142185786,0.05733786341497904,-0.050892805871905034,16547.0
Baseline LSTM (No TL),6.0,2.3229104855944134,1.0576287508010864,0.0006007552146911621,0.2264777960793216,0.1410456895828247,16547.0
Baseline LSTM (TL),7.0,2.3435252781264233,1.0686460733413696,-0.01721644401550293,0.24709258861133154,0.1520630121231079,16547.0
