analysis_unit,subset_label,n,mean_always_tl_delta,mean_selective_delta_vs_no_tl,mean_selective_delta_vs_always_tl,always_tl_help_rate,always_tl_harm_rate,selective_partial_rescue_rate,selective_full_rescue_rate
site,all_sites,99,-0.025814531427441223,-0.01881105008751455,0.007003481339926672,0.5757575757575758,0.42424242424242425,0.41414141414141414,0.04040404040404041
site,always_tl_harmed_sites,42,0.07326099134626843,0.04074356385639736,-0.03251742748987107,0.0,1.0,0.9761904761904762,0.09523809523809523
site,always_tl_helped_sites,57,-0.09881754820806939,-0.06269339720408122,0.036124151003988164,1.0,0.0,0.0,0.0
observation,all_observations,2034,-0.014453437179327011,-0.013175961561501026,0.001277474919334054,0.5162241887905604,0.4837758112094395,0.4695181907571288,0.01720747295968535
observation,always_tl_harmed_observations,984,0.172150656580925,0.08641419559717178,-0.08573645353317261,0.0,1.0,0.9705284552845529,0.03556910569105691
observation,always_tl_helped_observations,1050,-0.1893281191587448,-0.10650616884231567,0.08282195031642914,1.0,0.0,0.0,0.0
