strategy,n_sites,mean_delta_rmse,median_delta_rmse,helped_wells,harmed_wells,spearman_similarity_vs_delta
always_tl,96,-0.028461673917869728,-0.009127765893936157,56,40,-0.1897449810092241
selective_learning,96,-0.02138995969047149,-0.009088128805160522,59,37,-0.2564297341291373
site_hard_selector,96,-0.032377468111614384,0.0,43,28,-0.18268137613086613
