model_family,best_site_count,share_of_sites
Deep Context LSTM (No TL),29,0.29292929292929293
Deep Context LSTM (Always TL),28,0.2828282828282828
Random Forest,22,0.2222222222222222
Baseline LSTM (No TL),7,0.0707070707070707
Baseline LSTM (TL),7,0.0707070707070707
Context-Aware Selective Learning,6,0.06060606060606061
