dataset,rows,units,unit_type,target_month_start,target_month_end,train_rows,val_rows,cal_rows,test_rows
source pretrain table,122880,512,source cells,1996-10-01,2016-09-01,73728,18432,12288,18432
target finetune table,11348,102,target wells,1996-07-01,2016-09-01,6271,1731,1312,2034
