date,water_level_nap_m
1990-05-02T01:00:00+02:00,-1.65
1990-10-31T02:00:00+01:00,-1.58
1991-01-14T02:00:00+01:00,-1.63
1991-03-07T02:00:00+01:00,-1.58
1991-05-06T03:00:00+02:00,-1.63
1991-08-02T03:00:00+02:00,-1.76
1991-10-29T02:00:00+01:00,-1.78
1992-01-09T02:00:00+01:00,-1.56
1992-01-22T02:00:00+01:00,-1.65
1992-03-23T02:00:00+01:00,-1.57
1992-06-01T03:00:00+02:00,-1.75
1992-08-18T03:00:00+02:00,-1.82
1992-10-22T02:00:00+01:00,-1.64
1992-12-23T02:00:00+01:00,-1.58
1993-01-27T02:00:00+01:00,-1.6
1993-03-10T02:00:00+01:00,-1.68
1993-05-11T03:00:00+02:00,-1.66
1993-08-20T03:00:00+02:00,-1.73
1993-11-05T02:00:00+01:00,-1.67
1994-01-04T02:00:00+01:00,-1.54
1994-01-20T02:00:00+01:00,-1.59
1994-03-11T02:00:00+01:00,-1.66
1994-05-10T03:00:00+02:00,-1.65
1994-08-10T03:00:00+02:00,-1.97
1994-11-02T02:00:00+01:00,-1.56
1994-12-30T02:00:00+01:00,-1.58
1995-02-13T02:00:00+01:00,-1.55
1995-05-03T03:00:00+02:00,-1.73
1995-06-29T03:00:00+02:00,-1.77
1995-08-18T03:00:00+02:00,-2.06
1995-10-10T02:00:00+01:00,-1.86
1995-12-20T02:00:00+01:00,-1.94
1996-01-11T02:00:00+01:00,-1.83
1996-02-21T02:00:00+01:00,-1.85
1996-05-06T03:00:00+02:00,-1.87
1996-07-25T03:00:00+02:00,-1.98
1996-10-02T03:00:00+02:00,-1.94
1996-12-13T02:00:00+01:00,-1.61
1997-01-30T02:00:00+01:00,-1.81
1997-02-26T02:00:00+01:00,-1.63
1997-07-25T03:00:00+02:00,-1.66
1997-08-06T03:00:00+02:00,-1.81
1997-09-30T03:00:00+02:00,-2.02
1998-01-28T02:00:00+01:00,-1.9
1998-04-16T03:00:00+02:00,-1.6
1998-06-16T03:00:00+02:00,-1.56
1998-06-23T03:00:00+02:00,-1.61
1998-07-21T03:00:00+02:00,-1.7
1998-08-24T03:00:00+02:00,-1.75
1998-09-02T03:00:00+02:00,-1.68
1998-09-18T03:00:00+02:00,-1.58
1998-09-25T03:00:00+02:00,-1.62
1998-10-02T03:00:00+02:00,-1.66
1998-10-10T03:00:00+02:00,-1.58
1998-10-15T03:00:00+02:00,-1.59
1998-10-24T03:00:00+02:00,-1.58
1998-11-05T02:00:00+01:00,-1.48
1998-11-11T02:00:00+01:00,-1.55
1998-11-16T02:00:00+01:00,-1.63
1998-12-04T02:00:00+01:00,-1.57
1998-12-10T02:00:00+01:00,-1.63
1999-01-04T02:00:00+01:00,-1.59
1999-01-08T02:00:00+01:00,-1.49
1999-01-19T02:00:00+01:00,-1.58
1999-01-26T02:00:00+01:00,-1.6
1999-02-04T02:00:00+01:00,-1.61
1999-02-05T02:00:00+01:00,-1.6
1999-02-12T02:00:00+01:00,-1.6
1999-02-19T02:00:00+01:00,-1.61
1999-02-26T02:00:00+01:00,-1.58
1999-03-05T02:00:00+01:00,-1.54
1999-03-08T02:00:00+01:00,-1.56
1999-03-09T02:00:00+01:00,-1.57
1999-03-10T02:00:00+01:00,-1.58
1999-03-11T02:00:00+01:00,-1.58
1999-03-15T02:00:00+01:00,-1.56
1999-03-16T02:00:00+01:00,-1.55
1999-03-17T02:00:00+01:00,-1.54
1999-03-18T02:00:00+01:00,-1.53
1999-03-26T02:00:00+01:00,-1.58
1999-04-01T03:00:00+02:00,-1.6
1999-04-08T03:00:00+02:00,-1.62
1999-04-15T03:00:00+02:00,-1.63
1999-04-19T03:00:00+02:00,-1.67
1999-04-20T03:00:00+02:00,-1.66
1999-04-27T03:00:00+02:00,-1.68
1999-05-05T03:00:00+02:00,-1.73
1999-05-07T03:00:00+02:00,-1.79
1999-05-10T03:00:00+02:00,-1.84
1999-05-11T03:00:00+02:00,-1.85
1999-05-12T03:00:00+02:00,-1.85
1999-05-19T03:00:00+02:00,-1.86
1999-05-26T03:00:00+02:00,-1.85
1999-06-01T03:00:00+02:00,-1.86
1999-06-02T03:00:00+02:00,-1.87
1999-06-03T03:00:00+02:00,-1.87
1999-06-04T03:00:00+02:00,-1.88
1999-06-07T03:00:00+02:00,-1.94
1999-06-10T03:00:00+02:00,-2.16
1999-06-11T03:00:00+02:00,-1.68
1999-06-12T03:00:00+02:00,-1.44
1999-06-13T03:00:00+02:00,-1.72
1999-06-14T03:00:00+02:00,-1.38
1999-06-15T03:00:00+02:00,-1.63
1999-06-16T03:00:00+02:00,-1.78
1999-06-17T03:00:00+02:00,-1.88
1999-06-18T03:00:00+02:00,-1.6
1999-06-21T03:00:00+02:00,-1.68
1999-06-22T03:00:00+02:00,-1.72
1999-06-23T03:00:00+02:00,-1.84
1999-06-24T03:00:00+02:00,-1.96
1999-06-25T03:00:00+02:00,-1.73
1999-06-28T03:00:00+02:00,-1.87
1999-06-29T03:00:00+02:00,-1.94
1999-06-30T03:00:00+02:00,-1.98
1999-07-01T03:00:00+02:00,-2.01
