site_id,cell_id,cosine_similarity,months_used
9687,6814,0.010964241680539716,15
9687,7271,0.010139350477856359,15
9687,7658,0.2557069415950636,15
9687,8512,0.2800935894357683,15
9687,9763,0.1146803659746311,15
9687,10671,0.233740095258623,15
9687,10818,0.21358745250077568,15
9687,11250,-0.005962334942723278,15
9687,11741,0.036636527510416454,15
9687,12080,0.021935679855078757,15
9687,12127,-0.1588125176675133,15
9687,12136,-0.09438937967782518,15
9687,12928,-0.056776217538971496,15
9687,12951,-0.08222466202654297,15
9687,14340,-0.08515631556237688,15
9687,14711,0.015995524955041744,15
9687,15498,-0.16800183338229277,15
9687,16034,0.05396398608366673,15
9687,16116,-0.060232823333144704,15
9687,17268,0.04903616885346831,15
9687,17719,0.03466764948957115,15
9687,18036,0.02682723685815548,15
9687,18044,-0.07045926388937873,15
9687,20880,0.26319954021905456,15
9687,22059,-0.011105378034505857,15
9687,22247,-0.08546885951994936,15
9687,23016,0.0702072160801185,15
9687,23018,0.019193970820739155,15
9687,25114,0.39891392364459055,15
9687,25597,0.1558640573592414,15
9687,25618,0.0489644693031084,15
9687,26004,0.05965739912804772,15
9687,26384,0.3835562295388112,15
9687,26758,0.132319082574311,15
9687,26769,-0.13071649970099591,15
9687,26850,0.05578813148715567,15
9687,27247,0.382974884236661,15
9687,27603,0.05134093694753303,15
9687,27677,0.2669245584643554,15
9687,27713,0.0869158153310894,15
9687,27963,-0.19583196032480013,15
9687,28074,0.1569415658608505,15
9687,28484,-0.1267397255643293,15
9687,28540,0.3599682794531857,15
9687,28544,0.30942847488968955,15
9687,28928,0.03632143045756522,15
9687,28977,0.1615952894166729,15
9687,30208,0.024369391615577433,15
9687,30652,0.051166760338414746,15
9687,30664,-0.24497974274281817,15
9687,31037,-0.11995296473147084,15
9687,31099,0.4043403538596341,15
9687,31267,-0.06419647548511911,15
9687,31993,0.042783630347194304,15
9687,32104,-0.09171212677459743,15
9687,32377,0.30383414360089117,15
9687,32745,-0.13489887924961158,15
9687,32824,-0.19287867200423922,15
9687,32847,0.018761445113494722,15
9687,33489,-0.06221149261157844,15
9687,33597,0.2812783092554139,15
9687,33678,-0.09838727389437292,15
9687,34064,-0.039675098269599474,15
9687,34400,0.1791857370474615,15
9687,34414,0.054575079196702535,15
9687,34747,0.0671393514975353,15
9687,34927,-0.023427043075779978,15
9687,35173,0.034193728375180324,15
9687,35254,0.09535293495757506,15
9687,36509,-0.2310097268172202,15
9687,36514,0.04224576184862043,15
9687,36565,-0.4838096221923855,15
9687,36576,-0.4128152580726614,15
9687,36605,-0.14603167620300508,15
9687,36656,-0.047469974195974415,15
9687,37287,0.11729505354723482,15
9687,37373,0.049013380448261944,15
9687,37915,-0.07558407392886378,15
9687,38393,-0.16476007048739272,15
9687,38507,-0.08723235026046944,15
9687,38645,-0.06809886859228466,15
9687,38751,-0.04950973542271097,15
9687,38775,0.06920080712006127,15
9687,40001,-0.2770293994347243,15
9687,40152,0.3417698032693373,15
9687,40153,0.4306322427009133,15
9687,40928,-0.21922427185002014,15
9687,40933,-0.043139396342428964,15
