site_id,cell_id,cosine_similarity,months_used,source_lon,source_lat
9687,64692,0.5164027169479909,15,-1.6413000000000015,-6.762399999999999
9941,89023,0.3142923106641062,80,16.2887,-0.49239999999999895
10385,54194,0.48060750895326904,102,9.578699999999998,-9.5124
18022,54652,0.6689914496754387,7,13.318699999999998,-9.402399999999998
18027,27677,0.6327108188338818,7,-15.611300000000002,-16.3324
18055,54652,0.6970632293579688,7,13.318699999999998,-9.402399999999998
18086,54652,0.7059975008578142,7,13.318699999999998,-9.402399999999998
29249,28544,0.2313194557414356,75,-13.521300000000002,-16.112399999999997
29263,34927,0.20448051008454676,68,-10.9913,-14.462399999999999
29357,69646,0.2864358033742457,75,-16.381300000000003,-5.442399999999999
29366,22059,0.33777214946011697,72,-27.2713,-17.7624
29373,36514,0.2921897345761352,71,-22.9813,-14.0224
29419,67575,0.24483254250268235,75,-10.9913,-5.992399999999999
29465,90973,0.27258197367663684,33,-2.4113000000000016,0.057600000000001025
29476,23018,0.23262403286800853,71,-15.061300000000001,-17.5424
29532,36514,0.4024784395073418,68,-22.9813,-14.0224
29570,73539,0.3421321400034778,72,-7.9113000000000016,-4.452399999999999
29599,82879,0.21535240767434596,74,-6.591300000000001,-2.032399999999999
29655,67575,0.3392025291027753,76,-10.9913,-5.992399999999999
29680,28977,0.40125317713373476,75,-12.531300000000002,-16.002399999999998
29698,62865,0.49371761831134897,22,-16.0513,-7.202399999999999
29708,40152,0.1682476996924483,71,4.078699999999999,-13.142399999999999
29740,40153,0.3359787396613567,41,4.188699999999998,-13.142399999999999
29756,81796,0.2840965925423487,76,14.198699999999999,-2.362399999999999
29794,36514,0.2662051569624913,68,-22.9813,-14.0224
29812,127442,0.1740840862648924,86,-1.8613000000000015,9.517600000000002
29828,156721,0.42747758400553004,17,0.6686999999999985,17.1076
29829,34414,0.22864515680289343,71,-20.7813,-14.572399999999998
29848,36514,0.2808173153693233,83,-22.9813,-14.0224
29861,30208,0.3355513103483594,41,-17.041300000000003,-15.6724
29908,28544,0.24174391835079234,71,-13.521300000000002,-16.112399999999997
29931,67575,0.20900487380319793,87,-10.9913,-5.992399999999999
29961,34400,0.2578958558557591,72,-22.3213,-14.572399999999998
29971,70489,0.7598189715424323,5,-16.9313,-5.222399999999999
29982,47390,0.3856237133699691,77,7.3786999999999985,-11.2724
29997,94318,0.9618871030219815,2,-7.5813000000000015,0.937600000000001
30035,73539,0.2393992352931255,75,-7.9113000000000016,-4.452399999999999
30066,55441,0.23940527713241352,130,6.828699999999999,-9.1824
30104,47390,0.26830608017422586,78,7.3786999999999985,-11.2724
30225,85490,0.23640830552626282,73,0.7786999999999985,-1.372399999999999
30247,36576,0.45357671093639823,14,-16.1613,-14.0224
30249,121209,0.3529165904247521,60,12.108699999999999,7.867600000000001
30265,75352,0.30711285657084697,78,4.9586999999999986,-4.012399999999999
30341,41273,0.2239436793913754,73,-12.531300000000002,-12.812399999999998
30380,28544,0.45607324022124335,16,-13.521300000000002,-16.112399999999997
30385,75352,0.40068251666973004,73,4.9586999999999986,-4.012399999999999
30425,68092,0.22034013233659552,90,-0.7613000000000015,-5.882399999999999
30427,89709,0.33152792570614514,76,-1.5313000000000014,-0.272399999999999
30474,73539,0.28569976141468334,73,-7.9113000000000016,-4.452399999999999
30578,67575,0.2574000183906373,87,-10.9913,-5.992399999999999
30586,73539,0.2346742391695835,81,-7.9113000000000016,-4.452399999999999
30638,101998,0.4315201556105119,41,-2.3013000000000017,2.917600000000001
30656,136768,0.3351033057095524,59,-2.0813000000000015,11.937600000000002
30760,11741,0.5014273475994847,81,3.7486999999999986,-20.5124
30788,101998,0.4529314843133312,29,-2.3013000000000017,2.917600000000001
30795,101998,0.2602363511875191,83,-2.3013000000000017,2.917600000000001
30808,125300,0.2943541335644693,72,-4.281300000000002,8.967600000000001
30832,11741,0.32504542995464825,74,3.7486999999999986,-20.5124
30868,54218,0.3431901349353138,87,12.218699999999998,-9.5124
30919,67575,0.26464177490098373,70,-10.9913,-5.992399999999999
30981,155115,0.8162664275402916,7,10.568699999999998,16.6676
31008,61882,0.20596140675940544,76,15.738699999999998,-7.532399999999999
31022,73539,0.32945551510607757,71,-7.9113000000000016,-4.452399999999999
31032,67575,0.2636682972421019,93,-10.9913,-5.992399999999999
31064,33489,0.21845774237027307,80,17.3887,-14.902399999999998
31247,85413,0.4737485867047974,25,-7.691300000000002,-1.372399999999999
31257,34400,0.41292474688509934,72,-22.3213,-14.572399999999998
31324,75352,0.25644880671536646,87,4.9586999999999986,-4.012399999999999
31343,68092,0.2330341428190487,73,-0.7613000000000015,-5.882399999999999
31403,67575,0.2742846927931101,77,-10.9913,-5.992399999999999
31425,69646,0.27523635085232656,96,-16.381300000000003,-5.442399999999999
31482,69646,0.24412339465262226,107,-16.381300000000003,-5.442399999999999
31515,69646,0.3169645616030967,74,-16.381300000000003,-5.442399999999999
31528,126175,0.2957879499198765,38,-1.3113000000000015,9.187600000000002
31541,81796,0.27824451105586523,84,14.198699999999999,-2.362399999999999
31543,28977,0.2502366741657179,75,-12.531300000000002,-16.002399999999998
31567,89023,0.20526988629697815,73,16.2887,-0.49239999999999895
31593,156735,0.4659692585536497,25,2.2086999999999986,17.1076
31631,67575,0.31008976666231813,72,-10.9913,-5.992399999999999
31642,28544,0.3297303308859316,19,-13.521300000000002,-16.112399999999997
31683,101998,0.3403063554027605,66,-2.3013000000000017,2.917600000000001
31688,73539,0.2824631778601335,74,-7.9113000000000016,-4.452399999999999
31696,48302,0.24141908008786514,89,14.4187,-11.052399999999999
31792,28544,0.4182770546840869,18,-13.521300000000002,-16.112399999999997
31854,89709,0.21575129564050846,77,-1.5313000000000014,-0.272399999999999
31920,54218,0.3824628209196696,76,12.218699999999998,-9.5124
31933,166929,0.3192772290631208,82,4.188699999999998,19.747600000000002
31939,67575,0.2905960710582531,76,-10.9913,-5.992399999999999
31988,67575,0.3244519552988173,73,-10.9913,-5.992399999999999
31997,17268,0.28232905578446477,70,5.398699999999999,-19.0824
32135,78638,0.43071146534675997,17,-6.701300000000002,-3.132399999999999
32138,16034,0.40143963300016333,71,9.578699999999998,-19.412399999999998
32189,69646,0.20394223947325424,76,-16.381300000000003,-5.442399999999999
32219,37373,0.3006881732294162,61,-21.7713,-13.802399999999999
32332,23016,0.19438237911860554,72,-15.281300000000002,-17.5424
32804,67575,0.40642148476248435,47,-10.9913,-5.992399999999999
33050,49381,0.34649227046155145,109,-6.811300000000002,-10.722399999999999
104122,132086,0.4558088915754938,52,-4.061300000000002,10.7276
104211,132086,0.4851423933997395,48,-4.061300000000002,10.7276
