model_family,n_seeds,mean_rmse,std_rmse,mean_mae,std_mae,mean_r2,std_r2
Context-Aware Selective Learning,5,2.0581512466280407,0.040462037292035236,0.9164395689964294,0.033106743906287636,0.21519291400909424,0.030711560681158028
Deep Context LSTM (No TL),5,2.0595636009923095,0.043233417170238576,0.9166917562484741,0.03666644017405242,0.21408143043518066,0.032728762779956094
Site-Hard Expert Selector,5,2.0682900655155647,0.04142824299059701,0.9324557662010193,0.039370206616789874,0.2074323534965515,0.031661704761241485
Deep Context LSTM (Always TL),5,2.075235429868531,0.04762691814046324,0.9429583668708801,0.05640875241842215,0.20202041864395143,0.03659086433736335
Random Forest,5,2.1444001403390245,0.013207482378828753,0.8699598539978334,0.006050517122890284,0.14827590082747474,0.010491830278647925
Baseline LSTM (No TL),5,2.339182230221446,0.030452547506087987,1.079830026626587,0.04460461796191385,-0.013587093353271485,0.026602898296973057
Baseline LSTM (TL),5,2.344850841542947,0.0010201041863995316,1.0701000452041627,0.0012431058845189006,-0.018367624282836913,0.0008860694997056317
