dataset,rows,units,unit_type,target_month_start,target_month_end,train_rows,val_rows,cal_rows,test_rows
source pretrain table,122880,512,source cells,1996-10-01,2016-09-01,73728,18432,12288,18432
target finetune table,100472,496,target wells,1996-10-01,2016-06-01,60002,14564,9359,16547
