date,water_level_nap_m
1969-09-15T00:00:00+01:00,-4.34
1969-09-30T00:00:00+01:00,-4.38
1969-10-14T00:00:00+01:00,-4.32
1969-10-27T00:00:00+01:00,-4.38
1969-11-17T00:00:00+01:00,-4.25
1969-12-01T00:00:00+01:00,-4.29
1969-12-12T00:00:00+01:00,-4.26
1969-12-31T00:00:00+01:00,-4.45
1970-01-14T00:00:00+01:00,-4.52
1970-01-29T00:00:00+01:00,-4.62
1970-02-16T00:00:00+01:00,-4.65
1970-02-27T00:00:00+01:00,-4.7
1970-03-13T00:00:00+01:00,-4.62
1970-03-26T00:00:00+01:00,-4.62
1970-04-15T00:00:00+01:00,-4.61
1970-04-29T00:00:00+01:00,-4.57
1970-05-14T00:00:00+01:00,-4.6
1970-05-28T00:00:00+01:00,-4.49
1970-06-15T00:00:00+01:00,-4.52
1970-06-30T00:00:00+01:00,-4.52
1970-07-29T00:00:00+01:00,-4.34
1970-08-14T00:00:00+01:00,-4.32
1970-08-27T00:00:00+01:00,-4.32
1970-09-16T00:00:00+01:00,-4.37
1970-09-29T00:00:00+01:00,-4.34
1970-10-14T00:00:00+01:00,-4.27
1970-10-28T00:00:00+01:00,-4.22
1970-11-16T00:00:00+01:00,-4.12
1970-11-27T00:00:00+01:00,-4.16
1970-12-16T00:00:00+01:00,-4.15
1971-01-14T00:00:00+01:00,-4.16
1971-01-28T00:00:00+01:00,-4.2
1971-02-15T00:00:00+01:00,-4.12
1971-03-03T00:00:00+01:00,-4.15
1971-03-17T00:00:00+01:00,-4.17
1971-03-31T00:00:00+01:00,-4.18
1971-04-15T00:00:00+01:00,-4.24
1971-04-29T00:00:00+01:00,-4.26
1971-05-14T00:00:00+01:00,-4.32
1971-05-27T00:00:00+01:00,-4.32
1971-06-16T00:00:00+01:00,-4.35
1971-06-30T00:00:00+01:00,-4.32
1971-07-14T00:00:00+01:00,-4.47
1971-08-16T00:00:00+01:00,-4.52
1971-08-31T00:00:00+01:00,-4.49
1971-09-15T00:00:00+01:00,-4.47
1971-09-29T00:00:00+01:00,-4.44
1971-10-15T00:00:00+01:00,-4.3
1971-10-28T00:00:00+01:00,-4.35
1971-11-17T00:00:00+01:00,-4.28
1971-12-01T00:00:00+01:00,-4.2
1971-12-15T00:00:00+01:00,-4.2
1972-01-13T00:00:00+01:00,-4.16
1972-01-27T00:00:00+01:00,-4.14
1972-02-15T00:00:00+01:00,-4.32
1972-02-29T00:00:00+01:00,-4.3
1972-03-13T00:00:00+01:00,-4.26
1972-03-28T00:00:00+01:00,-4.28
1972-04-12T00:00:00+01:00,-4.28
1972-04-26T00:00:00+01:00,-4.25
1972-05-16T00:00:00+01:00,-4.39
1972-05-25T00:00:00+01:00,-4.36
1972-06-13T00:00:00+01:00,-4.49
1972-06-27T00:00:00+01:00,-4.44
1972-07-27T00:00:00+01:00,-4.22
1972-08-15T00:00:00+01:00,-5.03
1972-08-29T00:00:00+01:00,-4.97
1972-09-14T00:00:00+01:00,-5.14
1972-09-27T00:00:00+01:00,-5.45
