date,water_level_nap_m
1969-09-15T00:00:00+01:00,-5.06
1969-09-30T00:00:00+01:00,-5.14
1969-10-14T00:00:00+01:00,-5.13
1969-10-27T00:00:00+01:00,-5.13
1969-11-17T00:00:00+01:00,-4.97
1969-12-01T00:00:00+01:00,-4.98
1969-12-12T00:00:00+01:00,-5.06
1969-12-31T00:00:00+01:00,-4.98
1970-01-14T00:00:00+01:00,-5.03
1970-01-28T00:00:00+01:00,-5.03
1970-02-13T00:00:00+01:00,-5.1
1970-02-27T00:00:00+01:00,-4.99
1970-03-13T00:00:00+01:00,-5.03
1970-03-26T00:00:00+01:00,-5.11
1970-04-15T00:00:00+01:00,-5.23
1970-04-29T00:00:00+01:00,-5.08
1970-05-14T00:00:00+01:00,-5.08
1970-05-28T00:00:00+01:00,-5.16
1970-06-15T00:00:00+01:00,-5.21
1970-06-29T00:00:00+01:00,-5.17
1970-07-29T00:00:00+01:00,-5.1
1970-08-14T00:00:00+01:00,-5.04
1970-08-27T00:00:00+01:00,-5.14
1970-09-16T00:00:00+01:00,-5.06
1970-09-29T00:00:00+01:00,-5.11
1970-10-13T00:00:00+01:00,-5.18
1970-10-28T00:00:00+01:00,-5.23
1970-11-13T00:00:00+01:00,-4.93
1970-11-27T00:00:00+01:00,-4.98
1970-12-16T00:00:00+01:00,-4.97
1970-12-29T00:00:00+01:00,-5.03
1971-01-14T00:00:00+01:00,-5.01
1971-01-28T00:00:00+01:00,-4.83
1971-02-12T00:00:00+01:00,-4.98
1971-03-03T00:00:00+01:00,-4.98
1971-03-17T00:00:00+01:00,-5.03
1971-03-31T00:00:00+01:00,-5.03
1971-04-15T00:00:00+01:00,-5.08
1971-04-29T00:00:00+01:00,-5.08
1971-05-14T00:00:00+01:00,-5.13
1971-05-27T00:00:00+01:00,-5.08
1971-06-16T00:00:00+01:00,-5.08
1971-06-30T00:00:00+01:00,-5.03
1971-07-14T00:00:00+01:00,-5.17
1971-08-13T00:00:00+01:00,-5.23
1971-08-31T00:00:00+01:00,-5.23
1971-09-15T00:00:00+01:00,-5.38
1971-09-29T00:00:00+01:00,-5.24
1971-10-15T00:00:00+01:00,-5.23
1971-10-28T00:00:00+01:00,-5.21
1971-11-13T00:00:00+01:00,-5.13
1971-12-01T00:00:00+01:00,-5.01
1971-12-16T00:00:00+01:00,-5.09
1972-01-13T00:00:00+01:00,-5.03
1972-01-27T00:00:00+01:00,-4.97
1972-02-15T00:00:00+01:00,-4.95
1972-02-29T00:00:00+01:00,-5.03
1972-03-13T00:00:00+01:00,-5.06
1972-03-28T00:00:00+01:00,-4.99
1972-04-13T00:00:00+01:00,-4.95
1972-04-26T00:00:00+01:00,-4.93
1972-05-15T00:00:00+01:00,-5.03
1972-05-29T00:00:00+01:00,-5.03
1972-06-13T00:00:00+01:00,-4.99
1972-06-27T00:00:00+01:00,-4.99
1972-07-26T00:00:00+01:00,-5.13
1972-08-15T00:00:00+01:00,-5.05
1972-08-28T00:00:00+01:00,-5.13
1972-09-13T00:00:00+01:00,-5.14
1972-09-27T00:00:00+01:00,-5.21
1972-10-26T00:00:00+01:00,-5.22
1972-11-13T00:00:00+01:00,-5.11
1972-11-28T00:00:00+01:00,-4.91
1972-12-13T00:00:00+01:00,-5.01
1973-01-15T00:00:00+01:00,-5.03
1973-01-30T00:00:00+01:00,-5.0
1973-02-13T00:00:00+01:00,-4.83
1973-02-28T00:00:00+01:00,-5.01
1973-03-15T00:00:00+01:00,-5.13
1973-03-29T00:00:00+01:00,-5.03
1973-04-17T00:00:00+01:00,-5.11
1973-04-26T00:00:00+01:00,-5.05
1973-05-15T00:00:00+01:00,-5.05
1973-05-29T00:00:00+01:00,-4.98
1973-06-14T00:00:00+01:00,-5.06
1973-07-13T00:00:00+01:00,-5.13
1973-07-26T00:00:00+01:00,-5.13
1973-08-15T00:00:00+01:00,-5.15
1973-08-29T00:00:00+01:00,-5.21
1973-09-14T00:00:00+01:00,-5.23
1973-09-28T00:00:00+01:00,-5.14
1973-10-15T00:00:00+01:00,-5.03
1973-10-26T00:00:00+01:00,-4.93
1973-11-15T00:00:00+01:00,-4.94
1973-11-28T00:00:00+01:00,-5.03
1973-12-18T00:00:00+01:00,-4.86
1974-01-16T00:00:00+01:00,-4.98
1974-01-29T00:00:00+01:00,-4.96
1974-02-15T00:00:00+01:00,-4.98
1974-02-28T00:00:00+01:00,-5.03
1974-03-15T00:00:00+01:00,-4.98
1974-03-28T00:00:00+01:00,-5.07
1974-04-18T00:00:00+01:00,-5.15
1974-04-29T00:00:00+01:00,-5.05
1974-05-14T00:00:00+01:00,-5.03
1974-05-29T00:00:00+01:00,-5.06
1974-06-17T00:00:00+01:00,-5.1
1974-06-28T00:00:00+01:00,-5.08
1974-07-30T00:00:00+01:00,-5.13
1974-08-15T00:00:00+01:00,-5.18
1974-08-28T00:00:00+01:00,-5.21
1974-09-17T00:00:00+01:00,-5.11
1974-09-27T00:00:00+01:00,-5.08
1974-10-16T00:00:00+01:00,-4.96
1974-10-29T00:00:00+01:00,-4.71
1974-11-15T00:00:00+01:00,-4.93
1974-11-28T00:00:00+01:00,-4.85
1974-12-17T00:00:00+01:00,-4.73
1975-01-16T00:00:00+01:00,-4.94
1975-01-28T00:00:00+01:00,-4.84
1975-02-14T00:00:00+01:00,-4.96
1975-02-28T00:00:00+01:00,-5.03
1975-03-12T00:00:00+01:00,-4.91
1975-03-26T00:00:00+01:00,-4.93
1975-04-16T00:00:00+01:00,-4.88
1975-05-01T00:00:00+01:00,-5.0
1975-05-13T00:00:00+01:00,-4.99
1975-05-29T00:00:00+01:00,-5.03
1975-06-17T00:00:00+01:00,-5.06
1975-06-24T00:00:00+01:00,-5.03
1975-07-10T00:00:00+01:00,-5.07
1975-07-29T00:00:00+01:00,-5.12
1975-08-15T00:00:00+01:00,-5.13
1975-08-28T00:00:00+01:00,-5.21
1975-09-16T00:00:00+01:00,-5.23
1975-09-29T00:00:00+01:00,-5.17
1975-10-15T00:00:00+01:00,-5.16
1975-10-28T00:00:00+01:00,-5.16
1975-11-13T00:00:00+01:00,-5.13
1975-11-25T00:00:00+01:00,-5.03
1975-12-17T00:00:00+01:00,-5.03
1976-01-13T00:00:00+01:00,-4.92
1976-01-28T00:00:00+01:00,-4.9
1976-02-13T00:00:00+01:00,-4.85
1976-02-26T00:00:00+01:00,-5.06
1976-03-16T00:00:00+01:00,-5.03
1976-03-29T00:00:00+01:00,-5.05
1976-04-13T00:00:00+01:00,-5.08
1976-04-27T00:00:00+01:00,-5.13
1976-05-14T00:00:00+01:00,-5.11
1976-05-26T00:00:00+01:00,-5.08
1976-06-15T00:00:00+01:00,-5.16
1976-06-29T00:00:00+01:00,-5.23
1976-07-28T00:00:00+01:00,-5.19
1976-08-12T00:00:00+01:00,-5.2
1976-08-26T00:00:00+01:00,-5.33
1976-09-15T00:00:00+01:00,-5.15
1976-09-29T00:00:00+01:00,-5.16
1976-10-15T00:00:00+01:00,-5.11
1976-10-28T00:00:00+01:00,-5.15
1976-11-16T00:00:00+01:00,-5.18
1976-12-01T00:00:00+01:00,-5.07
1976-12-15T00:00:00+01:00,-5.04
1977-01-13T02:00:00+01:00,-4.88
1977-01-28T02:00:00+01:00,-4.82
1977-02-15T02:00:00+01:00,-5.03
1977-03-01T02:00:00+01:00,-5.08
1977-03-16T02:00:00+01:00,-5.06
1977-03-30T02:00:00+01:00,-5.06
1977-04-13T03:00:00+02:00,-5.04
1977-04-29T03:00:00+02:00,-5.13
1977-05-11T03:00:00+02:00,-5.09
1977-05-25T03:00:00+02:00,-5.13
1977-06-13T03:00:00+02:00,-5.13
1977-07-12T03:00:00+02:00,-5.19
1977-07-27T03:00:00+02:00,-5.21
1977-08-15T03:00:00+02:00,-5.17
1977-08-26T03:00:00+02:00,-5.16
1977-09-14T03:00:00+02:00,-5.22
1977-09-28T02:00:00+01:00,-5.28
1977-10-14T02:00:00+01:00,-5.19
1977-10-27T02:00:00+01:00,-5.14
1977-11-14T02:00:00+01:00,-4.86
1977-11-28T02:00:00+01:00,-4.92
1977-12-15T02:00:00+01:00,-5.01
1978-01-16T02:00:00+01:00,-4.9
1978-01-30T02:00:00+01:00,-4.95
1978-02-15T02:00:00+01:00,-5.0
1978-02-27T02:00:00+01:00,-5.03
1978-03-16T02:00:00+01:00,-5.03
1978-03-29T02:00:00+01:00,-5.01
1978-04-13T03:00:00+02:00,-5.03
1978-04-28T03:00:00+02:00,-5.08
1978-05-17T03:00:00+02:00,-5.13
1978-05-30T03:00:00+02:00,-5.26
1978-06-14T03:00:00+02:00,-5.33
1978-06-28T03:00:00+02:00,-5.22
1978-07-13T03:00:00+02:00,-5.33
1978-08-16T03:00:00+02:00,-5.38
1978-08-29T03:00:00+02:00,-5.33
1978-09-15T03:00:00+02:00,-5.21
1978-09-28T03:00:00+02:00,-5.13
1978-10-12T02:00:00+01:00,-5.13
1978-10-26T02:00:00+01:00,-5.11
1978-11-15T02:00:00+01:00,-5.07
1978-11-28T02:00:00+01:00,-4.93
1978-12-15T02:00:00+01:00,-4.88
1979-01-15T02:00:00+01:00,-4.93
1979-02-01T02:00:00+01:00,-4.99
1979-02-13T02:00:00+01:00,-4.88
1979-02-28T02:00:00+01:00,-4.85
1979-03-15T02:00:00+01:00,-4.81
1979-03-29T02:00:00+01:00,-4.86
1979-04-18T03:00:00+02:00,-5.03
1979-04-27T03:00:00+02:00,-5.08
1979-05-16T03:00:00+02:00,-5.0
1979-05-29T03:00:00+02:00,-4.96
1979-06-13T03:00:00+02:00,-4.99
1979-06-29T03:00:00+02:00,-5.03
1979-07-17T03:00:00+02:00,-5.03
1979-07-25T03:00:00+02:00,-5.01
1979-08-15T03:00:00+02:00,-5.05
1979-08-29T03:00:00+02:00,-5.13
1979-09-13T03:00:00+02:00,-5.13
1979-09-27T03:00:00+02:00,-5.17
1979-10-16T02:00:00+01:00,-5.13
1979-10-30T02:00:00+01:00,-5.07
1979-11-15T02:00:00+01:00,-4.88
1979-11-29T02:00:00+01:00,-4.93
1979-12-14T02:00:00+01:00,-4.75
1980-01-14T02:00:00+01:00,-4.88
1980-01-28T02:00:00+01:00,-4.92
1980-02-13T02:00:00+01:00,-4.9
1980-02-27T02:00:00+01:00,-4.99
1980-03-13T02:00:00+01:00,-4.78
1980-03-27T02:00:00+01:00,-4.93
1980-04-15T03:00:00+02:00,-5.03
1980-04-28T03:00:00+02:00,-5.03
1980-05-13T03:00:00+02:00,-5.13
1980-05-29T03:00:00+02:00,-5.0
1980-06-12T03:00:00+02:00,-5.03
1980-06-25T03:00:00+02:00,-4.97
1980-07-11T03:00:00+02:00,-4.93
1980-07-28T03:00:00+02:00,-4.96
1980-08-15T03:00:00+02:00,-5.03
1980-08-28T03:00:00+02:00,-5.04
1980-09-17T03:00:00+02:00,-5.05
1980-09-30T02:00:00+01:00,-5.06
1980-10-15T02:00:00+01:00,-5.03
1980-10-28T02:00:00+01:00,-5.03
1980-11-13T02:00:00+01:00,-4.95
1980-11-27T02:00:00+01:00,-4.93
1980-12-17T02:00:00+01:00,-4.83
1981-01-13T02:00:00+01:00,-4.78
1981-02-04T02:00:00+01:00,-4.78
1981-03-01T02:00:00+01:00,-4.9
1981-03-12T02:00:00+01:00,-4.45
1981-03-30T03:00:00+02:00,-4.88
1981-04-15T03:00:00+02:00,-4.96
1981-04-29T03:00:00+02:00,-5.03
1981-05-15T03:00:00+02:00,-5.07
1981-05-27T03:00:00+02:00,-4.87
1981-06-16T03:00:00+02:00,-5.0
1981-06-30T03:00:00+02:00,-5.01
1981-07-22T03:00:00+02:00,-5.1
1981-07-31T03:00:00+02:00,-4.99
1981-08-19T03:00:00+02:00,-4.99
1981-08-28T03:00:00+02:00,-5.01
1981-09-15T03:00:00+02:00,-5.05
1981-09-29T02:00:00+01:00,-5.13
1981-11-12T02:00:00+01:00,-4.89
1981-12-09T02:00:00+01:00,-4.68
1981-12-29T02:00:00+01:00,-4.82
1982-01-13T02:00:00+01:00,-4.9
1982-01-29T02:00:00+01:00,-4.82
1982-02-11T02:00:00+01:00,-4.86
1982-02-26T02:00:00+01:00,-4.88
1982-03-16T02:00:00+01:00,-4.83
1982-03-30T03:00:00+02:00,-4.86
1982-04-27T03:00:00+02:00,-4.93
1982-05-13T03:00:00+02:00,-4.97
1982-05-27T03:00:00+02:00,-4.9
1982-06-29T03:00:00+02:00,-4.89
1982-07-13T03:00:00+02:00,-5.03
1982-07-28T03:00:00+02:00,-5.0
1982-08-12T03:00:00+02:00,-5.02
1982-08-26T03:00:00+02:00,-5.03
1982-09-14T03:00:00+02:00,-5.03
1982-09-29T02:00:00+01:00,-5.05
1982-10-27T02:00:00+01:00,-4.91
1982-11-12T02:00:00+01:00,-4.93
1982-11-26T02:00:00+01:00,-4.85
1982-12-13T02:00:00+01:00,-4.83
1983-01-13T02:00:00+01:00,-4.86
1983-02-10T02:00:00+01:00,-4.83
1983-03-15T02:00:00+01:00,-4.93
1983-04-11T03:00:00+02:00,-4.81
1983-05-17T03:00:00+02:00,-4.86
1983-06-15T03:00:00+02:00,-4.92
1983-07-12T03:00:00+02:00,-4.97
1983-08-15T03:00:00+02:00,-4.98
1983-09-12T03:00:00+02:00,-4.99
1983-10-17T02:00:00+01:00,-4.79
1983-11-14T02:00:00+01:00,-4.98
1983-12-12T02:00:00+01:00,-4.8
1984-01-16T02:00:00+01:00,-4.82
