date,water_level_nap_m
1969-09-16T00:00:00+01:00,-4.3
1969-09-29T00:00:00+01:00,-4.27
1969-10-14T00:00:00+01:00,-4.24
1969-10-28T00:00:00+01:00,-4.28
1969-11-14T00:00:00+01:00,-4.25
1969-11-28T00:00:00+01:00,-4.03
1969-12-29T00:00:00+01:00,-4.12
1970-01-14T00:00:00+01:00,-3.96
1970-01-27T00:00:00+01:00,-4.01
1970-02-13T00:00:00+01:00,-3.97
1970-02-27T00:00:00+01:00,-3.95
1970-03-13T00:00:00+01:00,-3.96
1970-03-26T00:00:00+01:00,-4.01
1970-04-14T00:00:00+01:00,-4.04
1970-04-28T00:00:00+01:00,-3.98
1970-05-15T00:00:00+01:00,-3.95
1970-05-28T00:00:00+01:00,-3.91
1970-06-15T00:00:00+01:00,-3.95
1970-07-01T00:00:00+01:00,-3.92
1970-07-15T00:00:00+01:00,-3.88
1970-08-14T00:00:00+01:00,-3.77
1970-08-28T00:00:00+01:00,-3.87
1970-09-14T00:00:00+01:00,-3.84
1970-09-29T00:00:00+01:00,-3.85
1970-10-14T00:00:00+01:00,-3.73
1970-10-28T00:00:00+01:00,-3.68
1970-11-16T00:00:00+01:00,-3.65
1970-11-30T00:00:00+01:00,-3.61
1970-12-14T00:00:00+01:00,-3.61
1971-01-14T00:00:00+01:00,-3.51
1971-01-29T00:00:00+01:00,-3.46
1971-02-15T00:00:00+01:00,-3.38
1971-03-16T00:00:00+01:00,-3.63
1971-03-30T00:00:00+01:00,-3.66
1971-04-14T00:00:00+01:00,-3.56
1971-04-28T00:00:00+01:00,-3.54
1971-05-14T00:00:00+01:00,-3.63
1971-05-28T00:00:00+01:00,-3.67
1971-06-14T00:00:00+01:00,-3.57
1971-08-27T00:00:00+01:00,-3.65
1971-09-14T00:00:00+01:00,-3.81
1971-09-27T00:00:00+01:00,-3.68
1971-10-13T00:00:00+01:00,-3.67
1971-10-29T00:00:00+01:00,-3.63
1971-11-17T00:00:00+01:00,-3.65
1971-11-29T00:00:00+01:00,-3.53
1971-12-15T00:00:00+01:00,-3.55
1972-01-14T00:00:00+01:00,-3.48
1972-01-27T00:00:00+01:00,-3.47
1972-02-14T00:00:00+01:00,-3.43
1972-02-28T00:00:00+01:00,-3.46
1972-03-13T00:00:00+01:00,-3.47
1972-03-27T00:00:00+01:00,-3.62
1972-04-13T00:00:00+01:00,-3.54
1972-04-27T00:00:00+01:00,-3.53
1972-05-14T00:00:00+01:00,-3.58
1972-05-28T00:00:00+01:00,-3.51
1972-06-14T00:00:00+01:00,-3.62
1972-06-28T00:00:00+01:00,-3.52
1972-09-13T00:00:00+01:00,-3.86
1972-10-12T00:00:00+01:00,-3.83
1972-10-30T00:00:00+01:00,-3.72
1973-01-15T00:00:00+01:00,-3.98
1973-01-30T00:00:00+01:00,-3.91
1973-02-15T00:00:00+01:00,-3.84
1973-02-28T00:00:00+01:00,-4.02
1973-03-13T00:00:00+01:00,-3.99
1973-03-26T00:00:00+01:00,-4.02
1973-04-17T00:00:00+01:00,-4.05
1973-04-26T00:00:00+01:00,-4.03
1973-05-14T00:00:00+01:00,-3.97
1973-05-28T00:00:00+01:00,-4.08
1973-06-13T00:00:00+01:00,-4.09
1973-06-26T00:00:00+01:00,-4.14
1973-07-13T00:00:00+01:00,-4.09
1973-08-13T00:00:00+01:00,-4.11
1973-08-27T00:00:00+01:00,-4.16
1973-09-13T00:00:00+01:00,-4.14
1973-09-27T00:00:00+01:00,-4.13
1973-10-17T00:00:00+01:00,-3.99
1973-10-29T00:00:00+01:00,-4.02
1973-11-16T00:00:00+01:00,-3.92
1973-12-14T00:00:00+01:00,-3.84
1974-01-14T00:00:00+01:00,-4.08
1974-01-28T00:00:00+01:00,-4.1
1974-02-15T00:00:00+01:00,-4.09
1974-02-26T00:00:00+01:00,-3.97
1974-02-27T00:00:00+01:00,-4.01
1974-03-13T00:00:00+01:00,-3.94
1974-03-27T00:00:00+01:00,-4.15
1974-04-17T00:00:00+01:00,-4.1
1974-05-16T00:00:00+01:00,-4.18
1974-07-15T00:00:00+01:00,-4.09
1974-08-19T00:00:00+01:00,-4.21
1974-09-13T00:00:00+01:00,-4.09
1974-09-27T00:00:00+01:00,-4.0
