metric,value
region_name,netherlands
target_run_label,full_national_mode_A
target_scope_wording,all eligible Dutch BRO wells under the 1996-2016 modelling constraints
target_sites,496
target_wells,496
local_sites_with_series,754
local_site_month_rows,119554
model_panel_sites,496
model_panel_rows,100472
source_cells,512
pairwise_source_target_rows,253952
pairwise_source_target_sites,496
