model_family,split,rmse,mae,r2,n,fold_id,train_start,train_end,test_start,test_end
Site-Hard Expert Selector,val,1.1610234017726597,0.8041602791528835,0.22144278023723152,1391,2,1998-07-01,2008-06-01,2012-07-01,2014-12-01
Deep Context LSTM (No TL),val,1.1658539268541714,0.8090130686759949,0.2149507999420166,1391,2,1998-07-01,2008-06-01,2012-07-01,2014-12-01
Random Forest,val,1.1927224572936959,0.8237561043193184,0.1783490110905338,1391,2,1998-07-01,2008-06-01,2012-07-01,2014-12-01
Baseline LSTM (TL),val,1.3280654445085778,0.9224736094474792,-0.018702983856201172,1391,2,1998-07-01,2008-06-01,2012-07-01,2014-12-01
Baseline LSTM (No TL),val,1.333604794921905,0.925839364528656,-0.02721869945526123,1391,2,1998-07-01,2008-06-01,2012-07-01,2014-12-01
Context-Aware Selective Learning,cal,1.0975172287407668,0.711201548576355,0.21782821416854858,1023,3,2000-07-01,2010-06-01,2014-07-01,2016-12-01
Site-Hard Expert Selector,cal,1.108296328799452,0.7252734252556021,0.20238882958380955,1023,3,2000-07-01,2010-06-01,2014-07-01,2016-12-01
Random Forest,cal,1.1598504813269612,0.7828630780712081,0.12645868059441034,1023,3,2000-07-01,2010-06-01,2014-07-01,2016-12-01
Deep Context LSTM (Always TL),cal,1.164196697922719,0.7720380425453186,0.11989963054656982,1023,3,2000-07-01,2010-06-01,2014-07-01,2016-12-01
Deep Context LSTM (No TL),cal,1.1644875691210232,0.7732915878295898,0.11945986747741699,1023,3,2000-07-01,2010-06-01,2014-07-01,2016-12-01
Baseline LSTM (TL),cal,1.247426817740783,0.8452447652816772,-0.010437965393066406,1023,3,2000-07-01,2010-06-01,2014-07-01,2016-12-01
Baseline LSTM (No TL),cal,1.2668396101808936,0.8703116774559021,-0.042132019996643066,1023,3,2000-07-01,2010-06-01,2014-07-01,2016-12-01
Random Forest,test,1.34420127624685,0.9096186350940897,0.225816639199236,1537,3,2000-07-01,2010-06-01,2014-07-01,2016-12-01
Site-Hard Expert Selector,test,1.3483547934013782,0.8997013963151579,0.2210248689095763,1537,3,2000-07-01,2010-06-01,2014-07-01,2016-12-01
Context-Aware Selective Learning,test,1.357721265530581,0.9073097109794617,0.2101649045944214,1537,3,2000-07-01,2010-06-01,2014-07-01,2016-12-01
Deep Context LSTM (Always TL),test,1.4267809563756437,0.9471445679664612,0.1277725100517273,1537,3,2000-07-01,2010-06-01,2014-07-01,2016-12-01
Deep Context LSTM (No TL),test,1.4307662979416176,0.9497084617614746,0.12289297580718994,1537,3,2000-07-01,2010-06-01,2014-07-01,2016-12-01
Baseline LSTM (TL),test,1.5279989178838442,1.0207363367080688,-0.0003714561462402344,1537,3,2000-07-01,2010-06-01,2014-07-01,2016-12-01
Baseline LSTM (No TL),test,1.5491393499375394,1.0576809644699097,-0.02824389934539795,1537,3,2000-07-01,2010-06-01,2014-07-01,2016-12-01
Context-Aware Selective Learning,val,1.2144506867323848,0.9032342433929443,0.10934752225875854,1572,3,2000-07-01,2010-06-01,2014-07-01,2016-12-01
Deep Context LSTM (Always TL),val,1.2344296600214901,0.9212431907653809,0.07980215549468994,1572,3,2000-07-01,2010-06-01,2014-07-01,2016-12-01
Site-Hard Expert Selector,val,1.2345344706310373,0.9104222813986136,0.07964589577475778,1572,3,2000-07-01,2010-06-01,2014-07-01,2016-12-01
Deep Context LSTM (No TL),val,1.2349198985667693,0.9218562245368958,0.07907110452651978,1572,3,2000-07-01,2010-06-01,2014-07-01,2016-12-01
Random Forest,val,1.2353739603208709,0.9190414681453489,0.07839377929639091,1572,3,2000-07-01,2010-06-01,2014-07-01,2016-12-01
Baseline LSTM (TL),val,1.2843432884292518,0.9662157297134399,0.0038820505142211914,1572,3,2000-07-01,2010-06-01,2014-07-01,2016-12-01
Baseline LSTM (No TL),val,1.2956826117257148,0.9834060668945312,-0.01378476619720459,1572,3,2000-07-01,2010-06-01,2014-07-01,2016-12-01
