ablation_key,ablation_label,selector_model,n_features,rmse_cal,rmse_test,mae_test,r2_test,delta_rmse_vs_always_tl,delta_rmse_vs_no_tl,delta_rmse_vs_main
context_similarity_state,Main gate (context + similarity + target state),hgb_env,47,1.1195571949648424,1.2628956788443042,0.8700042366981506,0.22718000411987305,-0.03193938155274223,-0.04157859184941737,0.0
no_window_state,No target state,rf_env,29,1.168123164861798,1.2656934743183308,0.8683772683143616,0.22375202178955078,-0.029141586078715642,-0.03878079637539078,0.0027977954740265876
no_similarity,No similarity diagnostics,hgb_env,33,1.1206382331130642,1.266406865622802,0.8715746402740479,0.22287678718566895,-0.02842819477424441,-0.03806740507091955,0.0035111867784978212
full,Full gate (+ expert disagreement),hgb_env,64,1.1165793304071723,1.273103494663849,0.8705764412879944,0.21463638544082642,-0.021731565733197344,-0.03137077602987248,0.010207815819544885
site_hard_selector,Site-Hard Expert Selector,hard_site_policy,0,1.1704231566799634,1.2867692592142732,0.8810908594896616,0.1976852999419677,-0.008065801182773225,-0.017705011479448363,0.023873580369969005
deep_neural_gate,Deep neural gate,mlp_env,47,1.1458578916287667,1.2955371436415126,0.9072739481925964,0.18671435117721558,0.0007020832444661895,-0.008937127052208949,0.03264146479720842
