model_family,rmse_cal,rmse_test,rmse_val,mae_cal,mae_test,mae_val,r2_cal,r2_test,r2_val
Context-Aware Selective Learning,1.1195571949648424,1.2628956788443042,1.2230279619477948,0.7403537631034851,0.8700042366981506,0.8552262783050537,0.2029781937599182,0.22718000411987305,0.19281399250030518
Site-Hard Expert Selector,1.1704231566799634,1.2867692592142732,1.2365860437437126,0.8052029540301276,0.8810908594896616,0.8725725163961717,0.12890917602409602,0.1976852999419677,0.17481839285859613
Deep Context LSTM (Always TL),1.2308567464758657,1.2948350603970464,1.227826918519514,0.8724221587181091,0.9015377163887024,0.8690009713172913,0.03663104772567749,0.18759554624557495,0.1864669919013977
Random Forest,1.2450362517398623,1.2977279453046584,1.262667720980293,0.8681349936657814,0.8909524811709328,0.8850201239817795,0.014307115369384338,0.1839613871775092,0.13964237047411399
Deep Context LSTM (No TL),1.2159053175291563,1.3044742706937216,1.2442319348422441,0.8570821285247803,0.9267797470092773,0.8781829476356506,0.059893250465393066,0.17545491456985474,0.1645824909210205
Baseline LSTM (No TL),1.2642873594690538,1.4378489195255735,1.3802349831749328,0.9020617008209229,0.9700813889503479,0.9754562377929688,-0.0164107084274292,-0.001774430274963379,-0.028032779693603516
Baseline LSTM (TL),1.263074778030763,1.4395936563492495,1.3812682154908602,0.8978523015975952,0.97235107421875,0.9770627617835999,-0.014461994171142578,-0.00420689582824707,-0.029572486877441406
