model_family,test_rank_rmse,rmse_val,rmse_cal,rmse_test,mae_test,r2_test,delta_rmse_vs_selective,delta_mae_vs_selective
Context-Aware Selective Learning,1.0,1.2230279619477948,1.1195571949648424,1.2628956788443042,0.8700042366981506,0.22718000411987305,0.0,0.0
Deep Context LSTM (Always TL),2.0,1.227826918519514,1.2308567464758657,1.2948350603970464,0.9015377163887024,0.18759554624557495,0.03193938155274223,0.03153347969055176
Random Forest,3.0,1.262667720980293,1.2450362517398623,1.2977279453046584,0.8909524811709328,0.1839613871775092,0.0348322664603542,0.020948244472782207
Deep Context LSTM (No TL),4.0,1.2442319348422441,1.2159053175291563,1.3044742706937216,0.9267797470092773,0.17545491456985474,0.04157859184941737,0.05677551031112671
Baseline LSTM (No TL),5.0,1.3802349831749328,1.2642873594690538,1.4378489195255735,0.9700813889503479,-0.001774430274963379,0.17495324068126927,0.10007715225219727
Baseline LSTM (TL),6.0,1.3812682154908602,1.263074778030763,1.4395936563492495,0.97235107421875,-0.00420689582824707,0.1766979775049453,0.10234683752059937
