site_id,model_family,rmse,mae,n
9689,Baseline LSTM (TL),0.7395404577255249,0.6102517247200012,39
9689,Baseline LSTM (No TL),0.7500693798065186,0.6256628036499023,39
9689,Site-Hard Expert Selector,0.7869324233108622,0.6344662191680609,39
9689,Deep Context LSTM (Always TL),0.7869324684143066,0.634466290473938,39
9689,Context-Aware Selective Learning,0.8885565996170044,0.7316927313804626,39
9689,Random Forest,0.9106958462958172,0.7231673816136859,39
9689,Deep Context LSTM (No TL),1.0060756206512451,0.8351248502731323,39
9943,Baseline LSTM (TL),0.6214910745620728,0.5147566199302673,35
9943,Baseline LSTM (No TL),0.6773440837860107,0.573164165019989,35
9943,Random Forest,0.8301011354810323,0.6803609269914536,35
9943,Site-Hard Expert Selector,0.8301011354810323,0.6803609269914536,35
9943,Deep Context LSTM (Always TL),0.8788652420043945,0.7865800261497498,35
9943,Context-Aware Selective Learning,0.8868070840835571,0.7514805197715759,35
9943,Deep Context LSTM (No TL),1.282210350036621,1.1213198900222778,35
10385,Deep Context LSTM (Always TL),0.3183308243751526,0.2461925745010376,34
10385,Context-Aware Selective Learning,0.32980936765670776,0.2587618827819824,34
10385,Random Forest,0.3410352231028227,0.2757513176990929,34
10385,Site-Hard Expert Selector,0.3410352231028227,0.2757513176990929,34
10385,Baseline LSTM (TL),0.4077221155166626,0.33576616644859314,34
10385,Baseline LSTM (No TL),0.4306495189666748,0.36537593603134155,34
10385,Deep Context LSTM (No TL),0.48097988963127136,0.4213246703147888,34
18022,Site-Hard Expert Selector,0.5827620025363408,0.49686220252456575,39
18022,Deep Context LSTM (Always TL),0.5827620029449463,0.49686211347579956,39
18022,Context-Aware Selective Learning,0.6468026041984558,0.547913670539856,39
18022,Baseline LSTM (TL),0.6555538177490234,0.5621269345283508,39
18022,Baseline LSTM (No TL),0.6597661375999451,0.5544095635414124,39
18022,Deep Context LSTM (No TL),0.7211154699325562,0.589889407157898,39
18022,Random Forest,0.8191366458047883,0.6863666127561077,39
18027,Deep Context LSTM (Always TL),0.597251832485199,0.4562239646911621,39
18027,Site-Hard Expert Selector,0.5972518331699873,0.45622397701327616,39
18027,Baseline LSTM (TL),0.6556909680366516,0.5428022742271423,39
18027,Context-Aware Selective Learning,0.6879873871803284,0.5605761408805847,39
18027,Baseline LSTM (No TL),0.6942439079284668,0.5861898064613342,39
18027,Deep Context LSTM (No TL),0.7254176139831543,0.5528817772865295,39
18027,Random Forest,0.8696362051973011,0.702593052771897,39
18055,Deep Context LSTM (Always TL),0.5389114022254944,0.44012123346328735,39
18055,Baseline LSTM (No TL),0.6076835989952087,0.511417806148529,39
18055,Context-Aware Selective Learning,0.6109442114830017,0.4717715382575989,39
18055,Baseline LSTM (TL),0.6348416209220886,0.5266675353050232,39
18055,Deep Context LSTM (No TL),0.6845604777336121,0.5223966836929321,39
18055,Site-Hard Expert Selector,0.6845604807411012,0.5223967398439223,39
18055,Random Forest,0.9312296375635969,0.7167151528115688,39
18086,Deep Context LSTM (Always TL),0.8369913697242737,0.6451936364173889,39
18086,Baseline LSTM (No TL),0.9085995554924011,0.7492818832397461,39
18086,Context-Aware Selective Learning,0.912316620349884,0.7173102498054504,39
18086,Baseline LSTM (TL),0.9283598065376282,0.7661071419715881,39
18086,Random Forest,1.0508180570175598,0.8883141201815667,39
18086,Deep Context LSTM (No TL),1.0578267574310303,0.8520855903625488,39
18086,Site-Hard Expert Selector,1.0578267906011602,0.8520855509671562,39
29249,Site-Hard Expert Selector,0.7674756003940366,0.627271039520993,17
29249,Deep Context LSTM (No TL),0.7674756050109863,0.6272710561752319,17
29249,Baseline LSTM (TL),0.8087753057479858,0.6669305562973022,17
29249,Baseline LSTM (No TL),0.8295839428901672,0.6774447560310364,17
