split,analysis_unit,model_a,model_b,n_sites,n_bootstrap,site_metric_mean_a,site_metric_mean_b,mean_delta_site_rmse_a_minus_b,median_delta_site_rmse_a_minus_b,wins_model_a,wins_model_b,ties,bootstrap_ci_lower,bootstrap_ci_upper,bootstrap_p_value,pr_model_a_better,better_model,bootstrap_p_value_holm
test,site_rmse_cluster_bootstrap,Context-Aware Selective Learning,Baseline LSTM (TL),100,5000,1.165793776512146,1.2697454690933228,-0.10395162791013718,-0.023330599069595337,64,36,0,-0.17026431856304405,-0.051168502360582395,0.0,1.0,Context-Aware Selective Learning,0.0
test,site_rmse_cluster_bootstrap,Context-Aware Selective Learning,Baseline LSTM (No TL),100,5000,1.165793776512146,1.2609889507293701,-0.09519501298666,-0.014306575059890747,59,41,0,-0.16239884895831344,-0.04219112876802683,0.0,1.0,Context-Aware Selective Learning,0.0
test,site_rmse_cluster_bootstrap,Context-Aware Selective Learning,Deep Context LSTM (No TL),100,5000,1.165793776512146,1.2140687704086304,-0.048274874091148376,-0.04099753499031067,69,31,0,-0.07020226043462753,-0.026402093119919333,0.0,1.0,Context-Aware Selective Learning,0.0
test,site_rmse_cluster_bootstrap,Context-Aware Selective Learning,Deep Context LSTM (Always TL),100,5000,1.165793776512146,1.2056183815002441,-0.03982466042041779,-0.013618171215057373,58,42,0,-0.060501571714878084,-0.019978929519653334,0.0,1.0,Context-Aware Selective Learning,0.0
test,site_rmse_cluster_bootstrap,Context-Aware Selective Learning,Random Forest,100,5000,1.165793776512146,1.1917581111943587,-0.025964221731410723,-0.02949738051584272,65,35,0,-0.04509894782254149,-0.00666208512080009,0.01,0.995,Context-Aware Selective Learning,0.01
