site_id,n_observations,share_obs_helped_by_always_tl,share_obs_harmed_by_always_tl,mean_delta_abs_error_always_tl_vs_no_tl,mean_delta_abs_error_selective_vs_no_tl,mean_delta_abs_error_selective_vs_always_tl,selective_partial_rescue_rate,selective_full_rescue_rate,cosine_similarity,months_used,Deep Context LSTM (No TL),Deep Context LSTM (Always TL),Context-Aware Selective Learning,delta_rmse_always_tl_vs_no_tl,delta_rmse_selective_vs_no_tl,delta_rmse_selective_vs_always_tl,always_tl_site_regime,selective_partial_rescue_site,selective_full_rescue_site
9689,39,0.7435897435897436,0.2564102564102564,-0.20065856,-0.10343208,0.09722646,0.20512820512820512,0.07692307692307693,0.5659646,17.0,1.0060756206512451,0.7869324684143066,0.8885565996170044,-0.21914315223693848,-0.11751902103424072,0.10162413120269775,helped,False,False
9943,35,0.7428571428571429,0.2571428571428571,-0.33473986,-0.3698393,-0.035099436,0.2,0.17142857142857143,0.5293636,82.0,1.282210350036621,0.8788652420043945,0.8868070840835571,-0.40334510803222656,-0.39540326595306396,0.007941842079162598,helped,False,False
10385,34,0.7352941176470589,0.2647058823529412,-0.17513214,-0.16256282,0.01256931,0.2647058823529412,0.14705882352941177,0.6220231,102.0,0.48097988963127136,0.3183308243751526,0.32980936765670776,-0.16264906525611877,-0.1511705219745636,0.011478543281555176,helped,False,False
18022,39,0.5897435897435898,0.41025641025641024,-0.0930272,-0.041975774,0.051051423,0.358974358974359,0.1282051282051282,0.6054965,7.0,0.7211154699325562,0.5827620029449463,0.6468026041984558,-0.13835346698760986,-0.07431286573410034,0.06404060125350952,helped,False,False
18027,39,0.5897435897435898,0.41025641025641024,-0.09665779,0.007694498,0.10435229,0.28205128205128205,0.1282051282051282,0.5650503,7.0,0.7254176139831543,0.597251832485199,0.6879873871803284,-0.12816578149795532,-0.03743022680282593,0.0907355546951294,helped,False,False
18055,39,0.5641025641025641,0.4358974358974359,-0.08227548,-0.050625227,0.031650253,0.3333333333333333,0.20512820512820512,0.6885283,7.0,0.6845604777336121,0.5389114022254944,0.6109442114830017,-0.14564907550811768,-0.07361626625061035,0.07203280925750732,helped,False,False
18086,39,0.7435897435897436,0.2564102564102564,-0.20689197,-0.13477524,0.07211671,0.15384615384615385,0.07692307692307693,0.62208045,7.0,1.0578267574310303,0.8369913697242737,0.912316620349884,-0.2208353877067566,-0.14551013708114624,0.07532525062561035,helped,False,False
29249,17,0.35294117647058826,0.6470588235294118,0.05841186,-0.011442695,-0.06985456,0.47058823529411764,0.4117647058823529,0.21736836,75.0,0.7674756050109863,0.8400653004646301,0.835762083530426,0.0725896954536438,0.0682864785194397,-0.0043032169342041016,harmed,True,False
29263,19,0.42105263157894735,0.5789473684210527,0.019379172,-0.025558848,-0.044938017,0.47368421052631576,0.21052631578947367,0.23373753,70.0,2.0359930992126465,2.0647125244140625,2.0016629695892334,0.028719425201416016,-0.034330129623413086,-0.0630495548248291,harmed,True,True
29357,18,0.16666666666666666,0.8333333333333334,0.08082949,-0.048528306,-0.1293578,0.7777777777777778,0.6111111111111112,0.29305062,76.0,0.8923904299736023,0.9669036865234375,0.8570472002029419,0.0745132565498352,-0.0353432297706604,-0.1098564863204956,harmed,True,True
