site_id,cosine_similarity,months_used,train_rows,cohort_key,cohort_label
30760,0.49497777,81,73,high_overlap_q75,High overlap
30795,0.26132113,84,76,high_overlap_q75,High overlap
30868,0.36919162,88,80,high_overlap_q75,High overlap
31032,0.2321098,93,85,high_overlap_q75,High overlap
31064,0.22798221,80,72,high_overlap_q75,High overlap
31324,0.22564562,88,80,high_overlap_q75,High overlap
31403,0.28540343,77,69,high_overlap_q75,High overlap
31425,0.2813055,97,89,high_overlap_q75,High overlap
31482,0.28520164,107,99,high_overlap_q75,High overlap
31541,0.2576436,84,76,high_overlap_q75,High overlap
31696,0.21407597,89,81,high_overlap_q75,High overlap
31854,0.21095157,77,69,high_overlap_q75,High overlap
31920,0.42720702,77,69,high_overlap_q75,High overlap
31933,0.30310565,83,75,high_overlap_q75,High overlap
33050,0.3570728,109,101,high_overlap_q75,High overlap
9943,0.5293636,82,74,history_rich_q75,History-rich
10385,0.6220231,102,94,history_rich_q75,History-rich
29812,0.19760868,88,80,history_rich_q75,History-rich
29848,0.25596964,83,75,history_rich_q75,History-rich
29931,0.20087205,87,79,history_rich_q75,History-rich
29982,0.38828057,78,70,history_rich_q75,History-rich
30066,0.24604635,131,123,history_rich_q75,History-rich
30104,0.23884137,78,70,history_rich_q75,History-rich
30265,0.30436182,78,70,history_rich_q75,History-rich
30425,0.19308144,91,83,history_rich_q75,History-rich
30427,0.34020707,77,69,history_rich_q75,History-rich
30578,0.28054836,87,79,history_rich_q75,History-rich
30586,0.2854405,81,73,history_rich_q75,History-rich
30760,0.49497777,81,73,history_rich_q75,History-rich
30795,0.26132113,84,76,history_rich_q75,History-rich
30868,0.36919162,88,80,history_rich_q75,History-rich
31032,0.2321098,93,85,history_rich_q75,History-rich
31064,0.22798221,80,72,history_rich_q75,History-rich
31324,0.22564562,88,80,history_rich_q75,History-rich
31403,0.28540343,77,69,history_rich_q75,History-rich
31425,0.2813055,97,89,history_rich_q75,History-rich
31482,0.28520164,107,99,history_rich_q75,History-rich
31541,0.2576436,84,76,history_rich_q75,History-rich
31696,0.21407597,89,81,history_rich_q75,History-rich
31854,0.21095157,77,69,history_rich_q75,History-rich
31920,0.42720702,77,69,history_rich_q75,History-rich
31933,0.30310565,83,75,history_rich_q75,History-rich
33050,0.3570728,109,101,history_rich_q75,History-rich
9943,0.5293636,82,74,transfer_ready_q75,Transfer-ready
10385,0.6220231,102,94,transfer_ready_q75,Transfer-ready
30760,0.49497777,81,73,transfer_ready_q75,Transfer-ready
31920,0.42720702,77,69,transfer_ready_q75,Transfer-ready
