cohort_key,cohort_label,split,model_family,n_wells,n_observations,rmse,mae,r2,rank_rmse
all_wells,All wells,test,Context-Aware Selective Learning,97,2050,1.2149497270584106,0.855648934841156,0.2377094030380249,1.0
all_wells,All wells,test,Site-Hard Expert Selector,97,2050,1.24442458152771,0.8674259185791016,0.20027422904968262,2.0
all_wells,All wells,test,Random Forest,97,2050,1.2467504739761353,0.8750700354576111,0.1972818374633789,3.0
all_wells,All wells,test,Deep Context LSTM (Always TL),97,2050,1.2508151531219482,0.8873946070671082,0.19203931093215942,4.0
all_wells,All wells,test,Deep Context LSTM (No TL),97,2050,1.2629538774490356,0.9136942625045776,0.17628133296966553,5.0
all_wells,All wells,test,Baseline LSTM (No TL),97,2050,1.392683506011963,0.9539762735366821,-0.0016335248947143555,6.0
all_wells,All wells,test,Baseline LSTM (TL),97,2050,1.3946934938430786,0.9566494226455688,-0.004526853561401367,7.0
high_overlap_q75,High overlap,test,Context-Aware Selective Learning,28,602,1.1279869079589844,0.7917700409889221,0.21861213445663452,1.0
high_overlap_q75,High overlap,test,Random Forest,28,602,1.1389386653900146,0.8028814792633057,0.20336532592773438,2.0
high_overlap_q75,High overlap,test,Site-Hard Expert Selector,28,602,1.1510781049728394,0.8045448064804077,0.186292827129364,3.0
high_overlap_q75,High overlap,test,Deep Context LSTM (Always TL),28,602,1.1558135747909546,0.8176340460777283,0.17958402633666992,4.0
high_overlap_q75,High overlap,test,Deep Context LSTM (No TL),28,602,1.1787735223770142,0.8587567210197449,0.1466655135154724,5.0
high_overlap_q75,High overlap,test,Baseline LSTM (No TL),28,602,1.2764118909835815,0.9177858233451843,-0.0005532503128051758,6.0
high_overlap_q75,High overlap,test,Baseline LSTM (TL),28,602,1.2809407711029053,0.913657546043396,-0.00766599178314209,7.0
high_similarity_q75,High similarity,test,Context-Aware Selective Learning,25,591,1.0025588274002075,0.7308079600334167,0.520546019077301,1.0
high_similarity_q75,High similarity,test,Random Forest,25,591,1.0522568225860596,0.7780365347862244,0.4718337059020996,2.0
high_similarity_q75,High similarity,test,Deep Context LSTM (Always TL),25,591,1.0810935497283936,0.7765646576881409,0.4424886703491211,3.0
high_similarity_q75,High similarity,test,Site-Hard Expert Selector,25,591,1.0836700201034546,0.759370744228363,0.43982815742492676,4.0
high_similarity_q75,High similarity,test,Deep Context LSTM (No TL),25,591,1.0850683450698853,0.8175010681152344,0.438381552696228,5.0
high_similarity_q75,High similarity,test,Baseline LSTM (TL),25,591,1.4589346647262573,0.913217306137085,-0.015310525894165039,6.0
high_similarity_q75,High similarity,test,Baseline LSTM (No TL),25,591,1.4670531749725342,0.9127184748649597,-0.0266416072845459,7.0
history_rich_q75,History-rich,test,Context-Aware Selective Learning,28,602,1.1279869079589844,0.7917700409889221,0.21861213445663452,1.0
history_rich_q75,History-rich,test,Random Forest,28,602,1.1389386653900146,0.8028814792633057,0.20336532592773438,2.0
history_rich_q75,History-rich,test,Site-Hard Expert Selector,28,602,1.1510781049728394,0.8045448064804077,0.186292827129364,3.0
history_rich_q75,History-rich,test,Deep Context LSTM (Always TL),28,602,1.1558135747909546,0.8176340460777283,0.17958402633666992,4.0
history_rich_q75,History-rich,test,Deep Context LSTM (No TL),28,602,1.1787735223770142,0.8587567210197449,0.1466655135154724,5.0
history_rich_q75,History-rich,test,Baseline LSTM (No TL),28,602,1.2764118909835815,0.9177858233451843,-0.0005532503128051758,6.0
history_rich_q75,History-rich,test,Baseline LSTM (TL),28,602,1.2809407711029053,0.913657546043396,-0.00766599178314209,7.0
transfer_ready_q75,Transfer-ready,test,Baseline LSTM (TL),4,105,0.6874105930328369,0.5257378816604614,-0.2808901071548462,1.0
transfer_ready_q75,Transfer-ready,test,Random Forest,4,105,0.6948118805885315,0.5288594365119934,-0.3086211681365967,2.0
transfer_ready_q75,Transfer-ready,test,Site-Hard Expert Selector,4,105,0.7041181921958923,0.523907482624054,-0.34391117095947266,3.0
transfer_ready_q75,Transfer-ready,test,Context-Aware Selective Learning,4,105,0.7095034718513489,0.532974898815155,-0.36454689502716064,4.0
transfer_ready_q75,Transfer-ready,test,Baseline LSTM (No TL),4,105,0.7111197710037231,0.5522277355194092,-0.3707709312438965,5.0
transfer_ready_q75,Transfer-ready,test,Deep Context LSTM (Always TL),4,105,0.7202177047729492,0.5497424602508545,-0.406070351600647,6.0
transfer_ready_q75,Transfer-ready,test,Deep Context LSTM (No TL),4,105,0.920822262763977,0.7316356897354126,-1.2984287738800049,7.0
