analysis_unit,subset_label,n,mean_always_tl_delta,mean_selective_delta_vs_no_tl,mean_selective_delta_vs_always_tl,always_tl_help_rate,always_tl_harm_rate,selective_partial_rescue_rate,selective_full_rescue_rate
site,all_sites,100,-0.008450209498405456,-0.048274867832660676,-0.03982465833425522,0.57,0.43,0.39,0.18
site,always_tl_harmed_sites,43,0.08829425933749177,-0.001959889434104742,-0.09025414877159652,0.0,1.0,0.9069767441860465,0.4186046511627907
site,always_tl_helped_sites,57,-0.08143287897109985,-0.08321423750174672,-0.0017813585306468763,1.0,0.0,0.0,0.0
observation,all_observations,2076,-0.025242026895284653,-0.056775517761707306,-0.03153349086642265,0.541907514450867,0.45809248554913296,0.3646435452793834,0.16329479768786126
observation,always_tl_harmed_observations,951,0.20084209740161896,0.050544340163469315,-0.15029776096343994,0.0,1.0,0.7960042060988434,0.35646687697160884
observation,always_tl_helped_observations,1125,-0.2163584679365158,-0.14749658107757568,0.06886189430952072,1.0,0.0,0.0,0.0
