site_id,Baseline LSTM (No TL),Baseline LSTM (TL),Context-Aware Selective Learning,Deep Context LSTM (Always TL),Deep Context LSTM (No TL),Random Forest,Site-Hard Expert Selector
9689,0.7500693798065186,0.7395404577255249,0.8885565996170044,0.7869324684143066,1.0060756206512451,0.9106958462958172,0.7869324233108622
9943,0.6773440837860107,0.6214910745620728,0.8868070840835571,0.8788652420043945,1.282210350036621,0.8301011354810323,0.8301011354810323
10385,0.4306495189666748,0.4077221155166626,0.32980936765670776,0.3183308243751526,0.48097988963127136,0.3410352231028227,0.3410352231028227
18022,0.6597661375999451,0.6555538177490234,0.6468026041984558,0.5827620029449463,0.7211154699325562,0.8191366458047883,0.5827620025363408
18027,0.6942439079284668,0.6556909680366516,0.6879873871803284,0.597251832485199,0.7254176139831543,0.8696362051973011,0.5972518331699873
18055,0.6076835989952087,0.6348416209220886,0.6109442114830017,0.5389114022254944,0.6845604777336121,0.9312296375635969,0.6845604807411012
18086,0.9085995554924011,0.9283598065376282,0.912316620349884,0.8369913697242737,1.0578267574310303,1.0508180570175598,1.0578267906011602
29249,0.8295839428901672,0.8087753057479858,0.835762083530426,0.8400653004646301,0.7674756050109863,0.9068907408929361,0.7674756003940366
29263,1.9130455255508423,1.9843037128448486,2.0016629695892334,2.0647125244140625,2.0359930992126465,1.6898999888823483,1.6898999888823483
29357,0.9364612698554993,0.9838796854019165,0.8570472002029419,0.9669036865234375,0.8923904299736023,0.8308048610249253,0.8308048610249253
29366,0.7355479001998901,0.7621118426322937,0.8529567718505859,0.8434587121009827,0.8639339804649353,0.9322341561463866,0.8434587008796762
29373,0.9983268976211548,0.9751557111740112,0.890191376209259,0.9370984435081482,0.8646940588951111,0.9722091993319699,0.9370984543267005
29419,1.4819111824035645,1.4497030973434448,1.4761955738067627,1.4270457029342651,1.5452425479888916,1.5014529372323502,1.427045655826566
29465,1.3328958749771118,1.290737509727478,1.1101131439208984,1.0887371301651,1.0117344856262207,1.215847947195913,1.215847947195913
29476,0.8397266268730164,0.8625692129135132,1.0282810926437378,0.9619746804237366,1.0884954929351807,1.066393584150345,0.9619746270464797
29532,0.7172704935073853,0.7710319757461548,0.6094258427619934,0.8114591240882874,0.8303367495536804,0.5452026332455155,0.8303367605419745
29570,1.103714108467102,1.0987639427185059,1.0783835649490356,1.1570217609405518,1.1775434017181396,1.1169813966623054,1.1169813966623054
29581,1.5479626655578613,1.5548137426376343,1.2644399404525757,1.289345145225525,1.3581821918487549,1.2617021190324822,1.3581821313545015
29599,1.4314427375793457,1.4857038259506226,1.4597257375717163,1.4765454530715942,1.4871467351913452,1.3284126989205356,1.4871468572402038
29680,1.2043131589889526,1.2539433240890503,1.4014897346496582,1.4404761791229248,1.3775829076766968,1.2911346444308984,1.4404762305011516
29708,0.9115194082260132,0.8883376121520996,0.8540502190589905,0.8412266373634338,0.9187513589859009,0.866206491213363,0.841226640849949
29740,1.2268668413162231,1.2341876029968262,1.2723451852798462,1.2703620195388794,1.3285146951675415,1.2945748086331614,1.2703620005582734
29756,0.9797584414482117,0.9485698342323303,0.9236420392990112,1.0037684440612793,0.9484882354736328,0.9806397229390871,0.9484882212147262
29794,4.153933048248291,4.118252277374268,4.1873884201049805,4.189244270324707,4.218478679656982,4.2510395921214785,4.218478789123876
29812,1.188856840133667,1.2500526905059814,0.5885919332504272,1.0036547183990479,0.9772154092788696,0.5459894767560005,0.5459894767560005
29828,0.7865279912948608,0.8093159198760986,0.7901151776313782,0.8651999831199646,0.8313894271850586,0.7549982047102591,0.8313894207771718
29829,1.1914148330688477,1.2646294832229614,1.0941005945205688,1.1746057271957397,1.0549449920654297,0.9700889016058925,1.1746057015829068
29848,0.6491485238075256,0.6426041722297668,0.6923326849937439,0.7028337121009827,0.6506743431091309,0.7594437713824005,0.6506743221203325
29861,0.8092407584190369,0.8169257640838623,0.8135950565338135,0.7821162343025208,0.8279494047164917,0.8820808579287658,0.7821162684003491
29908,0.7638322114944458,0.7754725217819214,0.858594536781311,0.8344168663024902,0.9153224229812622,0.8578852765014352,0.8578852765014352
29909,1.8794630765914917,1.8164089918136597,1.5639410018920898,1.675710678100586,1.5582823753356934,1.7367798953302667,1.558282458947842
29931,1.3773399591445923,1.3360356092453003,1.174409031867981,1.1657098531723022,1.220929503440857,1.2113393382449664,1.2209294988249013
29961,1.3287523984909058,1.2754981517791748,1.250008225440979,1.2595587968826294,1.3164969682693481,1.2796920457609018,1.2796920457609018
29971,0.9526627659797668,0.9671897292137146,0.9789084792137146,1.05727219581604,0.9824439883232117,0.9429123506207633,0.9824439897315059
29982,0.9870376586914062,0.9159836173057556,0.7248760461807251,0.7267659902572632,0.7543991804122925,0.7851976676315753,0.7267659632902813
29997,0.8970999121665955,0.9554281234741211,0.9494767785072327,1.0427521467208862,0.9302309155464172,0.9637806015245513,1.042752183874624
30035,0.9241766929626465,0.9302589893341064,0.9344824552536011,0.9555148482322693,0.9794365763664246,0.9030907577129396,0.9794365844623265
30066,0.5932763814926147,0.6372246146202087,0.5858155488967896,0.5983961224555969,0.5608081221580505,0.6026216095314272,0.5608081629907334
30104,3.6490495204925537,3.718745470046997,2.776385545730591,2.904953718185425,2.5969903469085693,2.812153179623714,2.9049536312291204
30225,0.5272694230079651,0.542598307132721,0.49450990557670593,0.5187084674835205,0.5492720603942871,0.5718999436041361,0.5492720756102734
30247,0.8234014511108398,0.868389368057251,0.6104821562767029,0.8590002655982971,0.9200341105461121,0.6238715994509346,0.6238715994509346
30249,0.8779910802841187,0.9332248568534851,0.9869042038917542,0.9747456908226013,1.1932603120803833,0.9783928729774216,0.9747456703770974
30265,0.6846988797187805,0.6604616045951843,0.5592918992042542,0.5598906874656677,0.5861939191818237,0.5963399707345333,0.5861939367509179
30341,0.9739030599594116,0.9755211472511292,0.9760714769363403,0.9088762998580933,1.0507032871246338,1.0063708832768608,1.0063708832768608
30380,0.6965931057929993,0.7193016409873962,0.7677469849586487,0.8783954977989197,0.8513104915618896,0.724124626571742,0.8513105282190666
30385,0.4710649251937866,0.5028091669082642,0.4689503014087677,0.7123204469680786,0.7503370046615601,0.46160413445275017,0.46160413445275017
30425,1.2723392248153687,1.2326452732086182,1.374922752380371,1.345491886138916,1.4369882345199585,1.4318097331265498,1.34549190326437
30427,0.8143221735954285,0.807218611240387,0.7583662271499634,0.7540389895439148,0.8014463186264038,0.7656029288716624,0.8014463239218369
30474,0.6484019160270691,0.6152333617210388,0.7292411923408508,0.7565778493881226,0.7196804285049438,0.7388040637553199,0.7196804253483514
30578,1.2567583322525024,1.2464654445648193,1.291890263557434,1.2427197694778442,1.3811440467834473,1.34775698995557,1.34775698995557
30586,0.8391842246055603,0.8262981176376343,0.8192147016525269,0.7675891518592834,0.7894852757453918,0.9261353450753844,0.9261353450753844
30638,1.6830413341522217,2.0396695137023926,1.7467155456542969,1.6945518255233765,1.896627426147461,1.9677566984405213,1.9677566984405213
30656,0.8071560263633728,0.8327778577804565,0.8306489586830139,0.8930375576019287,0.8278759717941284,0.8080071329849337,0.8080071329849337
30760,0.6237419247627258,0.6830950379371643,0.5822588205337524,0.6584641933441162,0.6831976771354675,0.6224222745955611,0.6584641831841449
30788,1.0971481800079346,1.0693961381912231,1.20902681350708,1.1570435762405396,1.2270559072494507,1.2393644897941294,1.2270559160166086
30795,1.4308379888534546,1.4664055109024048,1.3582578897476196,1.3992589712142944,1.373289942741394,1.4268378727951658,1.3992589800573714
30808,0.6653105616569519,0.6232351064682007,0.637454092502594,0.6205139756202698,0.6402694582939148,0.6748114622685513,0.6205139920232755
30832,2.1272127628326416,2.1061384677886963,1.997900128364563,2.0178334712982178,2.0825343132019043,2.045319710302689,2.045319710302689
30868,0.8994424343109131,0.8859254121780396,0.9281349778175354,0.9186730980873108,0.9054393172264099,0.9404540494680499,0.9054393411162349
30919,2.651048421859741,2.629348039627075,2.5091283321380615,2.5760092735290527,2.5291588306427,2.5878865997875047,2.5878865997875047
30981,1.522505760192871,1.518133521080017,1.4718732833862305,1.4462521076202393,1.467956304550171,1.7157867301153782,1.7157867301153782
31008,2.1419754028320312,2.1720361709594727,2.2122254371643066,2.194549083709717,2.133572816848755,2.2047922736540584,2.133572938178015
31022,0.8193667531013489,0.8787312507629395,0.8094070553779602,1.0675814151763916,1.0208690166473389,0.7992507088865157,0.7992507088865157
31032,1.3157451152801514,1.3582699298858643,1.5069868564605713,1.5469584465026855,1.63127601146698,1.4118951316809607,1.6312759952696203
31064,1.0418838262557983,0.9906785488128662,0.6304189562797546,0.6213493943214417,0.655899703502655,0.7039618064320273,0.6558996906440552
31247,1.365119457244873,1.4173858165740967,0.9717117547988892,1.1524806022644043,0.9446739554405212,0.9030078683664378,1.152480735157936
