model_family,split,rmse,mae,r2,n,budget_label,budget_windows_per_site,effective_train_windows_total,mean_train_windows_per_site,median_train_windows_per_site
Random Forest,cal,1.4611314294045856,1.0595618680151087,-0.35755112173045656,1292,24,24.0,2082,20.41176470588235,24.0
Random Forest,test,1.2808731553457653,0.8753589518847087,0.20502102527613786,2076,24,24.0,2082,20.41176470588235,24.0
Context-Aware Selective Learning,test,1.3156671911437834,0.9205999970436096,0.16124427318572998,2076,24,24.0,2082,20.41176470588235,24.0
Deep Context LSTM (Always TL),test,1.3940045727253898,1.013744831085205,0.058388471603393555,2076,24,24.0,2082,20.41176470588235,24.0
Site-Hard Expert Selector,test,1.3982007186055019,1.0106640877498312,0.052711124403628684,2076,24,24.0,2082,20.41176470588235,24.0
Baseline LSTM (No TL),test,1.4416097688564098,0.9724377989768982,-0.007021784782409668,2076,24,24.0,2082,20.41176470588235,24.0
Baseline LSTM (TL),test,1.4544007638469743,0.9842313528060913,-0.02497100830078125,2076,24,24.0,2082,20.41176470588235,24.0
Deep Context LSTM (No TL),test,1.4836261667383113,1.1072676181793213,-0.06657743453979492,2076,24,24.0,2082,20.41176470588235,24.0
Context-Aware Selective Learning,val,1.2337288432833973,0.8633343577384949,0.17862725257873535,1766,24,24.0,2082,20.41176470588235,24.0
Site-Hard Expert Selector,val,1.2412212950370125,0.8781131993457513,0.16862053407858535,1766,24,24.0,2082,20.41176470588235,24.0
Deep Context LSTM (Always TL),val,1.244457258478298,0.8847465515136719,0.16427993774414062,1766,24,24.0,2082,20.41176470588235,24.0
Deep Context LSTM (No TL),val,1.2565900655482172,0.8876209259033203,0.14790481328964233,1766,24,24.0,2082,20.41176470588235,24.0
Random Forest,val,1.2698183200923117,0.8917844365244255,0.12987021543306287,1766,24,24.0,2082,20.41176470588235,24.0
Baseline LSTM (TL),val,1.3920653524020616,0.9867150783538818,-0.045731306076049805,1766,24,24.0,2082,20.41176470588235,24.0
Baseline LSTM (No TL),val,1.3954108960698797,0.9879790544509888,-0.050763845443725586,1766,24,24.0,2082,20.41176470588235,24.0
Context-Aware Selective Learning,cal,1.0989402239182733,0.721376895904541,0.2320626974105835,1292,48,48.0,3926,38.490196078431374,48.0
Site-Hard Expert Selector,cal,1.1527999392264308,0.7947190063742465,0.15494394595264394,1292,48,48.0,3926,38.490196078431374,48.0
Random Forest,cal,1.2047817469054052,0.8407897440118666,0.07701554677897482,1292,48,48.0,3926,38.490196078431374,48.0
Deep Context LSTM (No TL),cal,1.2214792942567274,0.8606237769126892,0.051254212856292725,1292,48,48.0,3926,38.490196078431374,48.0
Deep Context LSTM (Always TL),cal,1.2279286157194702,0.8655815124511719,0.04120916128158569,1292,48,48.0,3926,38.490196078431374,48.0
Baseline LSTM (No TL),cal,1.266336311795383,0.9043084979057312,-0.019707798957824707,1292,48,48.0,3926,38.490196078431374,48.0
Baseline LSTM (TL),cal,1.2667841371642203,0.9009140729904175,-0.020429134368896484,1292,48,48.0,3926,38.490196078431374,48.0
Random Forest,test,1.2869856328412792,0.878964908004082,0.19741545461261334,2076,48,48.0,3926,38.490196078431374,48.0
