similarity_bin,n_sites,mean_delta_rmse_always_tl_vs_no_tl,mean_delta_rmse_selective_vs_no_tl,always_tl_harmed_site_rate,selective_partial_rescue_rate,selective_full_rescue_rate
"(0.158, 0.246]",25,0.0021563363075256347,-0.05376818776130676,0.52,0.48,0.2
"(0.246, 0.295]",24,-0.019556605567534763,-0.04064954072237015,0.4166666666666667,0.4166666666666667,0.20833333333333334
"(0.295, 0.404]",24,-0.0030148873726526895,-0.030486978590488434,0.2916666666666667,0.25,0.08333333333333333
"(0.404, 0.88]",24,-0.02065182353059451,-0.08483525117238362,0.4583333333333333,0.4166666666666667,0.25
