date,water_level_nap_m
2021-02-05T10:55:13+01:00,-2.84
2021-04-02T08:30:47+02:00,-2.77
2021-06-09T12:12:37+02:00,-2.52
2021-08-11T09:31:24+02:00,-2.61
2021-10-12T08:43:53+02:00,-2.64
2021-12-14T08:55:08+01:00,-2.87
