date,water_level_nap_m
2021-02-23T09:55:02+01:00,-4.83
2021-03-31T10:45:30+02:00,-4.86
2021-10-14T08:21:30+02:00,-4.77
2021-12-16T11:18:45+01:00,-4.79
2022-03-04T09:29:04+01:00,-4.75
2022-04-13T11:23:28+02:00,-4.78
2022-06-16T09:04:14+02:00,-4.78
